FlightPlannedDateandTime,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CANCELLED 
2023-12-01 10:54,AA,1209,ABQ,DFW,1054,1050,-4,0 
2023-12-01 8:20,AA,1211,ABQ,DFW,0820,0816,-4,0 
2023-12-01 13:50,AA,1219,ABQ,ORD,1350,1344,-6,0 
2023-12-01 15:15,AA,1230,ABQ,DFW,1515,1508,-7,0 
2023-12-01 11:57,AA,1231,ABQ,DFW,1157,1242,45,0 
2023-12-01 19:10,AA,1803,ABQ,PHX,1910,1859,-11,0 
2023-12-01 6:10,AA,2335,ABQ,DFW,0610,0605,-5,0 
2023-12-01 6:00,AA,626,ABQ,PHX,0600,0557,-3,0 
2023-12-01 17:12,AA,9,ABQ,DFW,1712,1709,-3,0 
2023-12-02 10:54,AA,1209,ABQ,DFW,1054,1049,-5,0 
2023-12-02 8:20,AA,1211,ABQ,DFW,0820,0831,11,0 
2023-12-02 13:50,AA,1219,ABQ,ORD,1350,1340,-10,0 
2023-12-02 15:15,AA,1230,ABQ,DFW,1515,1515,0,0 
2023-12-02 12:00,AA,1231,ABQ,DFW,1200,1151,-9,0 
2023-12-02 9:05,AA,2242,ABQ,PHX,0905,0902,-3,0 
2023-12-02 6:10,AA,2335,ABQ,DFW,0610,0605,-5,0 
2023-12-03 10:54,AA,1209,ABQ,DFW,1054,1051,-3,0 
2023-12-03 8:20,AA,1211,ABQ,DFW,0820,0812,-8,0 
2023-12-03 13:50,AA,1219,ABQ,ORD,1350,1345,-5,0 
2023-12-03 15:15,AA,1230,ABQ,DFW,1515,1515,0,0 
2023-12-03 11:57,AA,1231,ABQ,DFW,1157,1150,-7,0 
2023-12-03 19:10,AA,1803,ABQ,PHX,1910,1902,-8,0 
2023-12-03 6:10,AA,2335,ABQ,DFW,0610,0625,15,0 
2023-12-03 6:00,AA,626,ABQ,PHX,0600,0549,-11,0 
2023-12-03 17:12,AA,9,ABQ,DFW,1712,1701,-11,0 
2023-12-04 10:54,AA,1209,ABQ,DFW,1054,1113,19,0 
2023-12-04 8:20,AA,1211,ABQ,DFW,0820,0814,-6,0 
2023-12-04 13:50,AA,1219,ABQ,ORD,1350,1415,25,0 
2023-12-04 15:15,AA,1230,ABQ,DFW,1515,1509,-6,0 
2023-12-04 11:57,AA,1231,ABQ,DFW,1157,1226,29,0 
2023-12-04 19:10,AA,1803,ABQ,PHX,1910,1900,-10,0 
2023-12-04 6:10,AA,2335,ABQ,DFW,0610,0607,-3,0 
2023-12-04 6:00,AA,626,ABQ,PHX,0600,0550,-10,0 
2023-12-04 17:12,AA,9,ABQ,DFW,1712,2144,272,0 
2023-12-05 10:53,AA,1209,ABQ,DFW,1053,1042,-11,0 
2023-12-05 8:20,AA,1211,ABQ,DFW,0820,0811,-9,0 
2023-12-05 13:46,AA,1219,ABQ,ORD,1346,1339,-7,0 
2023-12-05 15:20,AA,1230,ABQ,DFW,1520,1530,10,0 
2023-12-05 11:55,AA,1231,ABQ,DFW,1155,1146,-9,0 
2023-12-05 12:25,AA,2137,ABQ,PHX,1225,1216,-9,0 
2023-12-05 6:10,AA,2335,ABQ,DFW,0610,0604,-6,0 
2023-12-05 6:00,AA,626,ABQ,PHX,0600,1020,260,0 
2023-12-05 16:46,AA,9,ABQ,DFW,1646,1637,-9,0 
2023-12-06 10:53,AA,1209,ABQ,DFW,1053,1047,-6,0 
2023-12-06 8:20,AA,1211,ABQ,DFW,0820,0819,-1,0 
2023-12-06 13:46,AA,1219,ABQ,ORD,1346,1351,5,0 
2023-12-06 15:20,AA,1230,ABQ,DFW,1520,1517,-3,0 
2023-12-06 11:55,AA,1231,ABQ,DFW,1155,1148,-7,0 
2023-12-06 12:25,AA,2137,ABQ,PHX,1225,1219,-6,0 
2023-12-06 6:10,AA,2335,ABQ,DFW,0610,0601,-9,0 
2023-12-06 16:46,AA,9,ABQ,DFW,1646,1638,-8,0 
2023-12-07 10:53,AA,1209,ABQ,DFW,1053,1111,18,0 
2023-12-07 8:20,AA,1211,ABQ,DFW,0820,0819,-1,0 
2023-12-07 13:46,AA,1219,ABQ,ORD,1346,1335,-11,0 
2023-12-07 15:20,AA,1230,ABQ,DFW,1520,1518,-2,0 
2023-12-07 11:55,AA,1231,ABQ,DFW,1155,1153,-2,0 
2023-12-07 18:50,AA,1803,ABQ,PHX,1850,1844,-6,0 
2023-12-07 12:25,AA,2137,ABQ,PHX,1225,1223,-2,0 
