station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
AGS,2023-01-01 0:53,61,60,96.85,230,3,0,30.01,1016,7,null,OVC,null,null,null,3600,null,null,null,null,null,null,null,null,null,null,61,KAGS 010053Z 23003KT 7SM OVC036 16/16 A3001 RMK AO2 SLP160 T01610156 $,null
AGS,2023-01-01 1:53,60.8,60.8,100,230,3,0,30.03,null,7,null,FEW,null,null,null,2300,null,null,null,null,null,null,null,null,null,null,60.8,KAGS 010153Z COR 23003KT 7SM FEW023 16/16 A3003 RMK AO2 SLPNO $,null
AGS,2023-01-01 2:53,59,59,100,230,3,0,30.02,1016.6,7,null,FEW,null,null,null,2300,null,null,null,null,null,null,null,null,null,null,59,KAGS 010253Z 23003KT 7SM FEW023 15/15 A3002 RMK AO2 SLP166 T01500150 50009 $,null
AGS,2023-01-01 3:53,null,null,null,230,3,0,30.04,null,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KAGS 010353Z 23003KT 7SM A3004 RMK AO2 SLPNO $,null
AGS,2023-01-01 4:53,null,null,null,230,3,0,30.04,null,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KAGS 010453Z 23003KT 7SM A3004 RMK AO2 SLPNO 401781089 $,null
AGS,2023-01-01 5:53,null,null,null,230,3,0,30.03,null,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KAGS 010553Z 23003KT 7SM A3003 RMK AO2 SLPNO 50004 $,null
AGS,2023-01-01 6:53,null,null,null,230,3,0,30.03,null,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KAGS 010653Z 23003KT 7SM A3003 RMK AO2 SLPNO $,null
AGS,2023-01-01 7:53,null,null,null,230,3,0,30.05,null,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KAGS 010753Z 23003KT 7SM A3005 RMK AO2 SLPNO $,null
AGS,2023-01-01 8:53,null,null,null,230,3,0,30.07,null,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KAGS 010853Z 23003KT 7SM A3007 RMK AO2 SLPNO 53014 $,null
AGS,2023-01-01 9:53,null,null,null,230,3,0,30.06,null,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KAGS 010953Z 23003KT 7SM A3006 RMK AO2 SLPNO $,null
AGS,2023-01-01 21:53,68,57,67.86,250,8,0,30.1,null,10,null,SCT,null,null,null,2500,null,null,null,null,null,null,null,null,null,null,68,KAGS 012153Z 25008KT 10SM SCT025 20/14 A3010 RMK AO2 SLPNO T02000139 $,null
AGS,2023-01-01 22:53,63,57,80.76,250,8,0,30.12,null,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,63,KAGS 012253Z 25008KT 10SM CLR 17/14 A3012 RMK AO2 SLPNO T01720139 $,null
AGS,2023-01-01 23:53,57.2,57.2,100,250,8,0,30.14,null,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,57.2,KAGS 012353Z COR 25008KT 10SM CLR 14/14 A3014 RMK AO2 SLPNO 53018 $,null
AGS,2023-01-02 0:53,55,55,100,250,8,0,30.15,1020.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55,KAGS 020053Z 25008KT 10SM CLR 13/13 A3015 RMK AO2 SLP209 T01280128 $,null
AGS,2023-01-02 1:53,55,55,100,250,8,0,30.16,1021.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55,KAGS 020153Z 25008KT 10SM CLR 13/13 A3016 RMK AO2 SLP211 T01280128 $,null
AGS,2023-01-02 2:53,50,50,100,270,5,0,30.18,1021.5,10,null,CLR,null,null,null,null,null,null,null,BR MIFG,null,null,null,null,null,null,50,KAGS 020253Z COR 27005KT 10SM BR MIFG CLR 8/8 A3018 RMK AO2 SLP215 T01000100 53008 $,null
AGS,2023-01-02 3:53,46,46,100,250,8,0,30.18,1021.8,10,null,CLR,null,null,null,null,null,null,null,BR MIFG,null,null,null,null,null,null,41.36,KAGS 020353Z 25008KT 10SM BR MIFG CLR 08/08 A3018 RMK AO2 SLP218 T00780078 $,null
AGS,2023-01-02 4:53,null,null,null,250,8,0,30.18,null,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KAGS 020453Z AUTO 25008KT 10SM A3018 RMK AO2 SLPNO $,null
AGS,2023-01-02 5:53,null,null,null,250,8,0,30.18,null,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KAGS 020553Z AUTO 25008KT 10SM A3018 RMK AO2 SLPNO 51005 $,null
AGS,2023-01-02 6:53,null,null,null,250,8,0,30.18,null,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KAGS 020653Z AUTO 25008KT 10SM A3018 RMK AO2 SLPNO $,null
AGS,2023-01-02 7:53,null,null,null,250,8,0,30.18,null,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KAGS 020753Z AUTO 25008KT 10SM A3018 RMK AO2 SLPNO $,null
AGS,2023-01-02 8:53,null,null,null,250,8,0,30.18,null,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KAGS 020853Z AUTO 25008KT 10SM A3018 RMK AO2 SLPNO 54000 $,null
AGS,2023-01-02 9:53,null,null,null,250,8,0,30.18,null,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KAGS 020953Z AUTO 25008KT 10SM A3018 RMK AO2 SLPNO $,null
