station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ALB,2023-12-01 0:51,42,26,52.76,160,7,0,30.02,1016.8,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,36.97,KALB 010051Z 16007KT 10SM SCT250 06/M03 A3002 RMK AO2 SLP168 T00561033,null
ALB,2023-12-01 1:51,43,26,50.77,150,8,0,30.02,1016.8,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,37.66,KALB 010151Z 15008KT 10SM BKN250 06/M03 A3002 RMK AO2 SLP168 T00611033,null
ALB,2023-12-01 2:51,43,27,52.91,160,8,0,30.02,1016.9,10,null,BKN,BKN,null,null,23000,26000,null,null,null,null,null,null,null,null,null,37.66,KALB 010251Z COR 16008KT 10SM BKN230 BKN260 06/M03 A3002 RMK AO2 SLP169 T00611028 51002,null
ALB,2023-12-01 3:51,43,27,52.91,160,13,0,30.03,1017.1,10,20,FEW,SCT,null,null,22000,25000,null,null,null,null,null,null,null,null,null,35.66,KALB 010351Z 16013G20KT 10SM FEW220 SCT250 06/M03 A3003 RMK AO2 SLP171 T00611028,null
ALB,2023-12-01 4:51,43,27,52.91,160,10,0,30.04,1017.5,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,36.76,KALB 010451Z 16010KT 10SM FEW250 06/M03 A3004 RMK AO2 SLP175 T00611028 400831017,null
ALB,2023-12-01 5:51,43,27,52.91,150,8,0,30.05,1017.9,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,37.66,KALB 010551Z 15008KT 10SM SCT250 06/M03 A3005 RMK AO2 SLP179 T00611028 10067 20056 53009,null
ALB,2023-12-01 6:51,42,27,54.99,140,7,0,30.06,1017.9,10,null,SCT,null,null,null,22000,null,null,null,null,null,null,null,null,null,null,36.97,KALB 010651Z 14007KT 10SM SCT220 06/M03 A3006 RMK AO2 SLP179 T00561028,null
ALB,2023-12-01 7:51,43,28,55.14,150,10,0,30.06,1018.1,10,null,BKN,null,null,null,22000,null,null,null,null,null,null,null,null,null,null,36.76,KALB 010751Z 15010KT 10SM BKN220 06/M02 A3006 RMK AO2 SLP181 T00611022,null
ALB,2023-12-01 8:51,42,28,57.3,160,11,0,30.06,1018.3,10,null,SCT,null,null,null,22000,null,null,null,null,null,null,null,null,null,null,35.1,KALB 010851Z 16011KT 10SM SCT220 06/M02 A3006 RMK AO2 SLP183 T00561022 52004,null
ALB,2023-12-01 9:51,41,28,59.55,160,10,0,30.07,1018.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34.25,KALB 010951Z 16010KT 10SM CLR 05/M02 A3007 RMK AO2 SLP185 T00501022,null
ALB,2023-12-01 10:51,40,28,61.91,160,8,0,30.09,1019.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33.97,KALB 011051Z 16008KT 10SM CLR 04/M02 A3009 RMK AO2 SLP191 T00441022,null
ALB,2023-12-01 11:51,39,28,64.37,160,8,0,30.1,1019.4,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,32.74,KALB 011151Z 16008KT 10SM FEW250 04/M02 A3010 RMK AO2 SLP194 T00391022 10061 20039 53011,null
ALB,2023-12-01 12:51,39,28,64.37,160,7,0,30.11,1019.7,10,null,FEW,SCT,null,null,6000,25000,null,null,null,null,null,null,null,null,null,33.31,KALB 011251Z 16007KT 10SM FEW060 SCT250 04/M02 A3011 RMK AO2 SLP197 T00391022,null
ALB,2023-12-01 13:51,42,29,59.69,160,8,0,30.13,1020.4,10,null,BKN,BKN,null,null,8000,25000,null,null,null,null,null,null,null,null,null,36.43,KALB 011351Z 16008KT 10SM BKN080 BKN250 06/M02 A3013 RMK AO2 SLP204 T00561017,null
ALB,2023-12-01 14:51,45,30,55.43,140,9,0,30.11,1019.8,10,null,SCT,BKN,null,null,7000,25000,null,null,null,null,null,null,null,null,null,39.68,KALB 011451Z 14009KT 10SM SCT070 BKN250 07/M01 A3011 RMK AO2 SLP198 T00721011 50005,null
ALB,2023-12-01 15:51,47,30,51.39,150,10,0,30.11,1019.6,10,null,FEW,FEW,OVC,null,7000,20000,25000,null,null,null,null,null,null,null,null,41.78,KALB 011551Z 15010KT 10SM FEW070 FEW200 OVC250 08/M01 A3011 RMK AO2 SLP196 T00831011,null
ALB,2023-12-01 16:51,48,30,49.49,160,10,0,30.08,1018.7,10,null,FEW,SCT,BKN,OVC,7000,13000,23000,25000,null,null,null,null,null,null,null,43.03,KALB 011651Z 16010KT 10SM FEW070 SCT130 BKN230 OVC250 09/M01 A3008 RMK AO2 SLP187 T00891011,null
ALB,2023-12-01 17:51,49,30,47.68,170,9,0,30.07,1018.5,10,null,BKN,BKN,OVC,null,8000,13000,25000,null,null,null,null,null,null,null,null,44.65,KALB 011751Z 17009KT 10SM BKN080 BKN130 OVC250 09/M01 A3007 RMK AO2 SLP185 T00941011 10094 20039 56012,null
ALB,2023-12-01 18:51,50,30,45.93,170,11,0,30.05,1017.9,10,17,BKN,OVC,null,null,7000,9500,null,null,null,null,null,null,null,null,null,50,KALB 011851Z 17011G17KT 10SM BKN070 OVC095 10/M01 A3005 RMK AO2 SLP179 T01001011,null
ALB,2023-12-01 19:51,49,31,49.65,180,10,T,30.04,1017.5,10,null,FEW,BKN,OVC,null,6000,7000,9500,null,#NAME?,null,null,null,null,null,null,44.29,KALB 011951Z 18010KT 10SM -RA FEW060 BKN070 OVC095 09/M01 A3004 RMK AO2 RAB29 SLP175 P0000 T00941006,null
ALB,2023-12-01 20:51,45,37,73.37,170,6,0.03,30.06,1018.1,10,null,BKN,OVC,null,null,5500,7000,null,null,#NAME?,null,null,null,null,null,null,41.19,KALB 012051Z 17006KT 10SM -RA BKN055 OVC070 07/03 A3006 RMK AO2 SLP181 PCPN VRY LGT P0003 60003 T00720028 55004,null
ALB,2023-12-01 21:51,44,38,79.27,150,3,0.01,30.06,1018.3,10,null,BKN,BKN,OVC,null,5000,6000,9000,null,#NAME?,null,null,null,null,null,null,42.41,KALB 012151Z 15003KT 10SM -RA BKN050 BKN060 OVC090 07/03 A3006 RMK AO2 SLP183 P0001 T00670033,null
ALB,2023-12-01 22:51,44,38,79.27,0,0,T,30.05,1017.9,10,null,BKN,OVC,null,null,5000,8000,null,null,#NAME?,null,null,null,null,null,null,44,KALB 012251Z 00000KT 10SM -RA BKN050 OVC080 07/03 A3005 RMK AO2 SLP179 P0000 T00670033,null
ALB,2023-12-01 23:51,44,39,82.44,0,0,0.02,30.04,1017.4,10,null,BKN,OVC,null,null,7500,9000,null,null,#NAME?,null,null,null,null,null,null,44,KALB 012351Z 00000KT 10SM -RA BKN075 OVC090 07/04 A3004 RMK AO2 SLP174 P0002 60006 T00670039 10100 20061 58008,null
ALB,2023-12-02 0:51,44,38,79.27,170,7,T,30.03,1017.1,10,null,OVC,null,null,null,5000,null,null,null,null,null,null,null,null,null,null,39.41,KALB 020051Z 17007KT 10SM OVC050 07/03 A3003 RMK AO2 RAE2355 SLP171 P0000 T00670033,null
ALB,2023-12-02 1:51,44,37,76.22,170,11,0,30.01,1016.6,10,null,BKN,BKN,OVC,null,4600,5500,9500,null,null,null,null,null,null,null,null,37.63,KALB 020151Z 17011KT 10SM BKN046 BKN055 OVC095 07/03 A3001 RMK AO2 SLP166 T00670028,null
ALB,2023-12-02 2:51,43,37,79.19,170,10,0,30.01,1016.2,10,18,SCT,SCT,BKN,null,5000,6000,11000,null,null,null,null,null,null,null,null,36.76,KALB 020251Z 17010G18KT 10SM SCT050 SCT060 BKN110 06/03 A3001 RMK AO2 SLP162 60000 T00610028 57011,null
ALB,2023-12-02 3:44,43,38,82.37,160,9,0,30,null,9,19,BKN,BKN,OVC,null,1200,6000,9000,null,null,null,null,null,null,null,null,37.19,KALB 020344Z 16009G19KT 9SM BKN012 BKN060 OVC090 06/03 A3000 RMK AO2 T00610033,null
ALB,2023-12-02 3:51,43,38,82.37,170,11,0,30,1016.1,10,null,BKN,OVC,null,null,1200,9000,null,null,null,null,null,null,null,null,null,36.37,KALB 020351Z COR 17011KT 10SM BKN012 OVC090 06/03 A3000 RMK AO2 SLP161 T00610033,null
ALB,2023-12-02 4:51,43,38,82.37,170,7,0,29.99,1015.8,10,null,BKN,OVC,null,null,1100,3400,null,null,null,null,null,null,null,null,null,38.19,KALB 020451Z 17007KT 10SM BKN011 OVC034 06/03 A2999 RMK AO2 SLP158 T00610033 401000039,null
ALB,2023-12-02 5:51,43,39,85.66,160,6,0,29.98,1015.3,8,null,SCT,OVC,null,null,1000,3100,null,null,null,null,null,null,null,null,null,38.78,KALB 020551Z 16006KT 8SM SCT010 OVC031 06/04 A2998 RMK AO2 SLP153 60000 T00610039 10067 20061 58009,null
ALB,2023-12-02 6:03,43,39,85.66,160,7,0,29.98,null,8,null,BKN,OVC,null,null,1000,3000,null,null,null,null,null,null,null,null,null,38.19,KALB 020603Z 16007KT 8SM BKN010 OVC030 06/04 A2998 RMK AO2 T00610039,null
ALB,2023-12-02 6:51,43,39,85.66,170,10,0,29.99,1015.7,8,null,BKN,OVC,null,null,1000,2900,null,null,null,null,null,null,null,null,null,36.76,KALB 020651Z 17010KT 8SM BKN010 OVC029 06/04 A2999 RMK AO2 SLP157 T00610039,null
ALB,2023-12-02 6:58,43,39,85.66,170,8,0,29.99,null,7,null,BKN,OVC,null,null,900,2800,null,null,null,null,null,null,null,null,null,37.66,KALB 020658Z 17008KT 7SM BKN009 OVC028 06/04 A2999 RMK AO2 T00610039,null
ALB,2023-12-02 7:43,43,39,85.66,160,5,0,29.99,null,7,null,SCT,OVC,null,null,900,2600,null,null,null,null,null,null,null,null,null,39.46,KALB 020743Z 16005KT 7SM SCT009 OVC026 06/04 A2999 RMK AO2 T00610039,null
ALB,2023-12-02 7:51,43,39,85.66,160,6,0,29.99,1015.7,7,null,FEW,OVC,null,null,900,2600,null,null,null,null,null,null,null,null,null,38.78,KALB 020751Z 16006KT 7SM FEW009 OVC026 06/04 A2999 RMK AO2 SLP157 T00610039,null
ALB,2023-12-02 8:51,43,39,85.66,150,5,0,29.98,1015.3,7,null,SCT,BKN,OVC,null,800,2600,4200,null,null,null,null,null,null,null,null,39.46,KALB 020851Z 15005KT 7SM SCT008 BKN026 OVC042 06/04 A2998 RMK AO2 SLP153 T00610039 50000,null
ALB,2023-12-02 9:06,43,39,85.66,150,6,0,29.97,null,6,null,BKN,BKN,OVC,null,700,2600,4000,null,BR,null,null,null,null,null,null,38.78,KALB 020906Z 15006KT 6SM BR BKN007 BKN026 OVC040 06/04 A2997 RMK AO2 T00610039,null
ALB,2023-12-02 9:51,43,39,85.66,170,4,0,29.97,1015.1,6,null,BKN,OVC,null,null,700,9500,null,null,BR,null,null,null,null,null,null,40.27,KALB 020951Z 17004KT 6SM BR BKN007 OVC095 06/04 A2997 RMK AO2 SLP151 T00610039,null
ALB,2023-12-02 10:51,43,39,85.66,170,4,0,29.98,1015.5,6,null,OVC,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,40.27,KALB 021051Z 17004KT 6SM BR OVC006 06/04 A2998 RMK AO2 SLP155 T00610039,null
ALB,2023-12-02 11:51,43,39,85.66,170,7,T,29.99,1015.6,3,null,OVC,null,null,null,500,null,null,null,#NAME?,null,null,null,null,null,null,38.19,KALB 021151Z 17007KT 3SM -DZ BR OVC005 06/04 A2999 RMK AO2 DZB42 SLP156 P0000 60000 70006 T00610039 10061 20061 53003,null
ALB,2023-12-02 12:14,43,40,89.06,160,6,T,29.98,null,3,null,OVC,null,null,null,400,null,null,null,#NAME?,null,null,null,null,null,null,38.78,KALB 021214Z 16006KT 3SM -DZ BR OVC004 06/04 A2998 RMK AO2 P0000 T00610044,null
ALB,2023-12-02 12:46,42.8,39.2,86.99,170,7,T,29.99,null,1.25,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,37.94,KALB 021246Z 17007KT 1 1/4SM BR OVC004 06/04 A2999 RMK AO2 SFC VIS 3 DZE23 P0000,null
ALB,2023-12-02 12:51,43,40,89.06,180,7,T,29.99,1015.6,1.25,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,38.19,KALB 021251Z 18007KT 1 1/4SM BR OVC004 06/04 A2999 RMK AO2 SFC VIS 3 DZE23 SLP156 P0000 T00610044,null
ALB,2023-12-02 13:39,43,41,92.58,170,6,0.01,29.99,null,2,null,OVC,null,null,null,400,null,null,null,#NAME?,null,null,null,null,null,null,38.78,KALB 021339Z 17006KT 2SM -RA BR OVC004 06/05 A2999 RMK AO2 SFC VIS 2 1/2 RAB04 P0001 T00610050,null
ALB,2023-12-02 13:51,43,41,92.58,170,6,0.01,30,1015.9,2,null,OVC,null,null,null,400,null,null,null,#NAME?,null,null,null,null,null,null,38.78,KALB 021351Z 17006KT 2SM -RA BR OVC004 06/05 A3000 RMK AO2 SFC VIS 3 RAB04 SLP159 P0001 T00610050,null
ALB,2023-12-02 14:39,44,41,89.11,170,8,T,30,null,2,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,38.9,KALB 021439Z 17008KT 2SM BR OVC005 07/05 A3000 RMK AO2 SFC VIS 4 RAE03 SHRA DSNT E-SW P0000 T00670050,null
ALB,2023-12-02 14:51,44,41,89.11,180,7,T,30,1015.9,2,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,39.41,KALB 021451Z 18007KT 2SM BR OVC005 07/05 A3000 RMK AO2 SFC VIS 4 RAE03 SLP159 SHRA DSNT E-SW P0000 60001 T00670050 53002,null
ALB,2023-12-02 15:15,45,42,89.15,160,6,0,30,null,3,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,41.19,KALB 021515Z 16006KT 3SM BR OVC004 07/06 A3000 RMK AO2 T00720056,null
ALB,2023-12-02 15:39,45,42,89.15,160,9,0,30,null,3,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,39.68,KALB 021539Z 16009KT 3SM BR OVC005 07/06 A3000 RMK AO2 SFC VIS 5 T00720056,null
ALB,2023-12-02 15:51,45,42,89.15,160,8,0,29.99,1015.8,3,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,40.13,KALB 021551Z 16008KT 3SM BR OVC005 07/06 A2999 RMK AO2 SFC VIS 4 SLP158 T00720056,null
ALB,2023-12-02 16:07,45,42,89.15,160,6,0,29.99,null,3,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,41.19,KALB 021607Z 16006KT 3SM BR OVC004 07/06 A2999 RMK AO2 SFC VIS 4 T00720056,null
ALB,2023-12-02 16:51,45,42,89.15,180,7,0,29.99,1015.6,2,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,40.63,KALB 021651Z 18007KT 2SM BR OVC004 07/06 A2999 RMK AO2 SFC VIS 3 SLP156 T00720056,null
ALB,2023-12-02 17:07,46,43,89.2,170,5,0,29.99,null,2,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,43.02,KALB 021707Z 17005KT 2SM BR OVC005 08/06 A2999 RMK AO2 SFC VIS 5 T00780061,null
ALB,2023-12-02 17:51,45,43,92.65,160,5,0,29.99,1015.6,2,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,41.83,KALB 021751Z 16005KT 2SM BR OVC005 07/06 A2999 RMK AO2 SFC VIS 3 SLP156 CIG 004V006 60001 T00720061 10078 20061 56003,null
ALB,2023-12-02 18:06,46,43,89.2,160,4,0,29.99,null,2,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,43.77,KALB 021806Z 16004KT 2SM BR OVC004 08/06 A2999 RMK AO2 SFC VIS 2 1/2 T00780061,null
ALB,2023-12-02 18:21,45,43,92.65,160,4,0,29.99,null,1.25,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,42.6,KALB 021821Z 16004KT 1 1/4SM BR OVC004 07/06 A2999 RMK AO2 SFC VIS 2 1/2 T00720061,null
ALB,2023-12-02 18:51,46,43,89.2,160,5,T,29.99,1015.8,1.25,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,43.02,KALB 021851Z 16005KT 1 1/4SM BR OVC004 08/06 A2999 RMK AO2 SFC VIS 2 1/2 DZB30E43 SLP158 P0000 T00780061,null
ALB,2023-12-02 19:39,46,43,89.2,0,0,0,30,null,2,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,46,KALB 021939Z 00000KT 2SM BR OVC004 08/06 A3000 RMK AO2 SFC VIS 4 T00780061,null
ALB,2023-12-02 19:51,47,43,85.89,0,0,0,30,1016,2,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,47,KALB 021951Z 00000KT 2SM BR OVC005 08/06 A3000 RMK AO2 SFC VIS 3 SLP160 T00830061,null
ALB,2023-12-02 20:22,47,43,85.89,0,0,0,30.01,null,1.5,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,47,KALB 022022Z 00000KT 1 1/2SM BR OVC005 08/06 A3001 RMK AO2 SFC VIS 2 T00830061,null
