station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ANC,2023-12-01 0:37,32,28,84.98,320,6,T,29.09,null,10,null,SCT,OVC,null,null,5000,7500,null,null,null,null,null,null,null,null,null,25.53,PANC 010037Z 32006KT 10SM SCT050 OVC075 00/M02 A2909 RMK AO2 SNE35 P0000 T00001022,null
ANC,2023-12-01 0:53,32,28,84.98,0,0,T,29.11,985.8,10,null,SCT,BKN,OVC,null,4500,8000,9500,null,null,null,null,null,null,null,null,32,PANC 010053Z 00000KT 10SM SCT045 BKN080 OVC095 00/M02 A2911 RMK AO2 SLP858 SNE35 P0000 T00001022,null
ANC,2023-12-01 1:53,32,28,84.98,340,6,0,29.12,986.2,10,null,SCT,OVC,null,null,4500,8000,null,null,null,null,null,null,null,null,null,25.53,PANC 010153Z 34006KT 10SM SCT045 OVC080 00/M02 A2912 RMK AO2 SLP862 T00001022,null
ANC,2023-12-01 2:53,39,26,59.27,150,15,0,29.13,986.4,10,28,FEW,SCT,null,null,4500,8000,null,null,null,null,null,null,28,140,2023-12-01 2:50,29.85,PANC 010253Z 15015G28KT 10SM FEW045 SCT080 04/M03 A2913 RMK AO2 PK WND 14028/0250 SLP864 60000 T00391033 51017,null
ANC,2023-12-01 3:53,39,26,59.27,140,17,0,29.13,986.6,10,28,FEW,SCT,null,null,4500,8000,null,null,null,null,null,null,35,150,2023-12-01 3:06,29.25,PANC 010353Z 14017G28KT 10SM FEW045 SCT080 04/M03 A2913 RMK AO2 PK WND 15035/0306 SLP866 T00391033,null
ANC,2023-12-01 4:53,33,26,75.17,100,6,0,29.16,987.6,10,null,FEW,null,null,null,4500,null,null,null,null,null,null,null,30,150,2023-12-01 4:09,26.73,PANC 010453Z 10006KT 10SM FEW045 01/M03 A2916 RMK AO2 PK WND 15030/0409 SLP876 T00061033,null
ANC,2023-12-01 5:53,35.6,30.2,80.51,150,11,0,29.18,null,10,23,FEW,null,null,null,4500,null,null,null,null,null,null,null,null,null,null,27.02,PANC 010553Z 15011G23KT 10SM FEW045 02/M01 A2918,null
ANC,2023-12-01 6:00,36,30,78.6,160,10,0,29.18,null,10,21,FEW,null,null,null,4500,null,null,null,null,null,null,null,null,null,null,27.98,PANC 010600Z 16010G21KT 10SM FEW045 02/M01 A2918 RMK AO2 WSHFT 0540 T00221011,null
ANC,2023-12-01 6:53,32,28,84.98,30,6,0,29.2,989,10,null,FEW,SCT,null,null,6500,12000,null,null,null,null,null,null,null,null,null,25.53,PANC 010653Z 03006KT 10SM FEW065 SCT120 00/M02 A2920 RMK AO2 WSHFT 0540 SLP890 T00001022,null
ANC,2023-12-01 7:53,28,25,88.33,320,3,0,29.2,989.1,10,null,FEW,SCT,BKN,null,6500,12000,25000,null,null,null,null,null,null,null,null,24.12,PANC 010753Z 32003KT 10SM FEW065 SCT120 BKN250 M02/M04 A2920 RMK AO2 SLP891 T10221039,null
ANC,2023-12-01 8:53,28,21,74.67,80,4,0,29.21,989.4,10,null,FEW,SCT,BKN,null,6500,12000,25000,null,null,null,null,null,null,null,null,22.75,PANC 010853Z 08004KT 10SM FEW065 SCT120 BKN250 M02/M06 A2921 RMK AO2 SLP894 T10221061 400441028 51011,null
ANC,2023-12-01 9:53,28,22,77.89,10,3,0,29.21,989.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24.12,PANC 010953Z 01003KT 10SM CLR M02/M06 A2921 RMK AO2 SLP893 T10221056,null
ANC,2023-12-01 10:53,25,20,81.01,0,0,0,29.21,989.4,10,null,BKN,null,null,null,7000,null,null,null,null,null,null,null,null,null,null,25,PANC 011053Z 00000KT 10SM BKN070 M04/M07 A2921 RMK AO2 SLP894 T10391067,null
ANC,2023-12-01 11:53,27,21,77.8,0,0,0,29.21,989.3,10,null,FEW,SCT,null,null,7000,12000,null,null,null,null,null,null,null,null,null,27,PANC 011153Z 00000KT 10SM FEW070 SCT120 M03/M06 A2921 RMK AO2 SLP893 4/010 T10281061 10022 21039 57000,10
ANC,2023-12-01 12:53,25,21,84.53,0,0,0,29.2,988.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25,PANC 011253Z 00000KT 10SM CLR M04/M06 A2920 RMK AO2 SLP889 T10391061,null
ANC,2023-12-01 13:53,25,20,81.01,350,4,0,29.2,989,10,null,FEW,null,null,null,7500,null,null,null,null,null,null,null,null,null,null,19.25,PANC 011353Z 35004KT 10SM FEW075 M04/M07 A2920 RMK AO2 SLP890 T10391067,null
