station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LIT,2023-12-01 0:05,48,45,89.29,30,8,0.09,29.89,null,2,null,BKN,OVC,null,null,700,1200,null,null,#NAME?,null,null,null,null,null,null,43.82,KLIT 010005Z 03008KT 2SM +TSRA BKN007CB OVC012 09/07 A2989 RMK AO2 LTG DSNT W P0009 T00890072,null
LIT,2023-12-01 0:30,48,45,89.29,50,7,0.4,29.88,null,1.5,null,FEW,BKN,OVC,null,300,700,1200,null,#NAME?,null,null,null,null,null,null,44.28,KLIT 010030Z 05007KT 1 1/2SM +TSRA FEW003 BKN007CB OVC012 09/07 A2988 RMK AO2 LTG DSNT W OCNL LTGICCCCG OHD TS OHD MOV NE P0040 T00890072,null
LIT,2023-12-01 0:53,48,45,89.29,100,11,0.6,29.85,1011,1.5,null,SCT,BKN,OVC,null,300,500,1000,null,#NAME?,null,null,null,null,null,null,42.69,KLIT 010053Z 10011KT 1 1/2SM +TSRA SCT003 BKN005CB OVC010 09/07 A2985 RMK AO2 SLP110 OCNL LTGICCCCG OHD TS OHD MOV NE P0060 T00890072,null
LIT,2023-12-01 1:24,49,48,96.32,350,4,0.07,29.87,null,2,null,SCT,BKN,OVC,null,300,500,1000,null,TSRA,null,null,null,null,null,null,47.27,KLIT 010124Z 35004KT 2SM TSRA SCT003 BKN005CB OVC010 09/09 A2987 RMK AO2 LTG DSNT NE PRESRR OCNL LTGICCCCG OHD TS OHD MOV NE P0007 T00940089,null
LIT,2023-12-01 1:53,49,48,96.32,10,3,0.23,29.88,1012.1,2,null,FEW,OVC,null,null,200,500,null,null,#NAME?,null,null,null,null,null,null,48.12,KLIT 010153Z 01003KT 2SM +TSRA FEW002 OVC005CB 09/09 A2988 RMK AO2 LTG DSNT NW SLP121 OCNL LTGICCCCG OHD TS OHD MOV NE P0023 T00940089,null
LIT,2023-12-01 2:53,49,46,89.33,110,8,0.19,29.83,1010.2,3,null,SCT,OVC,null,null,400,600,null,null,#NAME?,null,null,null,null,null,null,45.05,KLIT 010253Z 11008KT 3SM -TSRA SCT004 OVC006CB 09/08 A2983 RMK AO2 SLP102 OCNL LTGICCCCG OHD TS OHD MOV NE P0019 60102 T00940078 58022,null
LIT,2023-12-01 3:12,49,46,89.33,120,8,0.01,29.81,null,3,null,OVC,null,null,null,600,null,null,null,#NAME?,null,null,null,null,null,null,45.05,KLIT 010312Z 12008KT 3SM -RA BR OVC006 09/08 A2981 RMK AO2 TSE12 TS MOV NE P0001 T00940078,null
LIT,2023-12-01 3:53,49,47,92.77,120,8,0.04,29.8,1009.4,3,null,OVC,null,null,null,600,null,null,null,RA BR,null,null,null,null,null,null,45.05,KLIT 010353Z 12008KT 3SM RA BR OVC006 09/08 A2980 RMK AO2 TSE12 SLP094 TS MOV NE P0004 T00940083,null
LIT,2023-12-01 3:59,49,47,92.77,130,8,0.02,29.8,null,2.5,null,OVC,null,null,null,400,null,null,null,#NAME?,null,null,null,null,null,null,45.05,KLIT 010359Z 13008KT 2 1/2SM -RA BR OVC004 09/08 A2980 RMK AO2 P0002 T00940083,null
LIT,2023-12-01 4:53,49,47,92.77,120,5,0.12,29.81,1009.6,2.5,null,OVC,null,null,null,400,null,null,null,RA BR,null,null,null,null,null,null,46.58,KLIT 010453Z 12005KT 2 1/2SM RA BR OVC004 09/08 A2981 RMK AO2 SLP096 P0012 T00940083,null
LIT,2023-12-01 5:53,50,48,92.8,null,3,0.27,29.8,1009.2,2.5,null,OVC,null,null,null,400,null,null,null,#NAME?,null,null,null,null,null,null,50,KLIT 010553Z VRB03KT 2 1/2SM -RA BR OVC004 10/09 A2980 RMK AO2 SLP092 P0027 60145 T01000089 10100 20089 401000067 56010,null
LIT,2023-12-01 6:09,50,48,92.8,120,4,0.01,29.79,null,2.5,null,FEW,SCT,OVC,null,900,3300,10000,null,#NAME?,null,null,null,null,null,null,50,KLIT 010609Z 12004KT 2 1/2SM -RA BR FEW009 SCT033 OVC100 10/09 A2979 RMK AO2 P0001 T01000089,null
LIT,2023-12-01 6:53,50,47,89.37,0,0,0.01,29.8,1009.3,10,null,BKN,BKN,OVC,null,1200,4300,12000,null,null,null,null,null,null,null,null,50,KLIT 010653Z 00000KT 10SM BKN012 BKN043 OVC120 10/08 A2980 RMK AO2 RAE42 SLP093 P0001 T01000083,null
LIT,2023-12-01 7:32,49,46,89.33,0,0,0,29.79,null,8,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,49,KLIT 010732Z 00000KT 8SM OVC008 09/08 A2979 RMK AO2 T00940078,null
LIT,2023-12-01 7:53,49,46,89.33,0,0,0,29.78,1008.7,4,null,OVC,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,49,KLIT 010753Z 00000KT 4SM BR OVC006 09/08 A2978 RMK AO2 SLP087 T00940078,null
LIT,2023-12-01 8:53,51,48,89.42,0,0,0,29.78,1008.5,7,null,OVC,null,null,null,500,null,null,null,null,null,null,null,null,null,null,51,KLIT 010853Z 00000KT 7SM OVC005 11/09 A2978 RMK AO2 SLP085 60001 T01060089 58006,null
LIT,2023-12-01 9:53,51,48,89.42,30,3,0,29.77,1008.4,3,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,51,KLIT 010953Z 03003KT 3SM BR OVC004 11/09 A2977 RMK AO2 SLP084 T01060089,null
LIT,2023-12-01 10:18,51,48,89.42,0,0,T,29.77,null,1.75,null,OVC,null,null,null,300,null,null,null,BR,null,null,null,null,null,null,51,KLIT 011018Z 00000KT 1 3/4SM BR OVC003 11/09 A2977 RMK AO2 RAB0955E05 P0000 T01060089,null
LIT,2023-12-01 10:53,51,48,89.42,180,3,T,29.77,1008.4,1,null,OVC,null,null,null,300,null,null,null,BR,null,null,null,null,null,null,51,KLIT 011053Z 18003KT 1SM BR OVC003 11/09 A2977 RMK AO2 RAB0955E05B24E50 SLP084 P0000 T01060089 RVRNO,null
LIT,2023-12-01 11:32,51,49,92.83,0,0,0,29.78,null,0.75,null,VV ,null,null,null,400,null,null,null,MIFG,null,null,null,null,null,null,51,KLIT 011132Z 00000KT 3/4SM MIFG VV004 11/09 A2978 RMK AO2 T01060094 RVRNO,null
LIT,2023-12-01 11:53,51,48,89.42,0,0,0,29.78,1008.8,0.5,null,OVC,null,null,null,300,null,null,null,FG,null,null,null,null,null,null,51,KLIT 011153Z 00000KT 1/2SM FG OVC003 11/09 A2978 RMK AO2 SLP088 60001 70223 T01060089 10106 20094 53003 RVRNO,null
LIT,2023-12-01 12:53,52,49,89.46,0,0,0,29.79,1009,0.12,null,VV ,null,null,null,300,null,null,null,FG,null,null,null,null,null,null,52,KLIT 011253Z 00000KT 1/8SM FG VV003 11/09 A2979 RMK AO2 SLP090 T01110094 RVRNO,null
LIT,2023-12-01 12:55,52,49,89.46,0,0,0,29.79,null,0.5,null,VV ,null,null,null,300,null,null,null,FG,null,null,null,null,null,null,52,KLIT 011255Z 00000KT 1/2SM FG VV003 11/09 A2979 RMK AO2 T01110094 RVRNO,null
LIT,2023-12-01 13:08,52,49,89.46,260,3,0,29.8,null,0.12,null,VV ,null,null,null,300,null,null,null,FG,null,null,null,null,null,null,52,KLIT 011308Z 26003KT 1/8SM FG VV003 11/09 A2980 RMK AO2 T01110094 RVRNO,null
LIT,2023-12-01 13:53,53,50,89.51,270,3,0,29.82,1010.1,0.25,null,VV ,null,null,null,300,null,null,null,FG,null,null,null,null,null,null,53,KLIT 011353Z 27003KT 1/4SM FG VV003 12/10 A2982 RMK AO2 SLP101 T01170100 RVRNO,null
LIT,2023-12-01 14:53,55,53,92.95,270,5,0,29.84,1010.7,0.25,null,VV ,null,null,null,300,null,null,null,FG,null,null,null,null,null,null,55,KLIT 011453Z 27005KT 1/4SM FG VV003 13/12 A2984 RMK AO2 SLP107 T01280117 53019 RVRNO,null
LIT,2023-12-01 15:13,56,54,92.98,260,5,0,29.85,null,1,null,VV ,null,null,null,300,null,null,null,BR,null,null,null,null,null,null,56,KLIT 011513Z 26005KT 1SM BR VV003 13/12 A2985 RMK AO2 T01330122 RVRNO,null
LIT,2023-12-01 15:53,58,55,89.72,270,8,0,29.86,1011.4,6,null,BKN,OVC,null,null,400,1100,null,null,BR,null,null,null,null,null,null,58,KLIT 011553Z 27008KT 6SM BR BKN004 OVC011 14/13 A2986 RMK AO2 SLP114 T01440128,null
LIT,2023-12-01 16:25,58,55,89.72,250,7,0,29.86,null,9,null,BKN,OVC,null,null,600,1100,null,null,null,null,null,null,null,null,null,58,KLIT 011625Z 25007KT 9SM BKN006 OVC011 14/13 A2986 RMK AO2 T01440128,null
LIT,2023-12-01 16:53,59,54,83.46,260,9,0,29.87,1011.6,9,17,BKN,OVC,null,null,800,1100,null,null,null,null,null,null,null,null,null,59,KLIT 011653Z 26009G17KT 9SM BKN008 OVC011 15/12 A2987 RMK AO2 SLP116 T01500122,null
LIT,2023-12-01 17:53,62,54,75.02,250,12,0,29.87,1011.6,10,null,SCT,BKN,null,null,1000,25000,null,null,null,null,null,null,null,null,null,62,KLIT 011753Z 25012KT 10SM SCT010 BKN250 17/12 A2987 RMK AO2 SLP116 T01670122 10167 20106 51008,null
LIT,2023-12-01 18:53,65,53,65.09,250,10,0,29.84,1010.7,10,null,FEW,BKN,null,null,1700,25000,null,null,null,null,null,null,null,null,null,65,KLIT 011853Z 25010KT 10SM FEW017 BKN250 18/12 A2984 RMK AO2 SLP107 T01830117,null
LIT,2023-12-01 19:53,68,51,54.5,260,10,0,29.83,1010.2,10,18,FEW,BKN,null,null,1700,25000,null,null,null,null,null,null,null,null,null,68,KLIT 011953Z 26010G18KT 10SM FEW017 BKN250 20/11 A2983 RMK AO2 SLP102 T02000106,null
LIT,2023-12-01 20:53,68,50,52.51,270,9,0,29.84,1010.5,10,null,FEW,FEW,null,null,3000,25000,null,null,null,null,null,null,null,null,null,68,KLIT 012053Z 27009KT 10SM FEW030 FEW250 20/10 A2984 RMK AO2 SLP105 T02000100 55010,null
LIT,2023-12-01 21:53,68,49,50.59,270,8,0,29.86,1011.1,10,null,FEW,BKN,null,null,4000,25000,null,null,null,null,null,null,null,null,null,68,KLIT 012153Z 27008KT 10SM FEW040 BKN250 20/09 A2986 RMK AO2 SLP111 T02000094,null
LIT,2023-12-01 22:53,64,47,53.92,290,7,0,29.88,1011.8,10,null,FEW,SCT,null,null,4000,25000,null,null,null,null,null,null,null,null,null,64,KLIT 012253Z 29007KT 10SM FEW040 SCT250 18/08 A2988 RMK AO2 SLP118 T01780083,null
