station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
AVL,2023-12-01 0:54,45,26,47.04,140,4,0,30.15,1021.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42.6,KAVL 010054Z 14004KT 10SM CLR 07/M03 A3015 RMK AO2 SLP218 T00721033,null
AVL,2023-12-01 1:54,43,27,52.91,110,3,0,30.15,1021.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41.26,KAVL 010154Z 11003KT 10SM CLR 06/M03 A3015 RMK AO2 SLP213 T00611028,null
AVL,2023-12-01 2:54,42,28,57.3,130,3,0,30.16,1021.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40.12,KAVL 010254Z 13003KT 10SM CLR 06/M02 A3016 RMK AO2 SLP217 T00561022 53003,null
AVL,2023-12-01 3:54,40,27,59.41,0,0,0,30.17,1021.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40,KAVL 010354Z AUTO 00000KT 10SM CLR 04/M03 A3017 RMK AO2 SLP216 T00441028,null
AVL,2023-12-01 4:54,36,27,69.51,120,4,0,30.17,1021.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.09,KAVL 010454Z AUTO 12004KT 10SM CLR 02/M03 A3017 RMK AO2 SLP217 T00221028 401501044,null
AVL,2023-12-01 5:54,35,26,69.39,170,3,0,30.16,1021.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.12,KAVL 010554Z AUTO 17003KT 10SM CLR 02/M03 A3016 RMK AO2 SLP211 T00171033 10083 20011 58002,null
AVL,2023-12-01 6:54,38,28,66.94,140,4,0,30.15,1020.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34.43,KAVL 010654Z AUTO 14004KT 10SM CLR 03/M02 A3015 RMK AO2 SLP206 T00331022,null
AVL,2023-12-01 7:54,39,29,67.06,130,5,0,30.16,1020.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34.71,KAVL 010754Z AUTO 13005KT 10SM CLR 04/M02 A3016 RMK AO2 SLP208 T00391017,null
AVL,2023-12-01 8:54,41,30,64.63,160,7,0,30.15,1020.5,10,null,OVC,null,null,null,10000,null,null,null,null,null,null,null,null,null,null,35.75,KAVL 010854Z AUTO 16007KT 10SM OVC100 05/M01 A3015 RMK AO2 SLP205 T00501011 57002,null
AVL,2023-12-01 9:54,45,29,53.22,160,6,0,30.14,1020,10,null,BKN,OVC,null,null,8000,9500,null,null,null,null,null,null,null,null,null,41.19,KAVL 010954Z AUTO 16006KT 10SM BKN080 OVC095 07/M02 A3014 RMK AO2 SLP200 T00721017,null
AVL,2023-12-01 10:43,44,29,55.29,140,5,0,30.13,null,10,null,BKN,BKN,OVC,null,1700,2300,3400,null,null,null,null,null,null,null,null,40.65,KAVL 011043Z AUTO 14005KT 10SM BKN017 BKN023 OVC034 07/M02 A3013 RMK AO2 T00671017,null
AVL,2023-12-01 10:54,44,30,57.59,160,4,0,30.13,1020.2,10,null,OVC,null,null,null,2000,null,null,null,null,null,null,null,null,null,null,41.43,KAVL 011054Z AUTO 16004KT 10SM OVC020 07/M01 A3013 RMK AO2 SLP202 T00671011,null
AVL,2023-12-01 11:54,45,30,55.43,150,4,0,30.14,1020.3,10,null,OVC,null,null,null,1700,null,null,null,null,null,null,null,null,null,null,42.6,KAVL 011154Z 15004KT 10SM OVC017 07/M01 A3014 RMK AO2 SLP203 T00721011 10072 20011 55004,null
AVL,2023-12-01 12:54,45,31,57.73,140,6,0,30.15,1020.7,10,null,OVC,null,null,null,1600,null,null,null,null,null,null,null,null,null,null,41.19,KAVL 011254Z 14006KT 10SM OVC016 07/M01 A3015 RMK AO2 SLP207 T00721006,null
AVL,2023-12-01 13:45,46,40,79.44,130,3,0.01,30.14,null,8,null,OVC,null,null,null,1400,null,null,null,#NAME?,null,null,null,null,null,null,44.69,KAVL 011345Z 13003KT 8SM -RA OVC014 08/04 A3014 RMK AO2 RAB06 P0001 T00780044,null
AVL,2023-12-01 13:54,47,40,76.49,140,6,0.01,30.13,1020.2,10,null,BKN,OVC,null,null,1400,2000,null,null,#NAME?,null,null,null,null,null,null,43.6,KAVL 011354Z 14006KT 10SM -RA BKN014 OVC020 08/04 A3013 RMK AO2 RAB06 SLP202 P0001 T00830044,null
AVL,2023-12-01 14:54,46,43,89.2,160,7,0.01,30.15,1020.9,7,null,OVC,null,null,null,1200,null,null,null,#NAME?,null,null,null,null,null,null,41.84,KAVL 011454Z 16007KT 7SM -RA OVC012 08/06 A3015 RMK AO2 SLP209 P0001 60002 T00780061 53004,null
AVL,2023-12-01 15:54,47,45,92.71,160,4,0.01,30.13,1020.2,9,null,BKN,OVC,null,null,1000,1400,null,null,null,null,null,null,null,null,null,44.94,KAVL 011554Z 16004KT 9SM BKN010 OVC014 08/07 A3013 RMK AO2 RAE25 SLP202 P0001 T00830072,null
AVL,2023-12-01 16:06,48,46,92.74,180,5,T,30.13,null,1.5,null,OVC,null,null,null,1000,null,null,null,#NAME?,null,null,null,null,null,null,45.4,KAVL 011606Z 18005KT 1 1/2SM -RA BR OVC010 09/08 A3013 RMK AO2 RAB1558 P0000 T00890078,null
AVL,2023-12-01 16:24,48,46,92.74,160,6,0.01,30.12,null,1.5,null,OVC,null,null,null,900,null,null,null,#NAME?,null,null,null,null,null,null,44.8,KAVL 011624Z 16006KT 1 1/2SM -RA BR OVC009 09/08 A3012 RMK AO2 RAB1558 P0001 T00890078,null
AVL,2023-12-01 16:54,49,47,92.77,170,4,0.04,30.11,1019.6,1.5,null,OVC,null,null,null,800,null,null,null,#NAME?,null,null,null,null,null,null,47.27,KAVL 011654Z 17004KT 1 1/2SM -RA BR OVC008 09/08 A3011 RMK AO2 RAB1558 SLP196 P0004 T00940083,null
AVL,2023-12-01 17:01,49,47,92.77,130,3,T,30.11,null,2.5,null,OVC,null,null,null,800,null,null,null,#NAME?,null,null,null,null,null,null,48.12,KAVL 011701Z 13003KT 2 1/2SM -RA BR OVC008 09/08 A3011 RMK AO2 P0000 T00940083,null
