station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BFL,2023-12-01 0:54,59,39,47.35,0,0,0,29.96,1014.2,6,null,BKN,null,null,null,8000,null,null,null,HZ,null,null,null,null,null,null,59,KBFL 010054Z 00000KT 6SM HZ BKN080 15/04 A2996 RMK AO2 SLP142 T01500039,null
BFL,2023-12-01 1:54,57,38,48.93,60,4,0,29.96,1014.5,7,null,BKN,null,null,null,7000,null,null,null,null,null,null,null,null,null,null,57,KBFL 010154Z 06004KT 7SM BKN070 14/03 A2996 RMK AO2 SLP145 T01390033,null
BFL,2023-12-01 2:54,54,38,54.56,0,0,0,29.98,1015,6,null,OVC,null,null,null,7500,null,null,null,HZ,null,null,null,null,null,null,54,KBFL 010254Z 00000KT 6SM HZ OVC075 12/03 A2998 RMK AO2 SLP150 T01220033 53007,null
BFL,2023-12-01 3:54,55,38,52.6,90,3,0,29.99,1015.4,6,null,OVC,null,null,null,8000,null,null,null,HZ,null,null,null,null,null,null,55,KBFL 010354Z 09003KT 6SM HZ OVC080 13/03 A2999 RMK AO2 SLP154 T01280033,null
BFL,2023-12-01 4:54,55,38,52.6,90,3,0,30,1015.7,7,null,OVC,null,null,null,7500,null,null,null,null,null,null,null,null,null,null,55,KBFL 010454Z 09003KT 7SM OVC075 13/03 A3000 RMK AO2 SLP157 T01280033,null
BFL,2023-12-01 5:54,55,39,54.7,0,0,0,30,1015.8,6,null,SCT,OVC,null,null,6500,8000,null,null,HZ,null,null,null,null,null,null,55,KBFL 010554Z 00000KT 6SM HZ SCT065 OVC080 13/04 A3000 RMK AO2 SLP158 T01280039 10156 20122 51009,null
BFL,2023-12-01 6:54,55,39,54.7,0,0,T,30.02,1016.4,6,null,BKN,OVC,null,null,5000,8000,null,null,#NAME?,null,null,null,null,null,null,55,KBFL 010654Z AUTO 00000KT 6SM -RA BKN050 OVC080 13/04 A3002 RMK AO2 RAB51 SLP164 P0000 T01280039,null
BFL,2023-12-01 7:54,53,38,56.59,0,0,T,30.03,1016.6,6,null,SCT,null,null,null,5000,null,null,null,HZ,null,null,null,null,null,null,53,KBFL 010754Z AUTO 00000KT 6SM HZ SCT050 12/03 A3003 RMK AO2 RAE00 SLP166 P0000 T01170033 401610072,null
BFL,2023-12-01 8:54,48,38,68.13,310,5,0,30.03,1016.7,6,null,SCT,null,null,null,6500,null,null,null,HZ,null,null,null,null,null,null,45.4,KBFL 010854Z AUTO 31005KT 6SM HZ SCT065 09/03 A3003 RMK AO2 SLP167 60000 T00890033 51008,null
BFL,2023-12-01 9:54,48,38,68.13,320,6,0,30.04,1016.9,6,null,SCT,BKN,null,null,5500,7500,null,null,HZ,null,null,null,null,null,null,44.8,KBFL 010954Z AUTO 32006KT 6SM HZ SCT055 BKN075 09/03 A3004 RMK AO2 SLP169 T00890033,null
BFL,2023-12-01 10:54,47,38,70.74,340,8,0,30.04,1016.9,6,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,42.59,KBFL 011054Z AUTO 34008KT 6SM HZ CLR 08/03 A3004 RMK AO2 SLP169 T00830033,null
BFL,2023-12-01 11:54,44,38,79.27,320,4,0,30.04,1017.2,6,null,BKN,null,null,null,5500,null,null,null,HZ,null,null,null,null,null,null,41.43,KBFL 011154Z AUTO 32004KT 6SM HZ BKN055 07/03 A3004 RMK AO2 SLP172 60000 T00670033 10128 20067 51004,null
BFL,2023-12-01 12:54,48,41,76.58,330,8,0,30.06,1017.9,6,null,FEW,BKN,null,null,4700,6000,null,null,HZ,null,null,null,null,null,null,43.82,KBFL 011254Z AUTO 33008KT 6SM HZ FEW047 BKN060 09/05 A3006 RMK AO2 SLP179 T00890050,null
BFL,2023-12-01 13:54,46,40,79.44,320,6,0,30.1,1019,6,null,FEW,SCT,null,null,5000,6000,null,null,HZ,null,null,null,null,null,null,42.39,KBFL 011354Z AUTO 32006KT 6SM HZ FEW050 SCT060 08/04 A3010 RMK AO2 SLP190 T00780044,null
BFL,2023-12-01 14:54,46,40,79.44,280,5,0,30.12,1019.9,6,null,BKN,BKN,null,null,3600,6000,null,null,HZ,null,null,null,null,null,null,43.02,KBFL 011454Z 28005KT 6SM HZ BKN036 BKN060 08/04 A3012 RMK AO2 SLP199 T00780044 53027,null
BFL,2023-12-01 15:54,47,41,79.52,250,3,0,30.14,1020.4,5,null,SCT,null,null,null,5500,null,null,null,HZ,null,null,null,null,null,null,45.84,KBFL 011554Z 25003KT 5SM HZ SCT055 08/05 A3014 RMK AO2 SLP204 T00830050,null
BFL,2023-12-01 16:54,49,42,76.67,0,0,0,30.16,1021,5,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,49,KBFL 011654Z 00000KT 5SM HZ CLR 09/06 A3016 RMK AO2 SLP210 T00940056,null
BFL,2023-12-01 17:54,54,39,56.74,310,10,0,30.18,1021.6,6,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,54,KBFL 011754Z 31010KT 6SM HZ CLR 12/04 A3018 RMK AO2 SLP216 T01220039 10122 20061 53018,null
BFL,2023-12-01 18:54,56,38,50.73,320,8,0,30.18,1021.6,6,null,SCT,null,null,null,4200,null,null,null,HZ,null,null,null,null,null,null,56,KBFL 011854Z 32008KT 6SM HZ SCT042 13/03 A3018 RMK AO2 SLP216 T01330033,null
BFL,2023-12-01 19:54,56,37,48.77,330,9,0,30.16,1021.1,6,null,BKN,null,null,null,4200,null,null,null,HZ,null,null,null,null,null,null,56,KBFL 011954Z 33009KT 6SM HZ BKN042 13/03 A3016 RMK AO2 SLP211 T01330028,null
BFL,2023-12-01 20:54,58,38,47.2,260,8,0,30.14,1020.4,6,null,CLR,null,null,null,null,null,null,null,HZ,null,null,null,null,null,null,58,KBFL 012054Z 26008KT 6SM HZ CLR 14/03 A3014 RMK AO2 SLP204 T01440033 58012,null
BFL,2023-12-01 21:54,59,38,45.53,250,6,0,30.13,1020,6,null,SCT,null,null,null,4600,null,null,null,HZ,null,null,null,null,null,null,59,KBFL 012154Z 25006KT 6SM HZ SCT046 15/03 A3013 RMK AO2 SLP200 T01500033,null
BFL,2023-12-01 22:54,59,38,45.53,0,0,0,30.13,1019.9,6,null,BKN,null,null,null,4800,null,null,null,HZ,null,null,null,null,null,null,59,KBFL 012254Z 00000KT 6SM HZ BKN048 15/03 A3013 RMK AO2 SLP199 T01500033,null
