station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BOI,2023-12-01 0:53,33,25,72.11,200,4,0,29.87,1013.4,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,28.59,KBOI 010053Z 20004KT 10SM OVC060 01/M04 A2987 RMK AO2 SLP134 T00061039,null
BOI,2023-12-01 1:53,32,26,78.25,160,6,0,29.86,1013.3,8,null,OVC,null,null,null,4900,null,null,null,null,null,null,null,null,null,null,25.53,KBOI 010153Z 16006KT 8SM OVC049 00/M03 A2986 RMK AO2 SLP133 T00001033,null
BOI,2023-12-01 2:53,32,27,81.55,150,5,0,29.86,1013.2,8,null,SCT,OVC,null,null,4100,4900,null,null,null,null,null,null,null,null,null,26.4,KBOI 010253Z 15005KT 8SM SCT041 OVC049 00/M03 A2986 RMK AO2 SLP132 T00001028 56002,null
BOI,2023-12-01 3:53,31,27,84.92,130,6,0,29.86,1013.1,6,null,BKN,OVC,null,null,4800,7000,null,null,BR,null,null,null,null,null,null,24.33,KBOI 010353Z 13006KT 6SM BR BKN048 OVC070 M01/M03 A2986 RMK AO2 SLP131 T10061028,null
BOI,2023-12-01 4:53,31,27,84.92,160,8,T,29.86,1013.1,6,null,BKN,OVC,null,null,2500,6000,null,null,BR,null,null,null,null,null,null,22.88,KBOI 010453Z 16008KT 6SM BR BKN025 OVC060 M01/M03 A2986 RMK AO2 SNB08E31 SLP131 P0000 T10061028,null
BOI,2023-12-01 5:50,30.2,26.6,86.28,150,9,T,29.85,null,4,null,SCT,OVC,null,null,2700,4000,null,null,#NAME?,null,null,null,null,null,null,21.28,KBOI 010550Z 15009KT 4SM -SN BR SCT027 OVC040 M01/M03 A2985 RMK AO2 SNB0454E11B48 P0000,null
BOI,2023-12-01 5:53,31,27,84.92,150,8,T,29.85,1012.6,4,null,FEW,OVC,null,null,2700,4000,null,null,#NAME?,null,null,null,null,null,null,22.88,KBOI 010553Z 15008KT 4SM -SN BR FEW027 OVC040 M01/M03 A2985 RMK AO2 SNB0454E11B48 SLP126 P0000 60000 T10061028 10017 21006 57003,null
BOI,2023-12-01 6:51,30.2,26.6,86.28,160,7.97,null,29.85,null,2.5,null,OVC,null,null,null,3300,null,null,null,#NAME?,null,null,null,null,null,null,21.92,SPECI KBOI 010651Z 16008KT 2 1/2SM -SN BR OVC033 M01/M03 A2985 RMK AO2 P0001 FIBI (MW),null
BOI,2023-12-01 6:53,31,27,84.92,150,8,0.01,29.85,1012.3,2.5,null,OVC,null,null,null,3300,null,null,null,#NAME?,null,null,null,null,null,null,22.88,KBOI 010653Z 15008KT 2 1/2SM -SN BR OVC033 M01/M03 A2985 RMK AO2 SLP123 P0001 T10061028 400221044,null
BOI,2023-12-01 7:25,31,27,84.92,150,8,T,29.84,null,3,null,OVC,null,null,null,3500,null,null,null,#NAME?,null,null,null,null,null,null,22.88,KBOI 010725Z 15008KT 3SM -SN BR OVC035 M01/M03 A2984 RMK AO2 P0000 T10061028,null
BOI,2023-12-01 7:34,31,27,84.92,150,7,T,29.84,null,2.5,null,OVC,null,null,null,3700,null,null,null,#NAME?,null,null,null,null,null,null,23.56,KBOI 010734Z 15007KT 2 1/2SM -SN BR OVC037 M01/M03 A2984 RMK AO2 P0000 T10061028,null
BOI,2023-12-01 7:53,31,27,84.92,150,7,T,29.84,1012.1,2.5,null,OVC,null,null,null,3300,null,null,null,#NAME?,null,null,null,null,null,null,23.56,KBOI 010753Z 15007KT 2 1/2SM -SN BR OVC033 M01/M03 A2984 RMK AO2 SLP121 P0000 T10061028,null
