station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BOS,2023-12-01 0:54,41,29,62.04,220,11,0,30.1,1019.1,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,33.84,KBOS 010054Z 22011KT 10SM BKN250 05/M02 A3010 RMK AO2 SLP191 T00501017,null
BOS,2023-12-01 1:54,42,30,62.18,220,11,0,30.09,1018.9,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,35.1,KBOS 010154Z 22011KT 10SM BKN250 06/M01 A3009 RMK AO2 SLP189 T00561011,null
BOS,2023-12-01 2:54,41,31,67.3,210,9,0,30.08,1018.6,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,34.7,KBOS 010254Z 21009KT 10SM BKN250 05/M01 A3008 RMK AO2 SLP186 T00501006 58001,null
BOS,2023-12-01 3:54,41,32,70.08,210,10,0,30.08,1018.5,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,34.25,KBOS 010354Z 21010KT 10SM BKN250 05/00 A3008 RMK AO2 SLP185 T00500000,null
BOS,2023-12-01 4:54,42,33,70.19,220,14,0,30.09,1018.9,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,34.05,KBOS 010454Z 22014KT 10SM SCT250 06/01 A3009 RMK AO2 SLP189 T00560006 400831011,null
BOS,2023-12-01 5:54,42,34,73.06,210,14,0,30.09,1018.9,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,34.05,KBOS 010554Z 21014KT 10SM BKN250 06/01 A3009 RMK AO2 SLP189 T00560011 10061 20044 53002,null
BOS,2023-12-01 6:54,41,34,75.94,220,10,0,30.11,1019.5,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,34.25,KBOS 010654Z 22010KT 10SM SCT250 05/01 A3011 RMK AO2 SLP195 T00500011,null
BOS,2023-12-01 7:54,43,35,73.16,220,12,0,30.1,1019.3,10,null,BKN,null,null,null,22000,null,null,null,null,null,null,null,null,null,null,36,KBOS 010754Z 22012KT 10SM BKN220 06/02 A3010 RMK AO2 SLP193 T00610017,null
BOS,2023-12-01 8:54,44,35,70.42,220,15,0,30.11,1019.5,10,null,SCT,BKN,null,null,14000,22000,null,null,null,null,null,null,null,null,null,36.34,KBOS 010854Z 22015KT 10SM SCT140 BKN220 07/02 A3011 RMK AO2 SLP195 T00670017 51006,null
BOS,2023-12-01 9:54,43,35,73.16,220,14,0,30.11,1019.5,10,null,FEW,SCT,BKN,null,14000,20000,25000,null,null,null,null,null,null,null,null,35.34,KBOS 010954Z 22014KT 10SM FEW140 SCT200 BKN250 06/02 A3011 RMK AO2 SLP195 T00610017,null
BOS,2023-12-01 10:54,42,35,76.03,220,11,0,30.12,1019.8,10,null,FEW,FEW,SCT,null,14000,20000,25000,null,null,null,null,null,null,null,null,35.1,KBOS 011054Z 22011KT 10SM FEW140 FEW200 SCT250 06/02 A3012 RMK AO2 SLP198 T00560017,null
BOS,2023-12-01 11:54,42,34,73.06,220,10,0,30.13,1020.2,10,null,FEW,FEW,null,null,9000,25000,null,null,null,null,null,null,null,null,null,35.51,KBOS 011154Z 22010KT 10SM FEW090 FEW250 06/01 A3013 RMK AO2 SLP202 T00560011 10067 20050 53007,null
