station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BUF,2023-12-01 0:54,47,32,55.73,210,15,0,29.87,1012,10,22,SCT,null,null,null,21000,null,null,null,null,null,null,null,null,null,null,40.23,KBUF 010054Z 21015G22KT 10SM SCT210 08/00 A2987 RMK AO2 SLP120 T00830000,null
BUF,2023-12-01 1:54,47,32,55.73,210,13,0,29.88,1012.4,10,null,FEW,FEW,null,null,8000,23000,null,null,null,null,null,null,null,null,null,40.79,KBUF 010154Z 21013KT 10SM FEW080 FEW230 08/00 A2988 RMK AO2 SLP124 T00830000,null
BUF,2023-12-01 2:54,47,31,53.52,210,12,0,29.89,1012.6,10,null,FEW,FEW,null,null,8000,22000,null,null,null,null,null,null,null,null,null,41.09,KBUF 010254Z 21012KT 10SM FEW080 FEW220 08/M01 A2989 RMK AO2 SLP126 T00831006 51012,null
BUF,2023-12-01 3:54,47,31,53.52,200,13,0,29.89,1012.8,10,null,BKN,null,null,null,6500,null,null,null,null,null,null,null,null,null,null,40.79,KBUF 010354Z 20013KT 10SM BKN065 08/M01 A2989 RMK AO2 SLP128 T00831006,null
BUF,2023-12-01 4:54,49,32,51.7,210,11,0,29.91,1013.2,10,21,BKN,BKN,null,null,5000,7000,null,null,null,null,null,null,null,null,null,43.95,KBUF 010454Z 21011G21KT 10SM BKN050 BKN070 09/00 A2991 RMK AO2 SLP132 T00940000 401000011,null
BUF,2023-12-01 5:54,50,32,49.81,230,16,0,29.92,1013.5,10,23,SCT,BKN,null,null,4800,7500,null,null,null,null,null,null,null,null,null,50,KBUF 010554Z 23016G23KT 10SM SCT048 BKN075 10/00 A2992 RMK AO2 SLP135 T01000000 10100 20078 53010,null
BUF,2023-12-01 6:54,50,33,51.85,230,13,0,29.93,1013.7,10,null,OVC,null,null,null,4400,null,null,null,null,null,null,null,null,null,null,50,KBUF 010654Z 23013KT 10SM OVC044 10/01 A2993 RMK AO2 SLP137 T01000006,null
BUF,2023-12-01 7:54,49,33,53.82,220,11,0,29.95,1014.3,10,null,OVC,null,null,null,4200,null,null,null,null,null,null,null,null,null,null,43.95,KBUF 010754Z 22011KT 10SM OVC042 09/01 A2995 RMK AO2 SLP143 T00940006,null
BUF,2023-12-01 8:54,49,36,60.66,230,11,0,29.95,1014.5,10,21,OVC,null,null,null,3900,null,null,null,null,null,null,null,null,null,null,43.95,KBUF 010854Z 23011G21KT 10SM OVC039 09/02 A2995 RMK AO2 SLP145 T00940022 51010,null
BUF,2023-12-01 9:54,49,39,68.25,240,12,0,29.96,1015,10,22,OVC,null,null,null,3600,null,null,null,null,null,null,null,null,null,null,43.64,KBUF 010954Z 24012G22KT 10SM OVC036 09/04 A2996 RMK AO2 SLP150 T00940039,null
BUF,2023-12-01 10:54,48,40,73.67,230,10,0,29.97,1015.2,10,null,OVC,null,null,null,3600,null,null,null,null,null,null,null,null,null,null,43.03,KBUF 011054Z 23010KT 10SM OVC036 09/04 A2997 RMK AO2 SLP152 T00890044,null
BUF,2023-12-01 11:54,48,40,73.67,220,5,0,29.99,1015.8,10,null,OVC,null,null,null,3300,null,null,null,null,null,null,null,null,null,null,45.4,KBUF 011154Z 22005KT 10SM OVC033 09/04 A2999 RMK AO2 SLP158 T00890044 10100 20089 53012,null
