station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BUR,2023-12-01 0:53,61,50,67.06,150,4,0,29.89,1011.3,10,null,FEW,SCT,BKN,null,2800,4100,7000,null,null,null,null,null,null,null,null,61,KBUR 010053Z 15004KT 10SM FEW028 SCT041 BKN070 16/10 A2989 RMK AO2 SLP113 T01610100,null
BUR,2023-12-01 1:53,58,51,77.47,170,3,0,29.9,1011.9,10,null,FEW,SCT,null,null,4500,6000,null,null,null,null,null,null,null,null,null,58,KBUR 010153Z 17003KT 10SM FEW045 SCT060 14/11 A2990 RMK AO2 SLP119 T01440106,null
BUR,2023-12-01 2:53,57,51,80.31,0,0,0,29.91,1012.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,57,KBUR 010253Z 00000KT 10SM CLR 14/11 A2991 RMK AO2 SLP122 T01390106 53007,null
BUR,2023-12-01 3:53,57,51,80.31,0,0,0,29.93,1012.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,57,KBUR 010353Z 00000KT 10SM CLR 14/11 A2993 RMK AO2 SLP126 T01390106,null
BUR,2023-12-01 4:53,54,48,80.07,310,3,0,29.94,1013.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54,KBUR 010453Z 31003KT 10SM CLR 12/09 A2994 RMK AO2 SLP132 T01220089,null
BUR,2023-12-01 5:53,57,38,48.93,290,6,0,29.94,1013.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,57,KBUR 010553Z 29006KT 10SM CLR 14/03 A2994 RMK AO2 SLP131 T01390033 10167 20122 50009,null
BUR,2023-12-01 6:53,57,37,47.04,290,8,0,29.95,1013.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,57,KBUR 010653Z 29008KT 10SM CLR 14/03 A2995 RMK AO2 SLP133 T01390028,null
BUR,2023-12-01 7:53,57,36,45.22,350,4,0,29.96,1013.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,57,KBUR 010753Z 35004KT 10SM CLR 14/02 A2996 RMK AO2 SLP137 T01390022 401830083,null
BUR,2023-12-01 8:53,51,37,58.58,290,4,0,29.95,1013.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51,KBUR 010853Z 29004KT 10SM CLR 11/03 A2995 RMK AO2 SLP135 T01060028 50005,null
BUR,2023-12-01 9:53,53,36,52.3,330,10,0,29.95,1013.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53,KBUR 010953Z 33010KT 10SM CLR 12/02 A2995 RMK AO2 SLP132 T01170022,null
BUR,2023-12-01 10:53,56,36,46.88,340,10,0,29.94,1013,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,26,340,2023-12-01 10:02,56,KBUR 011053Z 34010KT 10SM CLR 13/02 A2994 RMK AO2 PK WND 34026/1002 SLP130 T01330022,null
BUR,2023-12-01 11:53,56,35,45.06,320,10,0,29.95,1013.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56,KBUR 011153Z 32010KT 10SM CLR 13/02 A2995 RMK AO2 SLP134 T01330017 10144 20100 55001,null
BUR,2023-12-01 12:53,54,37,52.45,300,9,0,29.96,1013.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54,KBUR 011253Z 30009KT 10SM CLR 12/03 A2996 RMK AO2 SLP136 T01220028,null
BUR,2023-12-01 13:53,53,38,56.59,310,8,0,29.98,1014.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53,KBUR 011353Z 31008KT 10SM CLR 12/03 A2998 RMK AO2 SLP143 T01170033,null
BUR,2023-12-01 14:53,54,36,50.42,330,9,0,30,1015.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54,KBUR 011453Z 33009KT 10SM CLR 12/02 A3000 RMK AO2 SLP152 T01220022 53017,null
BUR,2023-12-01 15:53,55,36,48.62,280,12,0,30.01,1015.6,10,22,FEW,null,null,null,5500,null,null,null,null,null,null,null,null,null,null,55,KBUR 011553Z 28012G22KT 10SM FEW055 13/02 A3001 RMK AO2 SLP156 T01280022,null
BUR,2023-12-01 16:53,58,35,41.92,300,11,0,30.02,1016,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,58,KBUR 011653Z 30011KT 10SM CLR 14/02 A3002 RMK AO2 SLP160 T01440017,null
BUR,2023-12-01 17:53,59,36,42.08,320,10,0,30.03,1016.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,59,KBUR 011753Z 32010KT 10SM CLR 15/02 A3003 RMK AO2 SLP161 T01500022 10150 20117 51010,null
BUR,2023-12-01 18:53,61,34,36.19,320,9,0,30.03,1016,10,19,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,61,KBUR 011853Z 32009G19KT 10SM CLR 16/01 A3003 RMK AO2 SLP160 T01610011,null
BUR,2023-12-01 19:53,63,33,32.4,300,10,0,30.01,1015.4,10,21,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,63,KBUR 011953Z 30010G21KT 10SM CLR 17/01 A3001 RMK AO2 SLP154 T01720006,null
BUR,2023-12-01 20:53,64,32,30.05,310,11,0,30,1014.9,10,19,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,64,KBUR 012053Z 31011G19KT 10SM CLR 18/00 A3000 RMK AO2 SLP149 T01780000 58012,null
BUR,2023-12-01 21:53,64,30,27.71,300,10,0,29.98,1014.4,10,24,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,64,KBUR 012153Z 30010G24KT 10SM CLR 18/M01 A2998 RMK AO2 SLP144 T01781011,null
BUR,2023-12-01 22:53,65,29,25.69,320,12,0,29.99,1014.5,10,19,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,65,KBUR 012253Z 32012G19KT 10SM CLR 18/M02 A2999 RMK AO2 SLP145 T01831017,null
