station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BZN,2023-12-01 0:56,29,16,57.83,0,0,0,29.75,1012.7,10,null,FEW,OVC,null,null,8000,10000,null,null,null,null,null,null,null,null,null,29,KBZN 010056Z 00000KT 10SM FEW080 OVC100 M02/M09 A2975 RMK AO2 SLP127 T10171089,null
BZN,2023-12-01 1:56,27,16,62.78,0,0,0,29.75,1012.9,10,null,OVC,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,27,KBZN 010156Z 00000KT 10SM OVC110 M03/M09 A2975 RMK AO2 SLP129 T10281089,null
BZN,2023-12-01 2:56,26,16,65.43,250,4,0,29.75,1012.7,10,null,OVC,null,null,null,10000,null,null,null,null,null,null,null,null,null,null,20.41,KBZN 010256Z 25004KT 10SM OVC100 M03/M09 A2975 RMK AO2 SLP127 T10331089 56003,null
BZN,2023-12-01 3:56,28,16,60.25,0,0,0,29.75,1012.4,10,null,FEW,SCT,OVC,null,6500,8000,11000,null,null,null,null,null,null,null,null,28,KBZN 010356Z 00000KT 10SM FEW065 SCT080 OVC110 M02/M09 A2975 RMK AO2 SLP124 T10221089,null
BZN,2023-12-01 4:56,25,18,74.36,0,0,0,29.75,1012.1,10,null,OVC,null,null,null,6500,null,null,null,null,null,null,null,null,null,null,25,KBZN 010456Z 00000KT 10SM OVC065 M04/M08 A2975 RMK AO2 SLP121 T10391078,null
BZN,2023-12-01 5:56,24,17,74.26,120,5,0,29.74,1010.9,10,null,FEW,SCT,OVC,null,5000,6500,9000,null,null,null,null,null,null,null,null,16.89,KBZN 010556Z 12005KT 10SM FEW050 SCT065 OVC090 M04/M08 A2974 RMK AO2 SLP109 T10441083 11017 21044 58003,null
BZN,2023-12-01 6:56,24,16,71.11,260,3,0,29.75,1010.9,10,null,SCT,OVC,null,null,6000,9000,null,null,null,null,null,null,null,null,null,19.54,KBZN 010656Z AUTO 26003KT 10SM SCT060 OVC090 M04/M09 A2975 RMK AO2 SLP109 T10441089 400111122,null
BZN,2023-12-01 7:56,24,17,74.26,0,0,0,29.74,1010.5,10,null,OVC,null,null,null,8500,null,null,null,null,null,null,null,null,null,null,24,KBZN 010756Z AUTO 00000KT 10SM OVC085 M04/M08 A2974 RMK AO2 SLP105 T10441083,null
BZN,2023-12-01 8:56,23,18,80.85,170,3,0,29.74,1010.6,10,null,FEW,BKN,OVC,null,4900,6000,7500,null,null,null,null,null,null,null,null,18.4,KBZN 010856Z AUTO 17003KT 10SM FEW049 BKN060 OVC075 M05/M08 A2974 RMK AO2 SLP106 T10501078 58001,null
BZN,2023-12-01 9:56,24,17,74.26,280,3,0,29.74,1010.3,10,null,FEW,OVC,null,null,7000,8500,null,null,null,null,null,null,null,null,null,19.54,KBZN 010956Z AUTO 28003KT 10SM FEW070 OVC085 M04/M08 A2974 RMK AO2 SLP103 T10441083,null
