station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SBA,2023-12-01 0:53,63,50,62.49,260,10,0,29.89,1012,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,63,KSBA 010053Z 26010KT 10SM CLR 17/10 A2989 RMK AO2 SLP120 T01720100,null
SBP,2023-12-01 0:56,60,51,72.12,300,13,0,29.96,1014.5,10,20,FEW,FEW,null,null,1800,4500,null,null,null,null,null,null,null,null,null,60,KSBP 010056Z 30013G20KT 10SM FEW018 FEW045 16/11 A2996 RMK AO2 SLP145 T01560106,null
SBA,2023-12-01 1:53,60,48,64.49,0,0,0,29.91,1012.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,60,KSBA 010153Z 00000KT 10SM CLR 16/09 A2991 RMK AO2 SLP126 T01560089,null
SBP,2023-12-01 1:56,59,51,74.74,320,10,0,29.98,1015.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,59,KSBP 010156Z 32010KT 10SM CLR 15/11 A2998 RMK AO2 SLP152 T01500106,null
SBA,2023-12-01 2:53,59,45,59.67,290,3,0,29.92,1013.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,59,KSBA 010253Z 29003KT 10SM CLR 15/07 A2992 RMK AO2 SLP133 T01500072 53018,null
SBP,2023-12-01 2:56,58,49,71.91,330,8,0,29.99,1015.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,58,KSBP 010256Z 33008KT 10SM CLR 14/09 A2999 RMK AO2 SLP155 T01440094 53013,null
SBA,2023-12-01 3:53,61,42,49.54,0,0,0,29.95,1014.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,61,KSBA 010353Z 00000KT 10SM CLR 16/06 A2995 RMK AO2 SLP141 T01610056,null
SBP,2023-12-01 3:56,56,48,74.45,340,5,0,30.01,1016.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56,KSBP 010356Z 34005KT 10SM CLR 13/09 A3001 RMK AO2 SLP163 T01330089,null
SBA,2023-12-01 4:53,55,43,63.86,null,3,0,29.97,1014.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55,KSBA 010453Z VRB03KT 10SM CLR 13/06 A2997 RMK AO2 SLP147 T01280061,null
SBP,2023-12-01 4:56,54,47,77.12,0,0,0,30.03,1016.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54,KSBP 010456Z 00000KT 10SM CLR 12/08 A3003 RMK AO2 SLP167 T01220083,null
SBA,2023-12-01 5:53,58,43,57.3,340,3,0,29.98,1015.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,58,KSBA 010553Z 34003KT 10SM CLR 14/06 A2998 RMK AO2 SLP151 T01440061 10206 20122 51018,null
SBP,2023-12-01 5:56,54,47,77.12,330,5,0,30.04,1017.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54,KSBP 010556Z 33005KT 10SM CLR 12/08 A3004 RMK AO2 SLP173 T01220083 10172 20117 51017,null
SBA,2023-12-01 6:53,58,43,57.3,350,8,0,29.99,1015.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,58,KSBA 010653Z AUTO 35008KT 10SM CLR 14/06 A2999 RMK AO2 SLP155 T01440061,null
SBP,2023-12-01 6:56,52,45,76.94,0,0,0,30.06,1017.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,52,KSBP 010656Z 00000KT 10SM CLR 11/07 A3006 RMK AO2 SLP177 T01110072,null
SBA,2023-12-01 7:53,54,43,66.24,240,3,0,30,1015.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54,KSBA 010753Z AUTO 24003KT 10SM CLR 12/06 A3000 RMK AO2 SLP158 T01220061 402220072,null
SBP,2023-12-01 7:56,50,43,76.76,110,4,0,30.06,1017.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50,KSBP 010756Z 11004KT 10SM CLR 10/06 A3006 RMK AO2 SLP178 T01000061 402170089,null
SBA,2023-12-01 8:53,53,43,68.71,20,5,0,29.99,1015.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53,KSBA 010853Z AUTO 02005KT 10SM CLR 12/06 A2999 RMK AO2 SLP155 T01170061 50004,null
SBP,2023-12-01 8:56,49,42,76.67,0,0,0,30.07,1018.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49,KSBP 010856Z 00000KT 10SM CLR 09/06 A3007 RMK AO2 SLP181 T00940056 51008,null
SBA,2023-12-01 9:53,58,41,53.05,310,11,0,30,1015.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,58,KSBA 010953Z AUTO 31011KT 10SM CLR 14/05 A3000 RMK AO2 SLP157 T01440050,null
SBP,2023-12-01 9:56,48,42,79.6,120,3,0,30.06,1017.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46.98,KSBP 010956Z 12003KT 10SM CLR 09/06 A3006 RMK AO2 SLP179 T00890056,null
SBA,2023-12-01 10:53,59,39,47.35,330,11,0,29.99,1015.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,59,KSBA 011053Z AUTO 33011KT 10SM CLR 15/04 A2999 RMK AO2 SLP156 T01500039 $,null
SBP,2023-12-01 10:56,51,42,71.18,0,0,0,30.07,1018.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51,KSBP 011056Z 00000KT 10SM CLR 11/06 A3007 RMK AO2 SLP181 T01060056,null
SBA,2023-12-01 11:53,56,39,52.75,320,8,0,29.99,1015.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56,KSBA 011153Z AUTO 32008KT 10SM CLR 13/04 A2999 RMK AO2 SLP155 T01330039 10150 20111 50000 $,null
SBP,2023-12-01 11:56,50,41,71.07,230,3,0,30.07,1018.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50,KSBP 011156Z 23003KT 10SM CLR 10/05 A3007 RMK AO2 SLP183 T01000050 10128 20089 53002,null
SBA,2023-12-01 12:53,53,40,61.19,330,7,0,29.99,1015.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53,KSBA 011253Z AUTO 33007KT 10SM CLR 12/04 A2999 RMK AO2 SLP157 T01170044 $,null
SBP,2023-12-01 12:56,50,40,68.37,0,0,0,30.09,1018.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50,KSBP 011256Z 00000KT 10SM CLR 10/04 A3009 RMK AO2 SLP188 T01000044,null
SBA,2023-12-01 13:53,52,40,63.48,290,4,0,30.01,1016.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,52,KSBA 011353Z 29004KT 10SM CLR 11/04 A3001 RMK AO2 SLP161 T01110044 $,null
