station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CAE,2023-12-01 0:56,41,35,79.02,0,0,0,30.22,1023.3,10,null,BKN,null,null,null,15000,null,null,null,null,null,null,null,null,null,null,41,KCAE 010056Z 00000KT 10SM BKN150 05/02 A3022 RMK AO2 SLP233 T00500017,null
CAE,2023-12-01 1:56,39,35,85.42,0,0,0,30.21,1023,10,null,BKN,null,null,null,15000,null,null,null,null,null,null,null,null,null,null,39,KCAE 010156Z 00000KT 10SM BKN150 04/02 A3021 RMK AO2 SLP230 T00390017,null
CAE,2023-12-01 2:56,38,35,88.83,0,0,0,30.21,1023.2,10,null,BKN,null,null,null,15000,null,null,null,null,null,null,null,null,null,null,38,KCAE 010256Z 00000KT 10SM BKN150 03/02 A3021 RMK AO2 SLP232 T00330017 51004,null
CAE,2023-12-01 3:56,35,34,96.09,0,0,0,30.21,1023.1,10,null,BKN,null,null,null,15000,null,null,null,null,null,null,null,null,null,null,35,KCAE 010356Z 00000KT 10SM BKN150 02/01 A3021 RMK AO2 SLP231 T00170011,null
CAE,2023-12-01 4:56,37,34,88.78,0,0,0,30.2,1022.6,10,null,BKN,null,null,null,15000,null,null,null,null,null,null,null,null,null,null,37,KCAE 010456Z 00000KT 10SM BKN150 03/01 A3020 RMK AO2 SLP226 T00280011 401561028,null
CAE,2023-12-01 5:56,38,35,88.83,0,0,0,30.19,1022.3,10,null,FEW,BKN,null,null,3900,15000,null,null,null,null,null,null,null,null,null,38,KCAE 010556Z 00000KT 10SM FEW039 BKN150 03/02 A3019 RMK AO2 SLP223 T00330017 10089 20017 58008,null
CAE,2023-12-01 6:56,36,35,96.11,0,0,0,30.17,1021.8,10,null,BKN,null,null,null,18000,null,null,null,null,null,null,null,null,null,null,36,KCAE 010656Z 00000KT 10SM BKN180 02/02 A3017 RMK AO2 SLP218 T00220017,null
CAE,2023-12-01 7:56,37,35,92.39,0,0,0,30.18,1022,10,null,FEW,BKN,null,null,5000,15000,null,null,null,null,null,null,null,null,null,37,KCAE 010756Z 00000KT 10SM FEW050 BKN150 03/02 A3018 RMK AO2 SLP220 T00280017,null
CAE,2023-12-01 8:56,37,35,92.39,0,0,0,30.17,1021.6,10,null,BKN,null,null,null,16000,null,null,null,null,null,null,null,null,null,null,37,KCAE 010856Z 00000KT 10SM BKN160 03/02 A3017 RMK AO2 SLP216 T00280017 56007,null
CAE,2023-12-01 9:56,40,37,88.92,0,0,0,30.17,1021.7,10,null,FEW,null,null,null,4100,null,null,null,null,null,null,null,null,null,null,40,KCAE 010956Z 00000KT 10SM FEW041 04/03 A3017 RMK AO2 SLP217 T00440028,null
CAE,2023-12-01 10:56,41,38,88.97,0,0,0,30.16,1021.2,10,null,BKN,null,null,null,12000,null,null,null,null,null,null,null,null,null,null,41,KCAE 011056Z 00000KT 10SM BKN120 05/03 A3016 RMK AO2 SLP212 T00500033,null
CAE,2023-12-01 11:56,44,39,82.44,0,0,0,30.16,1021.2,10,null,BKN,OVC,null,null,11000,18000,null,null,null,null,null,null,null,null,null,44,KCAE 011156Z 00000KT 10SM BKN110 OVC180 07/04 A3016 RMK AO2 SLP212 T00670039 10067 20022 58004,null
CAE,2023-12-01 12:56,45,39,79.36,0,0,0,30.16,1021.2,8,null,SCT,BKN,OVC,null,4200,5500,12000,null,null,null,null,null,null,null,null,45,KCAE 011256Z 00000KT 8SM SCT042 BKN055 OVC120 07/04 A3016 RMK AO2 SLP212 T00720039,null
CAE,2023-12-01 13:56,48,42,79.6,80,3,0,30.17,1021.6,6,null,SCT,BKN,OVC,null,4100,5500,10000,null,HZ,null,null,null,null,null,null,46.98,KCAE 011356Z 08003KT 6SM HZ SCT041 BKN055 OVC100 09/06 A3017 RMK AO2 SLP216 T00890056,null
CAE,2023-12-01 14:56,49,44,82.79,0,0,0,30.17,1021.7,6,null,SCT,OVC,null,null,5500,10000,null,null,HZ,null,null,null,null,null,null,49,KCAE 011456Z 00000KT 6SM HZ SCT055 OVC100 09/07 A3017 RMK AO2 SLP217 T00940067 53005,null
CAE,2023-12-01 15:56,51,45,79.84,0,0,0,30.18,1021.8,6,null,OVC,null,null,null,10000,null,null,null,HZ,null,null,null,null,null,null,51,KCAE 011556Z 00000KT 6SM HZ OVC100 11/07 A3018 RMK AO2 SLP218 T01060072,null
CAE,2023-12-01 16:56,55,47,74.36,0,0,0,30.15,1020.9,6,null,FEW,FEW,OVC,null,3900,4600,11000,null,HZ,null,null,null,null,null,null,55,KCAE 011656Z 00000KT 6SM HZ FEW039 FEW046 OVC110 13/08 A3015 RMK AO2 SLP209 T01280083,null
CAE,2023-12-01 17:56,60,50,69.49,90,5,0,30.09,1019.1,10,null,BKN,BKN,null,null,9000,12000,null,null,null,null,null,null,null,null,null,60,KCAE 011756Z 09005KT 10SM BKN090 BKN120 16/10 A3009 RMK AO2 SLP191 T01560100 10156 20067 58026,null
CAE,2023-12-01 18:56,63,53,69.82,0,0,0,30.08,1018.5,6,null,BKN,OVC,null,null,10000,20000,null,null,HZ,null,null,null,null,null,null,63,KCAE 011856Z 00000KT 6SM HZ BKN100 OVC200 17/12 A3008 RMK AO2 SLP185 T01720117,null
CAE,2023-12-01 19:56,70,60,70.56,170,7,0,30.05,1017.5,10,null,FEW,BKN,null,null,11000,20000,null,null,null,null,null,null,null,null,null,70,KCAE 011956Z 17007KT 10SM FEW110 BKN200 21/16 A3005 RMK AO2 SLP175 T02110156,null
CAE,2023-12-01 20:56,70,61,73.11,160,6,0,30.03,1016.9,10,null,FEW,SCT,BKN,null,2000,11000,20000,null,null,null,null,null,null,null,null,70,KCAE 012056Z 16006KT 10SM FEW020 SCT110 BKN200 21/16 A3003 RMK AO2 SLP169 T02110161 58020,null
CAE,2023-12-01 21:56,66,57,72.72,60,4,0,30.03,1016.9,10,null,BKN,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,66,KCAE 012156Z 06004KT 10SM BKN110 19/14 A3003 RMK AO2 SLP169 T01890139 $,null
CAE,2023-12-01 22:56,63,57,80.76,110,4,0,30.05,1017.5,10,null,BKN,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,63,KCAE 012256Z 11004KT 10SM BKN110 17/14 A3005 RMK AO2 SLP175 T01720139 $,null
CAE,2023-12-01 23:56,63,58,83.72,70,3,0,30.06,1017.7,10,null,BKN,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,63,KCAE 012356Z 07003KT 10SM BKN110 17/14 A3006 RMK AO2 SLP177 T01720144 10217 20156 53008 $,null
CAE,2023-12-02 0:56,63,59,86.77,80,3,0,30.06,1017.8,10,null,BKN,null,null,null,9500,null,null,null,null,null,null,null,null,null,null,63,KCAE 020056Z 08003KT 10SM BKN095 17/15 A3006 RMK AO2 SLP178 T01720150 $,null
CAE,2023-12-02 1:56,62,60,93.15,0,0,0,30.07,1018,10,null,SCT,BKN,BKN,null,5000,6000,9000,null,null,null,null,null,null,null,null,62,KCAE 020156Z 00000KT 10SM SCT050 BKN060 BKN090 17/16 A3007 RMK AO2 SLP180 T01670156 $,null
CAE,2023-12-02 2:56,63,61,93.18,0,0,0,30.08,1018.6,10,null,BKN,OVC,null,null,4800,7000,null,null,null,null,null,null,null,null,null,63,KCAE 020256Z 00000KT 10SM BKN048 OVC070 17/16 A3008 RMK AO2 SLP186 T01720161 53008 $,null
CAE,2023-12-02 3:56,62,61,96.52,0,0,0,30.06,1018,10,null,SCT,BKN,null,null,5500,11000,null,null,null,null,null,null,null,null,null,62,KCAE 020356Z 00000KT 10SM SCT055 BKN110 17/16 A3006 RMK AO2 SLP180 T01670161 $,null
CAE,2023-12-02 4:56,62,61,96.52,0,0,0,30.06,1017.9,10,null,BKN,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,62,KCAE 020456Z 00000KT 10SM BKN060 17/16 A3006 RMK AO2 SLP179 T01670161 402170022 $,null
CAE,2023-12-02 5:56,67,64,90.09,220,6,0,30.05,1017.5,10,null,OVC,null,null,null,10000,null,null,null,null,null,null,null,null,null,null,67,KCAE 020556Z 22006KT 10SM OVC100 19/18 A3005 RMK AO2 SLP175 T01940178 10194 20161 56010 $,null
CAE,2023-12-02 6:56,67,65,93.29,210,5,0,30.05,1017.3,10,null,BKN,OVC,null,null,5000,10000,null,null,null,null,null,null,null,null,null,67,KCAE 020656Z 21005KT 10SM BKN050 OVC100 19/18 A3005 RMK AO2 SLP173 T01940183 $,null
CAE,2023-12-02 7:56,66,64,93.26,220,4,0,30.05,1017.3,10,null,BKN,OVC,null,null,4000,10000,null,null,null,null,null,null,null,null,null,66,KCAE 020756Z 22004KT 10SM BKN040 OVC100 19/18 A3005 RMK AO2 SLP173 T01890178 $,null
CAE,2023-12-02 8:56,64,63,96.55,240,3,0,30.04,1016.9,10,null,FEW,SCT,SCT,null,3800,5000,7500,null,null,null,null,null,null,null,null,64,KCAE 020856Z 24003KT 10SM FEW038 SCT050 SCT075 18/17 A3004 RMK AO2 SLP169 T01780172 58006 $,null
CAE,2023-12-02 9:56,64,63,96.55,240,3,0,30.04,1017.2,10,null,FEW,null,null,null,9500,null,null,null,null,null,null,null,null,null,null,64,KCAE 020956Z 24003KT 10SM FEW095 18/17 A3004 RMK AO2 SLP172 T01780172 $,null
CAE,2023-12-02 10:56,62,62,100,190,3,0,30.05,1017.3,7,null,BKN,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,62,KCAE 021056Z 19003KT 7SM BKN110 17/17 A3005 RMK AO2 SLP173 T01670167 $,null
CAE,2023-12-02 11:56,62,62,100,0,0,0,30.06,1017.6,3,null,BKN,OVC,null,null,6500,8000,null,null,BR,null,null,null,null,null,null,62,KCAE 021156Z 00000KT 3SM BR BKN065 OVC080 17/17 A3006 RMK AO2 SLP176 T01670167 10194 20167 51006 $,null
CAE,2023-12-02 12:56,61,61,100,0,0,0,30.05,1017.6,3,null,BKN,null,null,null,9000,null,null,null,BR,null,null,null,null,null,null,61,KCAE 021256Z 00000KT 3SM BR BKN090 16/16 A3005 RMK AO2 SLP176 T01610161 $,null
CAE,2023-12-02 13:26,61,61,100,0,0,0,30.07,null,2.5,null,BKN,null,null,null,10000,null,null,null,BR,null,null,null,null,null,null,61,KCAE 021326Z 00000KT 2 1/2SM BR BKN100 16/16 A3007 RMK AO2 T01610161 $,null
CAE,2023-12-02 13:37,62,62,100,0,0,0,30.08,null,4,null,BKN,null,null,null,10000,null,null,null,BR,null,null,null,null,null,null,62,KCAE 021337Z 00000KT 4SM BR BKN100 17/17 A3008 RMK AO2 T01670167 $,null
CAE,2023-12-02 13:56,63,63,100,90,3,0,30.08,1018.2,5,null,OVC,null,null,null,10000,null,null,null,BR,null,null,null,null,null,null,63,KCAE 021356Z 09003KT 5SM BR OVC100 17/17 A3008 RMK AO2 SLP182 T01720172 $,null
CAE,2023-12-02 14:56,65,64,96.57,0,0,0,30.1,1019,8,null,SCT,BKN,null,null,4900,10000,null,null,null,null,null,null,null,null,null,65,KCAE 021456Z 00000KT 8SM SCT049 BKN100 18/18 A3010 RMK AO2 SLP190 T01830178 53014 $,null
CAE,2023-12-02 15:56,67,64,90.09,0,0,0,30.1,1019,10,null,SCT,BKN,null,null,4900,10000,null,null,null,null,null,null,null,null,null,67,KCAE 021556Z 00000KT 10SM SCT049 BKN100 19/18 A3010 RMK AO2 SLP190 T01940178 $,null
CAE,2023-12-02 16:56,69,64,84.09,210,4,0,30.06,1017.7,10,null,FEW,BKN,null,null,4500,10000,null,null,null,null,null,null,null,null,null,69,KCAE 021656Z 21004KT 10SM FEW045 BKN100 21/18 A3006 RMK AO2 SLP177 T02060178 $,null
CAE,2023-12-02 17:56,71,62,73.21,220,5,0,30.04,1016.9,10,null,BKN,OVC,null,null,7000,11000,null,null,null,null,null,null,null,null,null,71,KCAE 021756Z 22005KT 10SM BKN070 OVC110 22/17 A3004 RMK AO2 SLP169 T02170167 10217 20161 58020 $,null
CAE,2023-12-02 18:56,70,61,73.11,210,6,0,30,1015.8,10,null,BKN,BKN,null,null,6500,9000,null,null,null,null,null,null,null,null,null,70,KCAE 021856Z 21006KT 10SM BKN065 BKN090 21/16 A3000 RMK AO2 SLP158 T02110161 $,null
CAE,2023-12-02 19:56,70,62,75.75,0,0,0,29.96,1014.2,10,null,SCT,BKN,null,null,6000,20000,null,null,null,null,null,null,null,null,null,70,KCAE 021956Z 00000KT 10SM SCT060 BKN200 21/17 A2996 RMK AO2 SLP142 T02110167 $,null
CAE,2023-12-02 20:56,69,62,78.38,0,0,0,29.95,1014,10,null,SCT,SCT,BKN,null,6500,10000,20000,null,null,null,null,null,null,null,null,69,KCAE 022056Z 00000KT 10SM SCT065 SCT100 BKN200 21/17 A2995 RMK AO2 SLP140 T02060167 56029 $,null
CAE,2023-12-02 21:56,68,62,81.12,0,0,0,29.97,1014.5,10,null,BKN,OVC,null,null,5500,20000,null,null,null,null,null,null,null,null,null,68,KCAE 022156Z 00000KT 10SM BKN055 OVC200 20/17 A2997 RMK AO2 SLP145 T02000167 $,null
