station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CID,2023-12-01 0:52,32,29,88.53,320,6,0,29.85,1011.7,9,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25.53,KCID 010052Z 32006KT 9SM CLR 00/M02 A2985 RMK AO2 SLP117 T00001017,null
CID,2023-12-01 1:52,32,29,88.53,340,6,0,29.86,1012.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25.53,KCID 010152Z 34006KT 10SM CLR 00/M02 A2986 RMK AO2 SLP121 T00001017,null
CID,2023-12-01 2:52,32,27,81.55,360,8,0,29.85,1011.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24.11,KCID 010252Z 36008KT 10SM CLR 00/M03 A2985 RMK AO2 SLP117 T00001028 50008,null
CID,2023-12-01 3:52,33,27,78.34,10,9,0,29.87,1012.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24.76,KCID 010352Z 01009KT 10SM CLR 01/M03 A2987 RMK AO2 SLP121 T00061028,null
CID,2023-12-01 4:52,34,27,75.26,20,11,0,29.87,1012.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24.99,KCID 010452Z 02011KT 10SM CLR 01/M03 A2987 RMK AO2 SLP122 T00111028,null
CID,2023-12-01 5:52,34,28,78.43,30,9,0,29.87,1012.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26,KCID 010552Z AUTO 03009KT 10SM CLR 01/M02 A2987 RMK AO2 SLP123 T00111022 10011 21011 400721011 51007,null
CID,2023-12-01 6:52,35,28,75.36,40,12,0,29.87,1012.3,10,null,BKN,null,null,null,7000,null,null,null,null,null,null,null,null,null,null,25.82,KCID 010652Z AUTO 04012KT 10SM BKN070 02/M02 A2987 RMK AO2 SLP123 T00171022,null
CID,2023-12-01 7:52,34,27,75.26,30,13,0,29.85,1011.3,10,null,FEW,null,null,null,7000,null,null,null,null,null,null,null,null,null,null,24.13,KCID 010752Z AUTO 03013KT 10SM FEW070 01/M03 A2985 RMK AO2 SLP113 T00111028,null
CID,2023-12-01 8:52,34,25,69.28,40,11,0,29.83,1010.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24.99,KCID 010852Z AUTO 04011KT 10SM CLR 01/M04 A2983 RMK AO2 SLP109 T00111039 58014,null
CID,2023-12-01 9:52,34,25,69.28,40,14,0,29.81,1010.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23.74,KCID 010952Z AUTO 04014KT 10SM CLR 01/M04 A2981 RMK AO2 SLP102 T00111039,null
CID,2023-12-01 10:52,34,26,72.22,40,11,0,29.8,1009.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24.99,KCID 011052Z 04011KT 10SM CLR 01/M03 A2980 RMK AO2 SLP098 T00111033,null
CID,2023-12-01 11:52,34,26,72.22,40,13,0,29.8,1009.9,10,null,SCT,null,null,null,8000,null,null,null,null,null,null,null,null,null,null,24.13,KCID 011152Z 04013KT 10SM SCT080 01/M03 A2980 RMK AO2 SLP099 T00111033 10017 20006 55010,null
