station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CLT,2023-12-01 0:52,48,29,47.52,190,6,0,30.19,1024.2,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,44.8,KCLT 010052Z 19006KT 10SM FEW250 09/M02 A3019 RMK AO2 SLP242 T00891017,null
CLT,2023-12-01 1:52,45,29,53.22,150,3,0,30.19,1023.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,43.55,KCLT 010152Z 15003KT 10SM CLR 07/M02 A3019 RMK AO2 SLP239 T00721017,null
CLT,2023-12-01 2:52,43,29,57.44,140,4,0,30.19,1024.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40.27,KCLT 010252Z 14004KT 10SM CLR 06/M02 A3019 RMK AO2 SLP241 T00611017 55000,null
CLT,2023-12-01 3:52,44,30,57.59,160,4,0,30.19,1024,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,41.43,KCLT 010352Z 16004KT 10SM SCT250 07/M01 A3019 RMK AO2 SLP240 T00671011,null
CLT,2023-12-01 4:52,40,30,67.18,150,4,0,30.19,1024,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,36.76,KCLT 010452Z 15004KT 10SM SCT250 04/M01 A3019 RMK AO2 SLP240 T00441011 401611017,null
CLT,2023-12-01 5:52,39,30,69.85,0,0,0,30.2,1024.2,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,39,KCLT 010552Z 00000KT 10SM BKN250 04/M01 A3020 RMK AO2 SLP242 T00391011 10106 20039 53003,null
CLT,2023-12-01 6:52,38,30,72.64,0,0,0,30.19,1023.7,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,38,KCLT 010652Z 00000KT 10SM BKN250 03/M01 A3019 RMK AO2 SLP237 T00331011,null
CLT,2023-12-01 7:52,35,29,78.51,0,0,0,30.19,1023.9,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,35,KCLT 010752Z 00000KT 10SM BKN250 02/M02 A3019 RMK AO2 SLP239 T00171017,null
CLT,2023-12-01 8:52,38,31,75.65,340,4,0,30.19,1023.7,10,null,FEW,SCT,BKN,null,4100,18000,25000,null,null,null,null,null,null,null,null,34.43,KCLT 010852Z 34004KT 10SM FEW041 SCT180 BKN250 03/M01 A3019 RMK AO2 SLP237 T00331006 56005,null
CLT,2023-12-01 9:52,41,31,67.3,0,0,0,30.18,1023.3,10,null,FEW,BKN,BKN,OVC,2200,15000,18000,22000,null,null,null,null,null,null,null,41,KCLT 010952Z 00000KT 10SM FEW022 BKN150 BKN180 OVC220 05/M01 A3018 RMK AO2 SLP233 T00501006,null
CLT,2023-12-01 10:52,41,33,72.96,0,0,0,30.16,1023,10,null,FEW,FEW,BKN,OVC,4200,5500,14000,22000,null,null,null,null,null,null,null,41,KCLT 011052Z 00000KT 10SM FEW042 FEW055 BKN140 OVC220 05/01 A3016 RMK AO2 SLP230 T00500006,null
CLT,2023-12-01 11:52,43,33,67.54,130,4,0,30.16,1023,9,null,FEW,FEW,BKN,OVC,3500,4500,11000,14000,null,null,null,null,null,null,null,40.27,KCLT 011152Z 13004KT 9SM FEW035 FEW045 BKN110 OVC140 06/01 A3016 RMK AO2 SLP230 T00610006 10061 20017 56007,null
CLT,2023-12-01 12:52,45,34,65.13,90,3,0,30.16,1023,8,null,FEW,BKN,OVC,null,4000,10000,13000,null,null,null,null,null,null,null,null,43.55,KCLT 011252Z 09003KT 8SM FEW040 BKN100 OVC130 07/01 A3016 RMK AO2 SLP230 T00720011,null
CLT,2023-12-01 13:52,46,36,67.9,0,0,0,30.18,1023.6,8,null,FEW,SCT,OVC,null,3600,4800,11000,null,null,null,null,null,null,null,null,46,KCLT 011352Z 00000KT 8SM FEW036 SCT048 OVC110 08/02 A3018 RMK AO2 SLP236 T00780022,null
CLT,2023-12-01 14:52,49,34,56.02,0,0,0,30.18,1023.4,9,null,SCT,BKN,OVC,null,3100,4800,10000,null,null,null,null,null,null,null,null,49,KCLT 011452Z 00000KT 9SM SCT031 BKN048 OVC100 09/01 A3018 RMK AO2 SLP234 T00940011 50004,null
CLT,2023-12-01 15:52,51,38,60.92,150,3,0,30.17,1023.1,10,null,SCT,BKN,OVC,null,3400,4400,8500,null,null,null,null,null,null,null,null,51,KCLT 011552Z 15003KT 10SM SCT034 BKN044 OVC085 11/03 A3017 RMK AO2 SLP231 T01060033,null
CLT,2023-12-01 16:52,52,44,74.07,0,0,T,30.14,1022.1,7,null,SCT,BKN,OVC,null,3700,9000,11000,null,#NAME?,null,null,null,null,null,null,52,KCLT 011652Z 00000KT 7SM -RA SCT037 BKN090 OVC110 11/07 A3014 RMK AO2 RAB10 SLP221 P0000 T01110067,null
CLT,2023-12-01 17:52,54,47,77.12,140,6,0.01,30.08,1020.2,9,null,FEW,BKN,OVC,null,3200,7000,11000,null,null,null,null,null,null,null,null,54,KCLT 011752Z 14006KT 9SM FEW032 BKN070 OVC110 12/08 A3008 RMK AO2 RAE15 PRESFR SLP202 P0001 60001 T01220083 10122 20061 58031,null
CLT,2023-12-01 18:52,57,49,74.55,null,5,T,30.07,1019.8,10,null,FEW,BKN,BKN,OVC,3200,9000,14000,25000,null,null,null,null,null,null,null,57,KCLT 011852Z VRB05KT 10SM FEW032 BKN090 BKN140 OVC250 14/09 A3007 RMK AO2 RAB19E30 SLP198 P0000 T01390094,null
CLT,2023-12-01 19:52,60,52,74.83,200,6,0,30.05,1019.3,10,null,SCT,SCT,OVC,null,2300,5000,7500,null,null,null,null,null,null,null,null,60,KCLT 011952Z 20006KT 10SM SCT023 SCT050 OVC075 16/11 A3005 RMK AO2 SLP193 T01560111,null
CLT,2023-12-01 20:52,60,53,77.64,270,3,0,30.05,1019,9,null,SCT,BKN,OVC,null,1800,6000,7500,null,null,null,null,null,null,null,null,60,KCLT 012052Z 27003KT 9SM SCT018 BKN060 OVC075 16/12 A3005 RMK AO2 SLP190 60000 T01560117 56011,null
CLT,2023-12-01 21:52,58,52,80.38,0,0,0,30.05,1018.9,10,null,FEW,SCT,OVC,null,1800,6000,7500,null,null,null,null,null,null,null,null,58,KCLT 012152Z 00000KT 10SM FEW018 SCT060 OVC075 14/11 A3005 RMK AO2 SLP189 T01440111,null
CLT,2023-12-01 22:52,57,51,80.31,320,6,T,30.07,1019.7,9,null,FEW,OVC,null,null,1900,5500,null,null,#NAME?,null,null,null,null,null,null,57,KCLT 012252Z 32006KT 9SM -RA FEW019 OVC055 14/11 A3007 RMK AO2 RAB11E23B52 SLP197 P0000 T01390106,null
CLT,2023-12-01 23:52,52,49,89.46,340,4,0.01,30.08,1020,7,null,BKN,OVC,null,null,4500,6000,null,null,null,null,null,null,null,null,null,52,KCLT 012352Z 34004KT 7SM BKN045 OVC060 11/09 A3008 RMK AO2 RAE47 SLP200 P0001 60001 T01110094 10156 20111 53009,null
CLT,2023-12-02 0:52,51,48,89.42,340,5,0.01,30.09,1020.6,5,null,SCT,OVC,null,null,1500,4100,null,null,BR,null,null,null,null,null,null,51,KCLT 020052Z 34005KT 5SM BR SCT015 OVC041 11/09 A3009 RMK AO2 RAB15E46 SLP206 P0001 T01060089,null
CLT,2023-12-02 1:02,51,48,89.42,300,3,T,30.1,null,1.5,null,SCT,BKN,OVC,null,1500,4100,4800,null,RA BR,null,null,null,null,null,null,51,KCLT 020102Z 30003KT 1 1/2SM RA BR SCT015 BKN041 OVC048 11/09 A3010 RMK AO2 RAB0057 P0000 T01060089,null
CLT,2023-12-02 1:20,51,48,89.42,330,3,0.08,30.1,null,2,null,FEW,BKN,OVC,null,1700,3800,4700,null,#NAME?,null,null,null,null,null,null,51,KCLT 020120Z 33003KT 2SM -RA BR FEW017 BKN038 OVC047 11/09 A3010 RMK AO2 RAB0057 P0008 T01060089,null
CLT,2023-12-02 1:32,51,48,89.42,340,3,0.09,30.1,null,3,null,FEW,BKN,OVC,null,1500,3800,4600,null,#NAME?,null,null,null,null,null,null,51,KCLT 020132Z 34003KT 3SM -RA BR FEW015 BKN038 OVC046 11/09 A3010 RMK AO2 RAB0057 P0009 T01060089,null
CLT,2023-12-02 1:52,51,49,92.83,0,0,0.09,30.09,1020.4,3,null,FEW,BKN,OVC,null,1100,1700,3400,null,BR,null,null,null,null,null,null,51,KCLT 020152Z 00000KT 3SM BR FEW011 BKN017 OVC034 11/09 A3009 RMK AO2 RAB0057E33 SLP204 P0009 T01060094,null
CLT,2023-12-02 2:24,51,49,92.83,140,4,0,30.08,null,3,null,FEW,OVC,null,null,1100,3100,null,null,BR,null,null,null,null,null,null,51,KCLT 020224Z 14004KT 3SM BR FEW011 OVC031 11/09 A3008 RMK AO2 T01060094,null
