station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
COS,2023-12-01 0:54,31,5,32.64,160,7,0,29.78,1010.8,10,null,FEW,null,null,null,23000,null,null,null,null,null,null,null,null,null,null,23.56,KCOS 010054Z 16007KT 10SM FEW230 M01/M15 A2978 RMK AO2 SLP108 T10061150,null
COS,2023-12-01 1:54,28,3,33.65,160,9,0,29.79,1012,10,null,FEW,null,null,null,23000,null,null,null,null,null,null,null,null,null,null,18.54,KCOS 010154Z 16009KT 10SM FEW230 M02/M16 A2979 RMK AO2 SLP120 T10221161,null
COS,2023-12-01 2:54,26,5,40.06,140,7,0,29.81,1012.1,10,null,FEW,BKN,null,null,13000,23000,null,null,null,null,null,null,null,null,null,17.47,KCOS 010254Z 14007KT 10SM FEW130 BKN230 M03/M15 A2981 RMK AO2 SLP121 T10331150 53009,null
COS,2023-12-01 3:54,24,7,47.7,160,8,0,29.81,1012.4,10,null,SCT,BKN,null,null,11000,23000,null,null,null,null,null,null,null,null,null,14.26,KCOS 010354Z 16008KT 10SM SCT110 BKN230 M04/M14 A2981 RMK AO2 SLP124 T10441139,null
COS,2023-12-01 4:54,23,11,59.52,150,7,0,29.82,1012.3,10,null,FEW,SCT,BKN,null,11000,14000,23000,null,null,null,null,null,null,null,null,13.81,KCOS 010454Z 15007KT 10SM FEW110 SCT140 BKN230 M05/M12 A2982 RMK AO2 SLP123 T10501117,null
COS,2023-12-01 5:54,22,11,62.09,130,5,0,29.82,1012.5,10,null,SCT,BKN,null,null,12000,23000,null,null,null,null,null,null,null,null,null,14.52,KCOS 010554Z 13005KT 10SM SCT120 BKN230 M06/M12 A2982 RMK AO2 SLP125 T10561117 10006 21056 50004,null
COS,2023-12-01 6:54,23,12,62.23,140,6,0,29.82,1012.1,10,null,SCT,BKN,null,null,11000,23000,null,null,null,null,null,null,null,null,null,14.69,KCOS 010654Z 14006KT 10SM SCT110 BKN230 M05/M11 A2982 RMK AO2 SLP121 T10501111 400611056,null
COS,2023-12-01 7:54,22,15,74.05,190,7,0,29.8,1011.6,10,null,FEW,BKN,OVC,null,1000,10000,23000,null,null,null,null,null,null,null,null,12.59,KCOS 010754Z 19007KT 10SM FEW010 BKN100 OVC230 M06/M09 A2980 RMK AO2 SLP116 T10561094,null
COS,2023-12-01 8:54,22,17,80.77,150,5,0,29.79,1011.3,10,null,FEW,BKN,OVC,null,1900,10000,22000,null,null,null,null,null,null,null,null,14.52,KCOS 010854Z 15005KT 10SM FEW019 BKN100 OVC220 M06/M08 A2979 RMK AO2 SLP113 T10561083 58007,null
COS,2023-12-01 9:54,22,17,80.77,150,8,0,29.78,1010.9,10,null,SCT,BKN,OVC,null,1500,9000,22000,null,null,null,null,null,null,null,null,11.79,KCOS 010954Z 15008KT 10SM SCT015 BKN090 OVC220 M06/M08 A2978 RMK AO2 SLP109 T10561083,null
COS,2023-12-01 10:18,21,17,84.26,150,4,0,29.78,null,10,null,BKN,BKN,OVC,null,1200,1700,9000,null,null,null,null,null,null,null,null,14.57,KCOS 011018Z 15004KT 10SM BKN012 BKN017 OVC090 M06/M08 A2978 RMK AO2 T10611083,null
COS,2023-12-01 10:54,21,16,80.69,150,4,0,29.77,1011.1,10,null,BKN,BKN,OVC,null,1200,1800,9000,null,null,null,null,null,null,null,null,14.57,KCOS 011054Z 15004KT 10SM BKN012 BKN018 OVC090 M06/M09 A2977 RMK AO2 SLP111 T10611089,null
COS,2023-12-01 11:38,21,17,84.26,0,0,0,29.76,null,10,null,FEW,OVC,null,null,1100,10000,null,null,null,null,null,null,null,null,null,21,KCOS 011138Z 00000KT 10SM FEW011 OVC100 M06/M08 A2976 RMK AO2 T10611083,null
COS,2023-12-01 11:54,21,16,80.69,0,0,0,29.76,1011.5,10,null,FEW,BKN,OVC,null,1500,11000,17000,null,null,null,null,null,null,null,null,21,KCOS 011154Z 00000KT 10SM FEW015 BKN110 OVC170 M06/M09 A2976 RMK AO2 SLP115 T10611089 11050 21061 56008,null
COS,2023-12-01 12:54,21,17,84.26,0,0,0,29.77,1012.5,10,null,SCT,BKN,OVC,null,1400,11000,17000,null,null,null,null,null,null,null,null,21,KCOS 011254Z 00000KT 10SM SCT014 BKN110 OVC170 M06/M08 A2977 RMK AO2 SLP125 T10611083,null
COS,2023-12-01 13:11,21,17,84.26,90,3,0,29.78,null,10,null,BKN,BKN,OVC,null,1200,11000,17000,null,null,null,null,null,null,null,null,16.11,KCOS 011311Z 09003KT 10SM BKN012 BKN110 OVC170 M06/M08 A2978 RMK AO2 T10611083,null
