station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
DFW,2023-12-01 0:15,60,60,100,120,4,0,29.66,null,5,null,SCT,SCT,null,null,1400,2100,null,null,BR,null,null,null,null,null,null,60,KDFW 010015Z 12004KT 5SM BR SCT014 SCT021 16/16 A2966 RMK AO2 T01560156,null
DFW,2023-12-01 0:31,60,59,96.49,170,3,0,29.66,null,3,null,SCT,SCT,null,null,300,2100,null,null,BR,null,null,null,null,null,null,60,KDFW 010031Z 17003KT 3SM BR SCT003 SCT021 16/15 A2966 RMK AO2 VIS W 1/2 T01560150,null
DFW,2023-12-01 0:53,60,60,100,160,3,0,29.66,1004.1,3,null,FEW,SCT,SCT,null,300,2100,25000,null,BR,null,null,null,null,null,null,60,KDFW 010053Z 16003KT 3SM BR FEW003 SCT021 SCT250 16/16 A2966 RMK AO2 SLP041 T01560156,null
DFW,2023-12-01 1:20,60,60,100,110,3,0,29.67,null,0.25,null,SCT,null,null,null,400,null,null,null,FG,null,null,null,null,null,null,60,KDFW 010120Z 11003KT 1/4SM R17C/5000VP6000FT FG SCT004 16/16 A2967 RMK AO2 T01560156,null
DFW,2023-12-01 1:27,58,58,100,100,3,0,29.67,null,0.06,null,VV ,null,null,null,300,null,null,null,FG,null,null,null,null,null,null,58,KDFW 010127Z 10003KT 1/16SM R17C/4000VP6000FT FG VV003 14/14 A2967 RMK AO2 T01440144,null
DFW,2023-12-01 1:53,58,58,100,130,5,0,29.67,1004.3,0.06,null,VV ,null,null,null,200,null,null,null,FG,null,null,null,null,null,null,58,KDFW 010153Z 13005KT 1/16SM R17C/2600VP6000FT FG VV002 14/14 A2967 RMK AO2 SLP043 T01440144,null
DFW,2023-12-01 2:46,62,62,100,180,6,0,29.69,null,0.25,null,OVC,null,null,null,200,null,null,null,FG,null,null,null,null,null,null,62,KDFW 010246Z 18006KT 1/4SM R17C/2400VP6000FT FG OVC002 17/17 A2969 RMK AO2 T01670167,null
DFW,2023-12-01 2:51,62.6,62.6,100,190,6.03,null,29.69,null,0.25,null,VV ,null,null,null,98,null,null,null,FG,null,null,null,null,null,null,62.6,SPECI KDFW 010251Z 19006KT 1/4SM R17C/1600V3000FT FG VV001 17/17 A2969 RMK AO2 FIBI (AF),null
DFW,2023-12-01 2:53,62,62,100,190,6,0,29.69,1004.9,0.25,null,VV ,null,null,null,100,null,null,null,FG,null,null,null,null,null,null,62,KDFW 010253Z 19006KT 1/4SM R17C/1400V3000FT FG VV001 17/17 A2969 RMK AO2 SLP049 T01670167 53014,null
DFW,2023-12-01 3:00,61,61,100,190,8,0,29.69,null,0.06,null,VV ,null,null,null,100,null,null,null,FG,null,null,null,null,null,null,61,KDFW 010300Z 19008KT 1/16SM R17C/1200V1600FT FG VV001 16/16 A2969 RMK AO2 T01610161,null
DFW,2023-12-01 3:08,60,60,100,190,7,0,29.69,null,0.06,null,VV ,null,null,null,100,null,null,null,FG,null,null,null,null,null,null,60,KDFW 010308Z 19007KT 1/16SM R17C/1200VP6000FT FG VV001 16/16 A2969 RMK AO2 T01560156,null
DFW,2023-12-01 3:14,60,60,100,200,9,0,29.69,null,1,null,VV ,null,null,null,100,null,null,null,BR,null,null,null,null,null,null,60,KDFW 010314Z 20009KT 1SM R17C/2000VP6000FT BR VV001 16/16 A2969 RMK AO2 T01560156,null
DFW,2023-12-01 3:26,60,60,100,220,8,0,29.7,null,3,null,SCT,null,null,null,100,null,null,null,BR,null,null,null,null,null,null,60,KDFW 010326Z 22008KT 3SM BR SCT001 16/16 A2970 RMK AO2 T01560156,null
DFW,2023-12-01 3:53,61,60,96.51,220,10,0,29.71,1005.7,10,null,FEW,SCT,null,null,200,3800,null,null,null,null,null,null,null,null,null,61,KDFW 010353Z 22010KT 10SM FEW002 SCT038 16/16 A2971 RMK AO2 SLP057 T01610156,null
DFW,2023-12-01 4:53,61,57,86.67,260,9,0,29.74,1006.6,10,null,SCT,SCT,null,null,4900,6500,null,null,null,null,null,null,null,null,null,61,KDFW 010453Z 26009KT 10SM SCT049 SCT065 16/14 A2974 RMK AO2 SLP066 T01610139,null
DFW,2023-12-01 5:53,58,54,86.51,250,8,0,29.76,1007.4,10,null,FEW,FEW,null,null,5000,25000,null,null,null,null,null,null,null,null,null,58,KDFW 010553Z 25008KT 10SM FEW050 FEW250 14/12 A2976 RMK A02 SLP074 T01440122 10167 20139 401720122 53024,null
DFW,2023-12-01 6:53,55,53,92.95,320,8,0,29.78,1008,10,null,FEW,SCT,SCT,null,1000,5000,25000,null,null,null,null,null,null,null,null,55,KDFW 010653Z 32008KT 10SM FEW010 SCT050 SCT250 13/12 A2978 RMK A02 SLP080 T01280117,null
DFW,2023-12-01 7:53,51,47,86.12,310,10,0,29.78,1008.1,10,null,FEW,SCT,null,null,1000,25000,null,null,null,null,null,null,null,null,null,51,KDFW 010753Z 31010KT 10SM FEW010 SCT250 11/08 A2978 RMK A02 SLP081 T01060083,null
DFW,2023-12-01 8:53,49,43,79.68,300,10,0,29.8,1008.9,10,null,FEW,BKN,null,null,1000,25000,null,null,null,null,null,null,null,null,null,44.29,KDFW 010853Z 30010KT 10SM FEW010 BKN250 09/06 A2980 RMK A02 SLP089 T00940061 53013,null
DFW,2023-12-01 9:53,47,41,79.52,290,11,0,29.83,1009.7,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,41.42,KDFW 010953Z 29011KT 10SM BKN250 08/05 A2983 RMK A02 SLP097 T00830050,null
DFW,2023-12-01 10:53,46,39,76.4,290,8,0,29.83,1010,10,null,FEW,BKN,null,null,20000,25000,null,null,null,null,null,null,null,null,null,41.36,KDFW 011053Z 29008KT 10SM FEW200 BKN250 08/04 A2983 RMK AO2 SLP100 T00780039,null
DFW,2023-12-01 11:53,45,38,76.31,290,11,0,29.86,1011,10,null,FEW,BKN,null,null,12000,25000,null,null,null,null,null,null,null,null,null,38.89,KDFW 011153Z 29011KT 10SM FEW120 BKN250 07/03 A2986 RMK AO2 SLP110 70006 T00720033 10144 20072 53021,null
DFW,2023-12-01 12:53,44,37,76.22,300,8,0,29.89,1011.8,10,null,SCT,BKN,null,null,13000,25000,null,null,null,null,null,null,null,null,null,38.9,KDFW 011253Z 30008KT 10SM SCT130 BKN250 07/03 A2989 RMK AO2 SLP118 T00670028,null
DFW,2023-12-01 13:53,44,36,73.27,280,9,0,29.91,1012.8,10,null,SCT,SCT,null,null,13000,25000,null,null,null,null,null,null,null,null,null,38.44,KDFW 011353Z 28009KT 10SM SCT130 SCT250 07/02 A2991 RMK AO2 SLP128 T00670022,null
DFW,2023-12-01 14:53,47,37,68.02,300,10,0,29.94,1013.5,10,null,FEW,SCT,null,null,13000,25000,null,null,null,null,null,null,null,null,null,41.78,KDFW 011453Z 30010KT 10SM FEW130 SCT250 08/03 A2994 RMK AO2 SLP135 T00830028 53024,null
DFW,2023-12-01 15:53,48,37,65.51,300,9,0,29.96,1014.3,10,null,FEW,SCT,null,null,13000,25000,null,null,null,null,null,null,null,null,null,43.41,KDFW 011553Z 30009KT 10SM FEW130 SCT250 09/03 A2996 RMK AO2 SLP143 T00890028,null
DFW,2023-12-01 16:53,51,38,60.92,300,9,0,29.96,1014.3,10,null,FEW,FEW,null,null,13000,25000,null,null,null,null,null,null,null,null,null,51,KDFW 011653Z 30009KT 10SM FEW130 FEW250 11/03 A2996 RMK AO2 SLP143 T01060033,null
DFW,2023-12-01 17:53,54,38,54.56,300,9,0,29.95,1013.8,10,18,FEW,FEW,null,null,13000,25000,null,null,null,null,null,null,null,null,null,54,KDFW 011753Z 30009G18KT 10SM FEW130 FEW250 12/03 A2995 RMK AO2 SLP138 T01220033 10122 20067 50004,null
DFW,2023-12-01 18:53,56,39,52.75,340,10,0,29.92,1012.9,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,56,KDFW 011853Z 34010KT 10SM FEW250 13/04 A2992 RMK AO2 SLP129 T01330039,null
DFW,2023-12-01 19:53,58,37,45.38,340,10,0,29.91,1012.5,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,58,KDFW 011953Z 34010KT 10SM FEW250 14/03 A2991 RMK AO2 SLP125 T01440028,null
DFW,2023-12-01 20:53,60,37,42.24,330,7,0,29.9,1012.1,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,60,KDFW 012053Z 33007KT 10SM FEW250 16/03 A2990 RMK AO2 SLP121 T01560028 56017,null
DFW,2023-12-01 21:53,60,38,43.94,360,3,0,29.9,1012.3,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,60,KDFW 012153Z 36003KT 10SM FEW250 16/03 A2990 RMK AO2 SLP123 T01560033,null
DFW,2023-12-01 22:53,57,39,50.88,40,6,0,29.91,1012.4,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,57,KDFW 012253Z 04006KT 10SM FEW250 14/04 A2991 RMK AO2 SLP124 T01390039,null
DFW,2023-12-01 23:53,51,38,60.92,30,5,0,29.91,1012.6,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,51,KDFW 012353Z 03005KT 10SM FEW250 11/03 A2991 RMK AO2 SLP126 T01060033 10161 20106 51004,null
DFW,2023-12-02 0:53,50,38,63.23,30,6,0,29.91,1012.8,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,50,KDFW 020053Z 03006KT 10SM FEW250 10/03 A2991 RMK AO2 SLP128 T01000033,null
DFW,2023-12-02 1:53,50,40,68.37,60,3,0,29.93,1013.5,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,50,KDFW 020153Z 06003KT 10SM SCT250 10/04 A2993 RMK AO2 SLP135 T01000044,null
DFW,2023-12-02 2:53,48,40,73.67,60,4,0,29.95,1013.9,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,46.1,KDFW 020253Z 06004KT 10SM SCT250 09/04 A2995 RMK AO2 SLP139 T00890044 53013,null
DFW,2023-12-02 3:53,46,40,79.44,70,7,0,29.95,1014.2,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,41.84,KDFW 020353Z 07007KT 10SM SCT250 08/04 A2995 RMK AO2 SLP142 T00780044,null
DFW,2023-12-02 4:53,43,39,85.66,60,5,0,29.96,1014.3,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,39.46,KDFW 020453Z 06005KT 10SM BKN250 06/04 A2996 RMK AO2 SLP143 T00610039,null
DFW,2023-12-02 5:53,45,41,85.77,80,4,0,29.96,1014.4,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,42.6,KDFW 020553Z 08004KT 10SM FEW250 07/05 A2996 RMK AO2 SLP144 T00720050 10117 20061 401610061 51004,null
DFW,2023-12-02 6:53,44,41,89.11,0,0,0,29.96,1014.4,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,44,KDFW 020653Z 00000KT 10SM SCT250 07/05 A2996 RMK AO2 SLP144 T00670050,null
DFW,2023-12-02 7:53,43,41,92.58,40,3,0,29.94,1013.8,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,41.26,KDFW 020753Z 04003KT 10SM BKN250 06/05 A2994 RMK AO2 SLP138 T00610050,null
DFW,2023-12-02 8:53,43,40,89.06,70,5,0,29.93,1013.4,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,39.46,KDFW 020853Z 07005KT 10SM BKN250 06/04 A2993 RMK AO2 SLP134 T00610044 58009,null
DFW,2023-12-02 9:53,41,39,92.52,40,3,0,29.92,1013,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,38.98,KDFW 020953Z 04003KT 10SM BKN250 05/04 A2992 RMK AO2 SLP130 T00500039,null
