station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
DSM,2023-12-01 0:54,39,24,54.54,10,7,0,29.88,1012.5,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,33.31,KDSM 010054Z 01007KT 10SM FEW250 04/M04 A2988 RMK AO2 SLP125 T00391044,null
DSM,2023-12-01 1:54,38,24,56.71,360,5,0,29.9,1013.2,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,33.52,KDSM 010154Z 36005KT 10SM SCT250 03/M04 A2990 RMK AO2 SLP132 T00331044,null
DSM,2023-12-01 2:54,36,24,61.37,10,8,0,29.89,1012.8,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,29.04,KDSM 010254Z 01008KT 10SM BKN250 02/M04 A2989 RMK AO2 SLP128 T00221044 50008,null
DSM,2023-12-01 3:54,36,25,63.98,30,9,0,29.88,1012.4,10,null,SCT,BKN,null,null,19000,25000,null,null,null,null,null,null,null,null,null,28.49,KDSM 010354Z 03009KT 10SM SCT190 BKN250 02/M04 A2988 RMK AO2 SLP124 T00221039,null
DSM,2023-12-01 4:54,34,25,69.28,30,10,0,29.89,1012.7,10,null,FEW,BKN,null,null,18000,25000,null,null,null,null,null,null,null,null,null,25.48,KDSM 010454Z 03010KT 10SM FEW180 BKN250 01/M04 A2989 RMK AO2 SLP127 T00111039,null
DSM,2023-12-01 5:54,33,25,72.11,30,10,0,29.89,1012.8,10,null,FEW,BKN,OVC,null,17000,19000,25000,null,null,null,null,null,null,null,null,24.22,KDSM 010554Z 03010KT 10SM FEW170 BKN190 OVC250 01/M04 A2989 RMK AO2 SLP128 T00061039 10056 20006 401000006 53001,null
DSM,2023-12-01 6:54,32,24,72,20,10,0,29.89,1012.6,10,18,BKN,OVC,null,null,18000,25000,null,null,null,null,null,null,null,null,null,22.97,KDSM 010654Z 02010G18KT 10SM BKN180 OVC250 00/M04 A2989 RMK AO2 SLP126 T00001044,null
DSM,2023-12-01 7:54,32,24,72,30,12,0,29.85,1011.5,10,21,OVC,null,null,null,18000,null,null,null,null,null,null,null,null,null,null,22,KDSM 010754Z 03012G21KT 10SM OVC180 00/M04 A2985 RMK AO2 SLP115 T00001044,null
DSM,2023-12-01 8:54,31,24,74.97,20,8,0,29.86,1011.8,10,null,OVC,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,22.88,KDSM 010854Z 02008KT 10SM OVC200 M01/M04 A2986 RMK AO2 SLP118 T10061044 55010,null
DSM,2023-12-01 9:54,32,23,69.04,20,7,0,29.85,1011.2,10,null,OVC,null,null,null,17000,null,null,null,null,null,null,null,null,null,null,24.78,KDSM 010954Z 02007KT 10SM OVC170 00/M05 A2985 RMK AO2 SLP112 T00001050,null
DSM,2023-12-01 10:54,32,23,69.04,20,10,0,29.83,1010.8,10,null,OVC,null,null,null,17000,null,null,null,null,null,null,null,null,null,null,22.97,KDSM 011054Z 02010KT 10SM OVC170 00/M05 A2983 RMK AO2 SLP108 T00001050,null
DSM,2023-12-01 11:54,32,22,66.2,20,10,0,29.83,1010.9,10,null,OVC,null,null,null,17000,null,null,null,null,null,null,null,null,null,null,22.97,KDSM 011154Z 02010KT 10SM OVC170 00/M06 A2983 RMK AO2 SLP109 T00001056 10006 21006 55009,null
DSM,2023-12-01 12:54,32,22,66.2,10,9,0,29.86,1011.8,10,null,OVC,null,null,null,16000,null,null,null,null,null,null,null,null,null,null,23.51,KDSM 011254Z 01009KT 10SM OVC160 00/M06 A2986 RMK AO2 SLP118 T00001056,null
DSM,2023-12-01 13:54,32,22,66.2,20,9,0,29.86,1011.7,10,null,BKN,BKN,BKN,null,15000,20000,25000,null,null,null,null,null,null,null,null,23.51,KDSM 011354Z 02009KT 10SM BKN150 BKN200 BKN250 00/M06 A2986 RMK AO2 SLP117 T00001056,null
DSM,2023-12-01 14:54,34,23,63.72,10,12,0,29.86,1012,10,null,FEW,BKN,BKN,null,5000,15000,22000,null,null,null,null,null,null,null,null,24.55,KDSM 011454Z 01012KT 10SM FEW050 BKN150 BKN220 01/M05 A2986 RMK AO2 SLP120 T00111050 51010,null
DSM,2023-12-01 15:54,35,23,61.23,20,11,0,29.87,1012.4,10,21,BKN,BKN,null,null,15000,22000,null,null,null,null,null,null,null,null,null,26.26,KDSM 011554Z 02011G21KT 10SM BKN150 BKN220 02/M05 A2987 RMK AO2 SLP124 T00171050,null
DSM,2023-12-01 16:46,36,24,61.37,10,12,0,29.87,null,10,17,BKN,BKN,BKN,null,1500,15000,22000,null,null,null,null,null,null,null,null,27.09,KDSM 011646Z 01012G17KT 10SM BKN015 BKN150 BKN220 02/M04 A2987 RMK AO2 T00221044,null
DSM,2023-12-01 16:54,35,24,63.85,30,13,0,29.87,1012.1,10,19,BKN,BKN,BKN,null,1500,15000,22000,null,null,null,null,null,null,null,null,25.41,KDSM 011654Z 03013G19KT 10SM BKN015 BKN150 BKN220 02/M04 A2987 RMK AO2 SLP121 T00171044,null
DSM,2023-12-01 17:54,36,25,63.98,10,11,0,29.86,1011.8,10,null,OVC,null,null,null,1500,null,null,null,null,null,null,null,null,null,null,27.52,KDSM 011754Z 01011KT 10SM OVC015 02/M04 A2986 RMK AO2 SLP118 T00221039 10028 21006 58002,null
DSM,2023-12-01 18:54,37,26,64.11,10,9,0,29.85,1011.7,10,null,OVC,null,null,null,1700,null,null,null,null,null,null,null,null,null,null,29.73,KDSM 011854Z 01009KT 10SM OVC017 03/M03 A2985 RMK AO2 SLP117 T00281033,null
DSM,2023-12-01 19:54,38,26,61.64,10,9,0,29.85,1011.4,10,null,BKN,OVC,null,null,1900,5000,null,null,null,null,null,null,null,null,null,30.97,KDSM 011954Z 01009KT 10SM BKN019 OVC050 03/M03 A2985 RMK AO2 SLP114 T00331033,null
DSM,2023-12-01 20:54,38,28,66.94,30,10,0,29.86,1012.1,10,15,BKN,OVC,null,null,2200,5000,null,null,null,null,null,null,null,null,null,30.49,KDSM 012054Z 03010G15KT 10SM BKN022 OVC050 03/M02 A2986 RMK AO2 SLP121 T00331022 53002,null
