station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
DTW,2023-12-01 0:53,48.2,33.8,57.26,230,14,0,29.85,null,10,null,FEW,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,42.04,KDTW 010053Z 23014KT 10SM FEW200 09/01 A2985 RMK SLPNO,null
DTW,2023-12-01 1:53,46.4,33.8,61.28,230,11,0,29.87,null,10,null,SCT,BKN,null,null,4500,6000,null,null,null,null,null,null,null,null,null,40.66,KDTW 010153Z COR 23011KT 10SM SCT045 BKN060 08/01 A2987 RMK SLPNO,null
DTW,2023-12-01 2:53,46.4,33.8,61.28,240,13,0,29.89,null,10,20,BKN,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,40.02,KDTW 010253Z 24013G20KT 10SM BKN060 08/01 A2989 RMK SLPNO,null
DTW,2023-12-01 3:53,46.4,35.6,65.83,240,11,0,29.9,null,10,null,BKN,OVC,null,null,6500,9000,null,null,null,null,null,null,null,null,null,40.66,KDTW 010353Z 24011KT 10SM BKN065 OVC090 08/02 A2990 RMK SLPNO,null
DTW,2023-12-01 4:53,46.4,35.6,65.83,230,11,0,29.91,null,10,null,BKN,BKN,null,null,3500,10000,null,null,null,null,null,null,null,null,null,40.66,KDTW 010453Z 23011KT 10SM BKN035 BKN100 08/02 A2991 RMK SLPNO,null
DTW,2023-12-01 5:53,46.4,35.6,65.83,230,7,0,29.92,null,8,null,BKN,OVC,null,null,3200,6000,null,null,null,null,null,null,null,null,null,42.33,KDTW 010553Z 23007KT 8SM BKN032 OVC060 08/02 A2992 RMK SLPNO,null
DTW,2023-12-01 6:38,46.4,37.4,70.68,240,9,0,29.92,null,8,null,BKN,OVC,null,null,2800,5000,null,null,null,null,null,null,null,null,null,41.42,KDTW 010638Z 24009KT 8SM BKN028 OVC050 08/03 A2992 RMK,null
DTW,2023-12-01 6:53,46.4,37.4,70.68,230,7,0,29.93,null,8,null,BKN,OVC,null,null,2600,5000,null,null,null,null,null,null,null,null,null,42.33,KDTW 010653Z 23007KT 8SM BKN026 OVC050 08/03 A2993 RMK SLPNO,null
DTW,2023-12-01 7:53,46.4,39.2,75.84,220,8,0,29.94,null,8,null,OVC,null,null,null,2400,null,null,null,null,null,null,null,null,null,null,41.85,KDTW 010753Z 22008KT 8SM OVC024 08/04 A2994 RMK SLPNO,null
DTW,2023-12-01 8:38,46.4,42.8,87.19,240,6,0,29.94,null,7,null,SCT,OVC,null,null,800,2200,null,null,#NAME?,null,null,null,null,null,null,42.87,KDTW 010838Z 24006KT 7SM -RA SCT008 OVC022 08/06 A2994 RMK RAB14,null
DTW,2023-12-01 8:53,44.6,42.8,93.35,240,6,0,29.93,null,5,null,SCT,OVC,null,null,800,2200,null,null,#NAME?,null,null,null,null,null,null,40.71,KDTW 010853Z 24006KT 5SM -RA BR SCT008 OVC022 07/06 A2993 RMK RAB14 SLPNO,null
DTW,2023-12-01 9:36,44.6,42.8,93.35,250,6,0,29.93,null,3,null,SCT,OVC,null,null,600,1400,null,null,#NAME?,null,null,null,null,null,null,40.71,KDTW 010936Z 25006KT 3SM -RA BR SCT006 OVC014 07/06 A2993 RMK,null
DTW,2023-12-01 9:53,44.6,42.8,93.35,220,5,0,29.94,null,2,null,BKN,OVC,null,null,600,1300,null,null,#NAME?,null,null,null,null,null,null,41.36,KDTW 010953Z COR 22005KT 2SM -RA BR BKN006 OVC013 07/06 A2994 RMK SLPNO,null
DTW,2023-12-01 10:15,44.6,42.8,93.35,220,5,0,29.94,null,2,null,BKN,OVC,null,null,600,1300,null,null,#NAME?,null,null,null,null,null,null,41.36,KDTW 011015Z 22005KT 2SM -RA BR BKN006 OVC013 07/06 A2994 RMK,null
DTW,2023-12-01 10:38,44.6,42.8,93.35,200,5,0,29.94,null,1.75,null,BKN,OVC,null,null,400,1500,null,null,#NAME?,null,null,null,null,null,null,41.36,KDTW 011038Z 20005KT 1 3/4SM -RA BR BKN004 OVC015 07/06 A2994 RMK SLPNO,null
DTW,2023-12-01 10:53,44.6,42.8,93.35,210,5,0,29.95,null,1.75,null,BKN,OVC,null,null,600,1500,null,null,#NAME?,null,null,null,null,null,null,41.36,KDTW 011053Z 21005KT 1 3/4SM -RA BR BKN006 OVC015 07/06 A2995 RMK SLPNO,null
DTW,2023-12-01 11:11,44.6,42.8,93.35,210,5,0,29.94,null,1.5,null,BKN,OVC,null,null,400,1200,null,null,#NAME?,null,null,null,null,null,null,41.36,KDTW 011111Z 21005KT 1 1/2SM -RA BR BKN004 OVC012 07/06 A2994 RMK,null
DTW,2023-12-01 11:39,44.6,42.8,93.35,0,0,0,29.95,null,2.5,null,SCT,OVC,null,null,700,1200,null,null,#NAME?,null,null,null,null,null,null,44.6,KDTW 011139Z 00000KT 2 1/2SM -RA BR SCT007 OVC012 07/06 A2995 RMK,null
DTW,2023-12-01 11:53,44.6,42.8,93.35,190,5,0,29.95,null,2.5,null,SCT,OVC,null,null,700,1200,null,null,#NAME?,null,null,null,null,null,null,41.36,KDTW 011153Z 19005KT 2 1/2SM -RA BR SCT007 OVC012 07/06 A2995 RMK SLPNO,null
DTW,2023-12-01 12:06,44.6,42.8,93.35,190,8,0,29.96,null,3,null,BKN,OVC,null,null,800,1700,null,null,#NAME?,null,null,null,null,null,null,39.63,KDTW 011206Z 19008KT 3SM -RA BR BKN008 OVC017 07/06 A2996 RMK,null
DTW,2023-12-01 12:27,44.6,42.8,93.35,200,5,0,29.95,null,3,null,BKN,OVC,null,null,1000,2500,null,null,#NAME?,null,null,null,null,null,null,41.36,KDTW 011227Z 20005KT 3SM -RA BR BKN010 OVC025 07/06 A2995 RMK,null
