station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ELP,2023-12-01 0:51,56,27,32.59,330,13,0,29.87,1007.7,10,null,SCT,BKN,BKN,null,7000,16000,25000,null,null,null,null,null,null,null,null,56,KELP 010051Z 33013KT 10SM SCT070 BKN160 BKN250 13/M03 A2987 RMK AO2 SLP077 T01331028 $,null
ELP,2023-12-01 1:51,55,27,33.79,330,7,0,29.89,1008.5,10,null,FEW,BKN,BKN,null,7000,15000,20000,null,null,null,null,null,null,null,null,55,KELP 010151Z 33007KT 10SM FEW070 BKN150 BKN200 13/M03 A2989 RMK AO2 SLP085 T01281028 $,null
ELP,2023-12-01 2:51,54,27,35.05,330,11,0,29.88,1008.5,10,null,FEW,FEW,SCT,BKN,7000,15000,20000,25000,null,null,null,null,null,null,null,54,KELP 010251Z 33011KT 10SM FEW070 FEW150 SCT200 BKN250 12/M03 A2988 RMK AO2 SLP085 T01221028 51006 $,null
ELP,2023-12-01 3:51,53,27,36.36,330,6,0,29.9,1008.9,10,null,FEW,SCT,null,null,20000,25000,null,null,null,null,null,null,null,null,null,53,KELP 010351Z 33006KT 10SM FEW200 SCT250 12/M03 A2990 RMK AO2 SLP089 T01171028 $,null
ELP,2023-12-01 4:51,52,27,37.72,360,5,0,29.89,1008.6,10,null,FEW,SCT,null,null,20000,25000,null,null,null,null,null,null,null,null,null,52,KELP 010451Z 36005KT 10SM FEW200 SCT250 11/M03 A2989 RMK AO2 SLP086 T01111028 $,null
ELP,2023-12-01 5:51,50,27,40.62,310,3,0,29.91,1009.2,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,50,KELP 010551Z 31003KT 10SM SCT250 10/M03 A2991 RMK AO2 SLP092 T01001028 10139 20100 53006 $,null
ELP,2023-12-01 6:51,51,27,39.14,330,3,0,29.91,1009.2,10,null,FEW,SCT,null,null,20000,25000,null,null,null,null,null,null,null,null,null,51,KELP 010651Z 33003KT 10SM FEW200 SCT250 11/M03 A2991 RMK AO2 SLP092 T01061028 401560078 $,null
ELP,2023-12-01 7:51,51,28,40.78,310,4,0,29.91,1008.9,10,null,FEW,FEW,null,null,18000,25000,null,null,null,null,null,null,null,null,null,51,KELP 010751Z 31004KT 10SM FEW180 FEW250 11/M02 A2991 RMK AO2 SLP089 T01061022 $,null
ELP,2023-12-01 8:51,51,27,39.14,0,0,0,29.91,1008.9,10,null,SCT,SCT,null,null,15000,21000,null,null,null,null,null,null,null,null,null,51,KELP 010851Z 00000KT 10SM SCT150 SCT210 11/M03 A2991 RMK AO2 SLP089 T01061028 52001 $,null
ELP,2023-12-01 9:51,45,29,53.22,170,4,0,29.92,1009.7,10,null,SCT,SCT,null,null,15000,21000,null,null,null,null,null,null,null,null,null,42.6,KELP 010951Z 17004KT 10SM SCT150 SCT210 07/M02 A2992 RMK AO2 SLP097 T00721017 $,null
