station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EUG,2023-12-01 0:54,42,39,89.01,100,5,0,29.93,1013.6,10,null,FEW,SCT,SCT,null,2000,7000,15000,null,null,null,null,null,null,null,null,38.27,KEUG 010054Z 10005KT 10SM FEW020 SCT070 SCT150 06/04 A2993 RMK AO2 SLP136 T00560039 $,null
EUG,2023-12-01 1:54,41,39,92.52,70,6,0,29.93,1013.8,10,null,FEW,BKN,null,null,5000,15000,null,null,null,null,null,null,null,null,null,36.37,KEUG 010154Z 07006KT 10SM FEW050 BKN150 05/04 A2993 RMK AO2 SLP138 T00500039 $,null
EUG,2023-12-01 2:54,42,40,92.55,90,6,0,29.93,1013.6,10,null,FEW,BKN,null,null,4400,15000,null,null,null,null,null,null,null,null,null,37.57,KEUG 010254Z 09006KT 10SM FEW044 BKN150 06/04 A2993 RMK AO2 SLP136 T00560044 50004 $,null
EUG,2023-12-01 3:54,41,39,92.52,100,5,0,29.94,1014.2,10,null,SCT,BKN,null,null,3400,9000,null,null,null,null,null,null,null,null,null,37.08,KEUG 010354Z 10005KT 10SM SCT034 BKN090 05/04 A2994 RMK AO2 SLP142 T00500039 $,null
EUG,2023-12-01 4:54,43,40,89.06,110,5,0,29.94,1014.2,10,null,SCT,BKN,OVC,null,1900,6000,7500,null,null,null,null,null,null,null,null,39.46,KEUG 010454Z 11005KT 10SM SCT019 BKN060 OVC075 06/04 A2994 RMK AO2 SLP142 T00610044 $,null
EUG,2023-12-01 5:54,44,41,89.11,110,6,T,29.96,1014.6,10,null,FEW,BKN,OVC,null,2800,4700,5500,null,#NAME?,null,null,null,null,null,null,39.98,KEUG 010554Z 11006KT 10SM -RA FEW028 BKN047 OVC055 07/05 A2996 RMK AO2 RAB18 SLP146 P0000 60000 T00670050 10078 20039 51011 $,null
EUG,2023-12-01 6:54,44,41,89.11,110,7,0.01,29.96,1014.8,10,null,SCT,OVC,null,null,2600,3900,null,null,#NAME?,null,null,null,null,null,null,39.41,KEUG 010654Z 11007KT 10SM -RA SCT026 OVC039 07/05 A2996 RMK AO2 RAE0557B38 SLP148 P0001 T00670050 $,null
EUG,2023-12-01 7:54,44,41,89.11,110,10,0.01,29.95,1014.2,10,null,FEW,BKN,OVC,null,2700,6000,7500,null,null,null,null,null,null,null,null,38.02,KEUG 010754Z AUTO 11010KT 10SM FEW027 BKN060 OVC075 07/05 A2995 RMK AO2 RAE17 CIG 024 RNW 34 SLP142 P0001 T00670050 400890022 $,null
EUG,2023-12-01 8:54,43,40,89.06,130,8,0,29.94,1014.1,10,null,FEW,BKN,OVC,null,3000,3600,9500,null,null,null,null,null,null,null,null,37.66,KEUG 010854Z AUTO 13008KT 10SM FEW030 BKN036 OVC095 06/04 A2994 RMK AO2 SLP141 60002 T00610044 58005 $,null
EUG,2023-12-01 9:54,43,40,89.06,110,8,0,29.92,1013.4,10,null,SCT,BKN,OVC,null,4300,5000,7000,null,null,null,null,null,null,null,null,37.66,KEUG 010954Z AUTO 11008KT 10SM SCT043 BKN050 OVC070 06/04 A2992 RMK AO2 SLP134 T00610044 $,null
EUG,2023-12-01 10:54,44,40,85.71,110,12,0,29.91,1012.9,10,null,FEW,BKN,OVC,null,2700,4800,7000,null,null,null,null,null,null,null,null,37.27,KEUG 011054Z AUTO 11012KT 10SM FEW027 BKN048 OVC070 07/04 A2991 RMK AO2 SLP129 T00670044 $,null
EUG,2023-12-01 11:54,44,41,89.11,120,11,0.01,29.89,1012.3,10,null,FEW,BKN,OVC,null,2100,2700,4200,null,#NAME?,null,null,null,null,null,null,37.63,KEUG 011154Z AUTO 12011KT 10SM -RA FEW021 BKN027 OVC042 07/05 A2989 RMK AO2 RAB08E19B36 SLP123 P0001 60003 70036 T00670050 10067 20061 56018 $,null
