station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EWR,2023-12-01 0:51,48,30,49.49,190,10,0,30.13,1020.3,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,43.03,KEWR 010051Z 19010KT 10SM BKN250 09/M01 A3013 RMK AO2 SLP203 T00891011,null
EWR,2023-12-01 1:51,47,30,51.39,200,8,0,30.13,1020.4,10,null,FEW,BKN,null,null,20000,25000,null,null,null,null,null,null,null,null,null,42.59,KEWR 010151Z 20008KT 10SM FEW200 BKN250 08/M01 A3013 RMK AO2 SLP204 T00831011,null
EWR,2023-12-01 2:51,45,30,55.43,220,8,0,30.15,1020.7,10,null,FEW,BKN,null,null,20000,25000,null,null,null,null,null,null,null,null,null,40.13,KEWR 010251Z 22008KT 10SM FEW200 BKN250 07/M01 A3015 RMK AO2 SLP207 T00721011 53006,null
EWR,2023-12-01 3:51,45,31,57.73,220,8,0,30.15,1021,10,null,BKN,null,null,null,23000,null,null,null,null,null,null,null,null,null,null,40.13,KEWR 010351Z 22008KT 10SM BKN230 07/M01 A3015 RMK AO2 SLP210 T00721006,null
EWR,2023-12-01 4:51,44,31,59.97,220,10,0,30.14,1020.7,10,null,SCT,null,null,null,23000,null,null,null,null,null,null,null,null,null,null,38.02,KEWR 010451Z 22010KT 10SM SCT230 07/M01 A3014 RMK AO2 SLP207 T00671006 401221011,null
EWR,2023-12-01 5:51,43,32,64.88,210,7,0,30.14,1020.4,10,null,SCT,null,null,null,23000,null,null,null,null,null,null,null,null,null,null,38.19,KEWR 010551Z 21007KT 10SM SCT230 06/00 A3014 RMK AO2 SLP204 T00610000 10094 20056 58003,null
EWR,2023-12-01 6:51,41,32,70.08,200,4,0,30.15,1021,10,null,SCT,null,null,null,24000,null,null,null,null,null,null,null,null,null,null,37.93,KEWR 010651Z 20004KT 10SM SCT240 05/00 A3015 RMK AO2 SLP210 T00500000,null
EWR,2023-12-01 7:51,40,31,69.97,210,4,0,30.16,1021,10,null,SCT,null,null,null,24000,null,null,null,null,null,null,null,null,null,null,36.76,KEWR 010751Z 21004KT 10SM SCT240 04/M01 A3016 RMK AO2 SLP210 T00441006,null
EWR,2023-12-01 8:51,41,31,67.3,0,0,0,30.16,1021.1,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,41,KEWR 010851Z 00000KT 10SM SCT250 05/M01 A3016 RMK AO2 SLP211 T00501006 51006,null
EWR,2023-12-01 9:51,36,30,78.6,210,4,0,30.16,1021.2,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,32.09,KEWR 010951Z 21004KT 10SM FEW250 02/M01 A3016 RMK AO2 SLP212 T00221011,null
EWR,2023-12-01 10:51,38,31,75.65,230,6,0,30.17,1021.5,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,32.76,KEWR 011051Z 23006KT 10SM FEW250 03/M01 A3017 RMK AO2 SLP215 T00331006,null
EWR,2023-12-01 11:51,36,30,78.6,210,4,0,30.17,1021.5,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,32.09,KEWR 011151Z 21004KT 10SM SCT250 02/M01 A3017 RMK AO2 SLP215 T00221011 10061 20017 51004,null
EWR,2023-12-01 12:51,39,32,75.75,240,6,0,30.17,1021.7,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,33.96,KEWR 011251Z 24006KT 10SM SCT250 04/00 A3017 RMK AO2 SLP217 T00390000,null
EWR,2023-12-01 13:51,42,34,73.06,210,5,0,30.17,1021.6,10,null,FEW,BKN,null,null,22000,25000,null,null,null,null,null,null,null,null,null,38.27,KEWR 011351Z 21005KT 10SM FEW220 BKN250 06/01 A3017 RMK AO2 SLP216 T00560011,null
EWR,2023-12-01 14:51,45,35,67.78,170,4,0,30.15,1020.9,10,null,FEW,SCT,BKN,null,15000,21000,25000,null,null,null,null,null,null,null,null,42.6,KEWR 011451Z 17004KT 10SM FEW150 SCT210 BKN250 07/02 A3015 RMK AO2 SLP209 T00720017 58006,null
EWR,2023-12-01 15:51,46,36,67.9,190,4,0,30.16,1021.3,10,null,SCT,BKN,OVC,null,13000,16000,25000,null,null,null,null,null,null,null,null,43.77,KEWR 011551Z 19004KT 10SM SCT130 BKN160 OVC250 08/02 A3016 RMK AO2 SLP213 T00780022,null
EWR,2023-12-01 16:51,47,36,65.38,240,5,0,30.17,1021.7,10,null,BKN,BKN,OVC,null,10000,15000,25000,null,null,null,null,null,null,null,null,44.21,KEWR 011651Z 24005KT 10SM BKN100 BKN150 OVC250 08/02 A3017 RMK AO2 SLP217 T00830022,null
EWR,2023-12-01 17:51,45,38,76.31,220,4,0.01,30.15,1021,9,null,BKN,OVC,null,null,7500,9000,null,null,#NAME?,null,null,null,null,null,null,42.6,KEWR 011751Z 22004KT 9SM -RA BKN075 OVC090 07/03 A3015 RMK AO2 RAB1659 SLP210 P0001 60001 T00720033 10083 20017 50001,null
EWR,2023-12-01 18:51,46,39,76.4,150,4,0.01,30.12,1019.8,10,null,SCT,BKN,OVC,null,9000,13000,25000,null,null,null,null,null,null,null,null,43.77,KEWR 011851Z 15004KT 10SM SCT090 BKN130 OVC250 08/04 A3012 RMK AO2 RAE14 SLP198 P0001 T00780039,null
EWR,2023-12-01 19:51,47,38,70.74,null,3,0,30.1,1019.3,10,null,BKN,OVC,null,null,8500,12000,null,null,null,null,null,null,null,null,null,45.84,KEWR 011951Z VRB03KT 10SM BKN085 OVC120 08/03 A3010 RMK AO2 SLP193 T00830033,null
EWR,2023-12-01 20:51,47,38,70.74,0,0,T,30.1,1019.3,10,null,SCT,OVC,null,null,6500,11000,null,null,#NAME?,null,null,null,null,null,null,47,KEWR 012051Z 00000KT 10SM -RA SCT065 OVC110 08/03 A3010 RMK AO2 RAB50 SLP193 P0000 60001 T00830033 56017,null
EWR,2023-12-01 21:51,46,40,79.44,240,5,0.02,30.11,1019.5,7,null,BKN,OVC,null,null,5000,7000,null,null,#NAME?,null,null,null,null,null,null,43.02,KEWR 012151Z 24005KT 7SM -RA BKN050 OVC070 08/04 A3011 RMK AO2 SLP195 P0002 T00780044,null
EWR,2023-12-01 22:51,46,41,82.58,190,3,0.07,30.1,1019.1,6,null,BKN,OVC,null,null,3600,4700,null,null,RA,null,null,null,null,null,null,44.69,KEWR 012251Z 19003KT 6SM RA BKN036 OVC047 08/05 A3010 RMK AO2 SLP191 P0007 T00780050,null
EWR,2023-12-01 23:28,46,42,85.83,180,3,0.08,30.09,null,5,null,SCT,BKN,OVC,null,1400,2800,3600,null,RA BR,null,null,null,null,null,null,44.69,KEWR 012328Z 18003KT 5SM RA BR SCT014 BKN028 OVC036 08/06 A3009 RMK AO2 P0008 T00780056,null
EWR,2023-12-01 23:51,45,42,89.15,0,0,0.11,30.09,1018.8,5,null,SCT,BKN,OVC,null,1200,2200,4200,null,#NAME?,null,null,null,null,null,null,45,KEWR 012351Z 00000KT 5SM -RA BR SCT012 BKN022 OVC042 07/06 A3009 RMK AO2 SLP188 P0011 60021 T00720056 10089 20072 58004,null
EWR,2023-12-02 0:09,45,43,92.65,180,5,0.04,30.09,null,4,null,SCT,BKN,OVC,null,900,2000,2800,null,RA BR,null,null,null,null,null,null,41.83,KEWR 020009Z 18005KT 4SM RA BR SCT009 BKN020 OVC028 07/06 A3009 RMK AO2 P0004 T00720061,null
EWR,2023-12-02 0:22,45,43,92.65,190,5,0.06,30.09,null,3,null,BKN,OVC,null,null,900,2300,null,null,#NAME?,null,null,null,null,null,null,41.83,KEWR 020022Z 19005KT 3SM -RA BR BKN009 OVC023 07/06 A3009 RMK AO2 P0006 T00720061,null
EWR,2023-12-02 0:51,46,43,89.2,180,4,0.09,30.09,1018.7,3,null,BKN,OVC,null,null,700,1100,null,null,#NAME?,null,null,null,null,null,null,43.77,KEWR 020051Z 18004KT 3SM -RA BR BKN007 OVC011 08/06 A3009 RMK AO2 SLP187 P0009 T00780061,null
EWR,2023-12-02 1:51,46,44,92.68,180,3,0.06,30.07,1018.2,3,null,BKN,BKN,OVC,null,600,1100,3400,null,#NAME?,null,null,null,null,null,null,44.69,KEWR 020151Z 18003KT 3SM -RA BR BKN006 BKN011 OVC034 08/07 A3007 RMK AO2 SLP182 P0006 T00780067,null
