station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EYW,2023-12-01 0:53,75,67,76.19,60,8,0,30.06,1018.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,75,KEYW 010053Z 06008KT 10SM CLR 24/19 A3006 RMK AO2 SLP185 T02390194,null
EYW,2023-12-01 1:53,74,67,78.78,50,6,0,30.08,1019,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,74,KEYW 010153Z AUTO 05006KT 10SM CLR 23/19 A3008 RMK AO2 SLP190 T02330194,null
EYW,2023-12-01 2:53,73,67,81.48,50,5,0,30.08,1019.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,73,KEYW 010253Z AUTO 05005KT 10SM CLR 23/19 A3008 RMK AO2 SLP193 T02280194 51015,null
EYW,2023-12-01 3:53,73,67,81.48,50,5,0,30.08,1019,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,73,KEYW 010353Z AUTO 05005KT 10SM CLR 23/19 A3008 RMK AO2 SLP190 T02280194,null
EYW,2023-12-01 4:53,73,67,81.48,50,7,0,30.06,1018.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,73,KEYW 010453Z AUTO 05007KT 10SM CLR 23/19 A3006 RMK AO2 SLP186 T02280194 402670217,null
EYW,2023-12-01 5:53,73,69,87.29,40,6,0,30.07,1018.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,73,KEYW 010553Z AUTO 04006KT 10SM CLR 23/21 A3007 RMK AO2 SLP187 T02280206 10244 20228 55006,null
EYW,2023-12-01 6:53,73,69,87.29,50,6,0,30.05,1018.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,73,KEYW 010653Z AUTO 05006KT 10SM CLR 23/21 A3005 RMK AO2 SLP183 T02280206,null
EYW,2023-12-01 7:53,73,69,87.29,50,6,0,30.04,1017.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,73,KEYW 010753Z AUTO 05006KT 10SM CLR 23/21 A3004 RMK AO2 SLP178 T02280206,null
EYW,2023-12-01 8:53,73,69,87.29,50,5,0,30.03,1017.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,73,KEYW 010853Z AUTO 05005KT 10SM CLR 23/21 A3003 RMK AO2 SLP175 T02280206 56012,null
EYW,2023-12-01 9:53,73,70,90.32,40,6,0,30.03,1017.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,73,KEYW 010953Z AUTO 04006KT 10SM CLR 23/21 A3003 RMK AO2 SLP175 T02280211,null
