station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
FAT,2023-12-01 0:53,59,41,51.18,330,4,0,29.96,1014.5,10,null,SCT,BKN,BKN,null,5000,13000,20000,null,null,null,null,null,null,null,null,59,KFAT 010053Z 33004KT 10SM SCT050 BKN130 BKN200 15/05 A2996 RMK AO2 SLP145 T01500050 $,null
FAT,2023-12-01 1:53,57,41,54.99,350,3,0,29.97,1014.9,10,null,BKN,BKN,null,null,7000,13000,null,null,null,null,null,null,null,null,null,57,KFAT 010153Z 35003KT 10SM BKN070 BKN130 14/05 A2997 RMK AO2 SLP149 T01390050 $,null
FAT,2023-12-01 2:53,57,41,54.99,340,3,0,29.98,1015.3,10,null,BKN,OVC,null,null,7000,9000,null,null,null,null,null,null,null,null,null,57,KFAT 010253Z 34003KT 10SM BKN070 OVC090 14/05 A2998 RMK AO2 SLP153 T01390050 53008 $,null
FAT,2023-12-01 3:53,54,41,61.32,0,0,0,30,1015.7,10,null,SCT,SCT,null,null,7000,13000,null,null,null,null,null,null,null,null,null,54,KFAT 010353Z 00000KT 10SM SCT070 SCT130 12/05 A3000 RMK AO2 SLP157 T01220050 $,null
FAT,2023-12-01 4:53,53,41,63.61,290,4,0,30.01,1016.1,10,null,BKN,BKN,null,null,6000,9000,null,null,null,null,null,null,null,null,null,53,KFAT 010453Z 29004KT 10SM BKN060 BKN090 12/05 A3001 RMK AO2 SLP161 T01170050 $,null
FAT,2023-12-01 5:53,53,41,63.61,290,8,0,30.02,1016.5,10,null,SCT,BKN,null,null,6000,8500,null,null,null,null,null,null,null,null,null,53,KFAT 010553Z 29008KT 10SM SCT060 BKN085 12/05 A3002 RMK AO2 SLP165 T01170050 10167 20111 52012 $,null
FAT,2023-12-01 6:53,51,41,68.48,320,5,0,30.04,1017.1,10,null,BKN,BKN,null,null,5000,8500,null,null,null,null,null,null,null,null,null,51,KFAT 010653Z 32005KT 10SM BKN050 BKN085 11/05 A3004 RMK AO2 SLP171 T01060050 $,null
FAT,2023-12-01 7:53,50,42,73.87,300,4,0,30.06,1017.6,10,null,BKN,BKN,BKN,null,8000,11000,20000,null,null,null,null,null,null,null,null,50,KFAT 010753Z 30004KT 10SM BKN080 BKN110 BKN200 10/06 A3006 RMK AO2 SLP176 T01000056 401780044 $,null
FAT,2023-12-01 8:53,49,42,76.67,320,5,0,30.06,1017.6,10,null,BKN,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,46.58,KFAT 010853Z 32005KT 10SM BKN200 09/06 A3006 RMK AO2 SLP176 T00940056 51012 $,null
FAT,2023-12-01 9:53,49,42,76.67,300,8,0,30.06,1017.8,10,null,SCT,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,45.05,KFAT 010953Z 30008KT 10SM SCT200 09/06 A3006 RMK AO2 SLP178 T00940056 $,null
FAT,2023-12-01 10:53,47,42,82.65,290,7,0,30.07,1018,10,null,SCT,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,43.06,KFAT 011053Z 29007KT 10SM SCT200 08/06 A3007 RMK AO2 SLP180 T00830056 $,null
FAT,2023-12-01 11:53,47,41,79.52,310,9,0,30.07,1018.1,10,null,FEW,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,42.17,KFAT 011153Z 31009KT 10SM FEW200 08/05 A3007 RMK AO2 SLP181 T00830050 10117 20083 51005 $,null
FAT,2023-12-01 12:53,46,41,82.58,300,9,0,30.07,1018.3,7,null,FEW,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,40.92,KFAT 011253Z 30009KT 7SM FEW200 08/05 A3007 RMK AO2 SLP183 T00780050 $,null
FAT,2023-12-01 13:53,44,40,85.71,300,7,0,30.09,1019,4,null,FEW,null,null,null,20000,null,null,null,BR,null,null,null,null,null,null,39.41,KFAT 011353Z 30007KT 4SM BR FEW200 07/04 A3009 RMK AO2 SLP190 T00670044 $,null
FAT,2023-12-01 14:53,43,39,85.66,280,6,0,30.1,1019.2,10,null,FEW,FEW,null,null,10000,20000,null,null,null,null,null,null,null,null,null,38.78,KFAT 011453Z 28006KT 10SM FEW100 FEW200 06/04 A3010 RMK AO2 SLP192 T00610039 52010,null
FAT,2023-12-01 15:53,46,41,82.58,290,6,0,30.12,1019.9,10,null,FEW,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,42.39,KFAT 011553Z 29006KT 10SM FEW200 08/05 A3012 RMK AO2 SLP199 T00780050,null
FAT,2023-12-01 16:53,50,41,71.07,330,7,0,30.16,1021.2,8,null,SCT,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,50,KFAT 011653Z 33007KT 8SM SCT200 10/05 A3016 RMK AO2 SLP212 T01000050,null
FAT,2023-12-01 17:53,53,41,63.61,320,8,0,30.18,1021.7,10,null,FEW,BKN,null,null,1000,20000,null,null,null,null,null,null,null,null,null,53,KFAT 011753Z 32008KT 10SM FEW010 BKN200 12/05 A3018 RMK AO2 SLP217 T01170050 10117 20056 52026,null
FAT,2023-12-01 18:53,56,40,54.85,300,7,0,30.17,1021.5,7,null,FEW,FEW,null,null,2000,20000,null,null,null,null,null,null,null,null,null,56,KFAT 011853Z 30007KT 7SM FEW020 FEW200 13/04 A3017 RMK AO2 SLP215 T01330044,null
FAT,2023-12-01 19:53,57,40,52.9,330,7,0,30.15,1021,7,null,FEW,BKN,null,null,4000,20000,null,null,null,null,null,null,null,null,null,57,KFAT 011953Z 33007KT 7SM FEW040 BKN200 14/04 A3015 RMK AO2 SLP210 T01390044,null
FAT,2023-12-01 20:53,60,40,47.51,290,7,0,30.14,1020.4,7,null,FEW,BKN,null,null,4000,20000,null,null,null,null,null,null,null,null,null,60,KFAT 012053Z 29007KT 7SM FEW040 BKN200 16/04 A3014 RMK AO2 SLP204 T01560044 58013,null
FAT,2023-12-01 21:53,61,38,42.4,290,7,0,30.13,1020.1,7,null,FEW,SCT,null,null,5000,20000,null,null,HZ,null,null,null,null,null,null,61,KFAT 012153Z COR 29007KT 7SM FEW050 SCT200 16/03 A3013 RMK AO2 SLP201 T01610033,null
FAT,2023-12-01 22:53,61,37,40.77,290,9,0,30.13,1020.2,10,null,FEW,SCT,null,null,5000,20000,null,null,null,null,null,null,null,null,null,61,KFAT 012253Z 29009KT 10SM FEW050 SCT200 16/03 A3013 RMK AO2 SLP202 T01610028,null
FAT,2023-12-01 23:53,60,37,42.24,290,9,0,30.14,1020.4,10,null,FEW,SCT,SCT,null,5000,8000,20000,null,null,null,null,null,null,null,null,60,KFAT 012353Z 29009KT 10SM FEW050 SCT080 SCT200 16/03 A3014 RMK AO2 SLP204 T01560028 10161 20117 55001,null
FAT,2023-12-02 0:53,56,37,48.77,310,5,0,30.15,1020.9,10,null,FEW,SCT,BKN,null,8000,13000,20000,null,null,null,null,null,null,null,null,56,KFAT 020053Z 31005KT 10SM FEW080 SCT130 BKN200 13/03 A3015 RMK AO2 SLP209 T01330028,null
FAT,2023-12-02 1:53,54,37,52.45,0,0,0,30.16,1021.3,10,null,FEW,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,54,KFAT 020153Z 00000KT 10SM FEW200 12/03 A3016 RMK AO2 SLP213 T01220028,null
FAT,2023-12-02 2:53,53,38,56.59,310,4,0,30.18,1022,10,null,FEW,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,53,KFAT 020253Z 31004KT 10SM FEW200 12/03 A3018 RMK AO2 SLP220 T01170033 53015,null
FAT,2023-12-02 3:53,52,37,56.45,340,3,0,30.19,1022.4,9,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,52,KFAT 020353Z 34003KT 9SM CLR 11/03 A3019 RMK AO2 SLP224 T01110028,null
FAT,2023-12-02 4:53,49,37,63.1,130,3,0,30.19,1022.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48.12,KFAT 020453Z 13003KT 10SM CLR 09/03 A3019 RMK AO2 SLP222 T00940028,null
FAT,2023-12-02 5:53,47,37,68.02,0,0,0,30.21,1022.8,10,null,FEW,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,47,KFAT 020553Z 00000KT 10SM FEW200 08/03 A3021 RMK AO2 SLP228 T00830028 10156 20083 53008,null
FAT,2023-12-02 6:53,46,37,70.64,310,3,0,30.23,1023.6,10,null,FEW,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,44.69,KFAT 020653Z 31003KT 10SM FEW200 08/03 A3023 RMK AO2 SLP236 T00780028,null
FAT,2023-12-02 7:53,44,37,76.22,0,0,0,30.24,1023.9,7,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,KFAT 020753Z 00000KT 7SM CLR 07/03 A3024 RMK AO2 SLP239 T00670028 401610056,null
FAT,2023-12-02 8:53,44,36,73.27,0,0,0,30.22,1023.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,KFAT 020853Z 00000KT 10SM CLR 07/02 A3022 RMK AO2 SLP234 T00670022 50006,null
FAT,2023-12-02 9:53,41,36,82.22,70,3,0,30.24,1023.8,9,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38.98,KFAT 020953Z 07003KT 9SM CLR 05/02 A3024 RMK AO2 SLP238 T00500022,null
FAT,2023-12-02 10:53,40,35,82.15,80,3,0,30.24,1024.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37.83,KFAT 021053Z 08003KT 10SM CLR 04/02 A3024 RMK AO2 SLP241 T00440017,null
FAT,2023-12-02 11:53,40,35,82.15,0,0,0,30.24,1024,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40,KFAT 021153Z 00000KT 10SM CLR 04/02 A3024 RMK AO2 SLP240 T00440017 10083 20039 50006,null
FAT,2023-12-02 12:53,40,36,85.48,120,4,0,30.25,1024.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36.76,KFAT 021253Z 12004KT 10SM CLR 04/02 A3025 RMK AO2 SLP244 T00440022,null
FAT,2023-12-02 13:53,39,35,85.42,130,5,0,30.26,1024.6,9,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34.71,KFAT 021353Z 13005KT 9SM CLR 04/02 A3026 RMK AO2 SLP246 T00390017,null
FAT,2023-12-02 14:53,39,35,85.42,0,0,0,30.28,1025.4,7,null,SCT,SCT,null,null,10000,20000,null,null,null,null,null,null,null,null,null,39,KFAT 021453Z 00000KT 7SM SCT100 SCT200 04/02 A3028 RMK AO2 SLP254 T00390017 53014,null
FAT,2023-12-02 15:53,41,36,82.22,100,3,0,30.3,1026.2,6,null,SCT,BKN,null,null,10000,20000,null,null,HZ,null,null,null,null,null,null,38.98,KFAT 021553Z 10003KT 6SM HZ SCT100 BKN200 05/02 A3030 RMK AO2 SLP262 T00500022,null
FAT,2023-12-02 16:53,45,38,76.31,130,5,0,30.31,1026.4,8,null,FEW,BKN,null,null,8000,20000,null,null,null,null,null,null,null,null,null,41.83,KFAT 021653Z 13005KT 8SM FEW080 BKN200 07/03 A3031 RMK AO2 SLP264 T00720033,null
FAT,2023-12-02 17:53,50,39,65.75,130,9,0,30.32,1026.7,10,null,FEW,FEW,BKN,null,6000,10000,20000,null,null,null,null,null,null,null,null,50,KFAT 021753Z 13009KT 10SM FEW060 FEW100 BKN200 10/04 A3032 RMK AO2 SLP267 T01000039 10100 20028 51013,null
FAT,2023-12-02 18:53,53,39,58.85,150,7,0,30.29,1025.8,10,null,FEW,FEW,OVC,null,6000,10000,20000,null,null,null,null,null,null,null,null,53,KFAT 021853Z 15007KT 10SM FEW060 FEW100 OVC200 12/04 A3029 RMK AO2 SLP258 T01170039,null
FAT,2023-12-02 19:53,56,38,50.73,100,3,0,30.29,1025.5,10,null,SCT,BKN,null,null,10000,20000,null,null,null,null,null,null,null,null,null,56,KFAT 021953Z 10003KT 10SM SCT100 BKN200 13/03 A3029 RMK AO2 SLP255 T01330033,null
