station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MCO,2023-12-01 0:53,67,57,70.24,60,5,0,30.14,1020.6,10,null,SCT,null,null,null,22000,null,null,null,null,null,null,null,null,null,null,67,KMCO 010053Z 06005KT 10SM SCT220 19/14 A3014 RMK AO2 SLP206 T01940139,null
TPA,2023-12-01 0:53,70,55,58.94,0,0,0,30.12,1019.9,10,null,SCT,BKN,null,null,5500,20000,null,null,null,null,null,null,null,null,null,70,KTPA 010053Z COR 00000KT 10SM SCT055 BKN200 21/13 A3012 RMK AO2 SLP199 T02110128,null
RSW,2023-12-01 0:53,69,60,73.02,60,4,0,30.1,1019,10,null,BKN,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,69,KRSW 010053Z 06004KT 10SM BKN060 21/16 A3010 RMK AO2 SLP190 T02060156,null
MIA,2023-12-01 0:53,74,62,66.15,100,3,0,30.09,1018.8,10,null,FEW,SCT,null,null,3500,25000,null,null,null,null,null,null,null,null,null,74,KMIA 010053Z 10003KT 10SM FEW035 SCT250 23/17 A3009 RMK AO2 SLP188 T02330167,null
PBI,2023-12-01 0:53,74,65,73.5,80,6,0,30.1,1019.2,10,null,FEW,BKN,null,null,3300,25000,null,null,null,null,null,null,null,null,null,74,KPBI 010053Z 08006KT 10SM FEW033 BKN250 23/18 A3010 RMK AO2 SLP192 T02330183 $,null
PNS,2023-12-01 0:53,57,42,57.16,80,9,0,30.04,1017.5,10,null,BKN,OVC,null,null,2500,3100,null,null,null,null,null,null,null,null,null,57,KPNS 010053Z 08009KT 10SM BKN025 OVC031 14/06 A3004 RMK AO2 SLP175 T01390056,null
VPS,2023-12-01 0:55,55.6,31.6,39.89,70,5,0,30.06,1018.6,10,null,SCT,BKN,null,null,10000,12000,null,null,null,null,null,null,null,null,null,55.6,KVPS 010055Z AUTO 07005KT 10SM SCT100 BKN120 13/M00 A3006 RMK AO2 SLP186 T01311002 $,null
PNS,2023-12-01 1:53,57,42,57.16,90,9,0,30.05,1017.8,10,null,BKN,OVC,null,null,2300,2800,null,null,null,null,null,null,null,null,null,57,KPNS 010153Z 09009KT 10SM BKN023 OVC028 14/06 A3005 RMK AO2 SLP178 T01390056,null
RSW,2023-12-01 1:53,67,59,75.48,80,6,0,30.11,1019.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,67,KRSW 010153Z 08006KT 10SM CLR 19/15 A3011 RMK AO2 SLP193 T01940150,null
MCO,2023-12-01 1:53,66,58,75.39,70,6,0,30.14,1020.6,10,null,SCT,SCT,null,null,17000,22000,null,null,null,null,null,null,null,null,null,66,KMCO 010153Z 07006KT 10SM SCT170 SCT220 19/14 A3014 RMK AO2 SLP206 T01890144,null
MIA,2023-12-01 1:53,76,65,68.74,90,5,0,30.09,1019.1,10,null,FEW,SCT,null,null,4300,25000,null,null,null,null,null,null,null,null,null,76,KMIA 010153Z 09005KT 10SM FEW043 SCT250 24/18 A3009 RMK AO2 SLP191 T02440183,null
PBI,2023-12-01 1:53,74,66,76.1,90,7,0,30.11,1019.6,10,null,SCT,BKN,BKN,null,2600,3200,25000,null,null,null,null,null,null,null,null,74,KPBI 010153Z 09007KT 10SM SCT026 BKN032 BKN250 23/19 A3011 RMK AO2 SLP196 T02330189 $,null
TPA,2023-12-01 1:53,69,55,60.99,0,0,0,30.12,1019.9,10,null,FEW,BKN,BKN,null,6000,17000,20000,null,null,null,null,null,null,null,null,69,KTPA 010153Z COR 00000KT 10SM FEW060 BKN170 BKN200 21/13 A3012 RMK AO2 SLP199 T02060128,null
VPS,2023-12-01 1:55,55,35.2,47.1,90,6,0,30.07,1019,10,null,BKN,null,null,null,10000,null,null,null,null,null,null,null,null,null,null,55,KVPS 010155Z AUTO 09006KT 10SM BKN100 13/02 A3007 RMK AO2 SLP190 T01280018 $,null
MCO,2023-12-01 2:53,66,59,78.14,70,3,0,30.14,1020.5,10,null,SCT,SCT,null,null,15000,25000,null,null,null,null,null,null,null,null,null,66,KMCO 010253Z 07003KT 10SM SCT150 SCT250 19/15 A3014 RMK AO2 SLP205 T01890150 50004,null
