station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
FLL,2023-12-01 0:53,75,65,71.08,100,10,0,30.08,1018.4,10,null,FEW,SCT,null,null,3100,25000,null,null,null,null,null,null,null,null,null,75,KFLL 010053Z 10010KT 10SM FEW031 SCT250 24/18 A3008 RMK AO2 SLP184 T02390183 $,null
FLL,2023-12-01 1:53,75,67,76.19,80,5,0,30.08,1018.7,10,null,FEW,SCT,BKN,BKN,2900,3800,4900,25000,null,null,null,null,null,null,null,75,KFLL 010153Z 08005KT 10SM FEW029 SCT038 BKN049 BKN250 24/19 A3008 RMK AO2 SLP187 T02390194 $,null
FLL,2023-12-01 2:53,76,67,73.69,100,7,0,30.09,1018.9,10,null,SCT,BKN,null,null,3200,25000,null,null,null,null,null,null,null,null,null,76,KFLL 010253Z 10007KT 10SM SCT032 BKN250 24/19 A3009 RMK AO2 SLP189 T02440194 51010 $,null
FLL,2023-12-01 3:53,76,67,73.69,120,8,0,30.08,1018.6,10,null,FEW,SCT,BKN,null,2700,3200,25000,null,null,null,null,null,null,null,null,76,KFLL 010353Z 12008KT 10SM FEW027 SCT032 BKN250 24/19 A3008 RMK AO2 SLP186 T02440194 $,null
FLL,2023-12-01 4:53,76,68,76.27,110,9,0,30.07,1018.3,10,null,FEW,SCT,BKN,null,2500,3500,25000,null,null,null,null,null,null,null,null,76,KFLL 010453Z 11009KT 10SM FEW025 SCT035 BKN250 24/20 A3007 RMK AO2 SLP183 T02440200 402610156 $,null
FLL,2023-12-01 5:53,76,68,76.27,140,7,0,30.07,1018.1,10,null,FEW,FEW,BKN,null,2500,4000,25000,null,null,null,null,null,null,null,null,76,KFLL 010553Z 14007KT 10SM FEW025 FEW040 BKN250 24/20 A3007 RMK AO2 SLP181 T02440200 10250 20233 56007 $,null
FLL,2023-12-01 6:53,75,69,81.62,130,7,0,30.06,1018,10,null,FEW,BKN,null,null,2500,25000,null,null,null,null,null,null,null,null,null,75,KFLL 010653Z 13007KT 10SM FEW025 BKN250 24/21 A3006 RMK AO2 SLP180 T02390206,null
FLL,2023-12-01 7:53,76,69,78.94,130,8,0,30.06,1017.7,10,null,FEW,FEW,SCT,null,2500,4000,25000,null,null,null,null,null,null,null,null,76,KFLL 010753Z 13008KT 10SM FEW025 FEW040 SCT250 24/21 A3006 RMK AO2 SLP177 T02440206,null
FLL,2023-12-01 8:53,76,70,81.69,140,6,0,30.05,1017.5,10,null,FEW,SCT,SCT,null,2500,4000,25000,null,null,null,null,null,null,null,null,76,KFLL 010853Z 14006KT 10SM FEW025 SCT040 SCT250 24/21 A3005 RMK AO2 SLP175 T02440211 57006,null
FLL,2023-12-01 9:53,75,69,81.62,130,9,0,30.04,1017.3,10,null,FEW,FEW,null,null,2500,25000,null,null,null,null,null,null,null,null,null,75,KFLL 010953Z 13009KT 10SM FEW025 FEW250 24/21 A3004 RMK AO2 SLP173 T02390206,null
FLL,2023-12-01 10:53,76,69,78.94,130,10,0,30.05,1017.6,10,null,FEW,FEW,null,null,2500,25000,null,null,null,null,null,null,null,null,null,76,KFLL 011053Z 13010KT 10SM FEW025 FEW250 24/21 A3005 RMK AO2 SLP176 T02440206,null
FLL,2023-12-01 11:53,76,69,78.94,130,9,0,30.06,1018,10,null,FEW,FEW,null,null,2500,25000,null,null,null,null,null,null,null,null,null,76,KFLL 011153Z 13009KT 10SM FEW025 FEW250 24/21 A3006 RMK AO2 SLP180 T02440206 10244 20233 53005,null
FLL,2023-12-01 12:53,78,70,76.45,130,9,0,30.08,1018.6,10,null,SCT,SCT,null,null,2500,25000,null,null,null,null,null,null,null,null,null,78,KFLL 011253Z 13009KT 10SM SCT025 SCT250 26/21 A3008 RMK AO2 SLP186 T02560211,null
