station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
GEG,2023-12-01 0:22,27,24,88.28,0,0,T,29.87,null,2,null,BKN,OVC,null,null,700,3500,null,null,BR,null,null,null,null,null,null,27,KGEG 010022Z 00000KT 2SM BR BKN007 OVC035 M03/M04 A2987 RMK AO2 SFC VIS 3 SNE22 P0000 T10281044,null
GEG,2023-12-01 0:41,27,24,88.28,10,4,T,29.86,null,5,null,BKN,OVC,null,null,700,3500,null,null,BR,null,null,null,null,null,null,21.58,KGEG 010041Z 01004KT 5SM BR BKN007 OVC035 M03/M04 A2986 RMK AO2 SNE22 P0000 T10281044,null
GEG,2023-12-01 0:53,27,25,92.05,10,4,T,29.86,1013.6,4,null,BKN,OVC,null,null,600,3500,null,null,BR,null,null,null,null,null,null,21.58,KGEG 010053Z 01004KT 4SM BR BKN006 OVC035 M03/M04 A2986 RMK AO2 SNE22 SLP136 P0000 T10281039,null
GEG,2023-12-01 1:21,27,25,92.05,20,4,0,29.86,null,4,null,SCT,BKN,OVC,null,400,1300,9000,null,BR,null,null,null,null,null,null,21.58,KGEG 010121Z 02004KT 4SM BR SCT004 BKN013 OVC090 M03/M04 A2986 RMK AO2 T10281039,null
GEG,2023-12-01 1:53,27,24,88.28,30,4,0,29.85,1013.4,5,null,FEW,BKN,OVC,null,500,1700,8000,null,BR,null,null,null,null,null,null,21.58,KGEG 010153Z 03004KT 5SM BR FEW005 BKN017 OVC080 M03/M04 A2985 RMK AO2 SLP134 T10281044,null
GEG,2023-12-01 2:53,27,24,88.28,20,4,0,29.84,1013,5,null,FEW,SCT,OVC,null,700,2000,8500,null,BR,null,null,null,null,null,null,21.58,KGEG 010253Z 02004KT 5SM BR FEW007 SCT020 OVC085 M03/M04 A2984 RMK AO2 SLP130 60000 T10281044 58009,null
GEG,2023-12-01 3:40,27,24,88.28,20,4,T,29.84,null,4,null,FEW,OVC,null,null,700,5500,null,null,#NAME?,null,null,null,null,null,null,21.58,KGEG 010340Z 02004KT 4SM -SN BR FEW007 OVC055 M03/M04 A2984 RMK AO2 SNB36 P0000 T10281044,null
GEG,2023-12-01 3:53,27,24,88.28,30,5,T,29.83,1012.8,4,null,FEW,OVC,null,null,700,5500,null,null,#NAME?,null,null,null,null,null,null,20.46,KGEG 010353Z 03005KT 4SM -SN BR FEW007 OVC055 M03/M04 A2983 RMK AO2 SNB36 SLP128 P0000 T10281044,null
GEG,2023-12-01 4:53,27,24,88.28,350,3,T,29.83,1012.4,5,null,FEW,OVC,null,null,800,5000,null,null,#NAME?,null,null,null,null,null,null,22.97,KGEG 010453Z 35003KT 5SM -SN BR FEW008 OVC050 M03/M04 A2983 RMK AO2 SLP124 P0000 T10281044,null
GEG,2023-12-01 5:53,27,24,88.28,30,5,T,29.81,1011.8,6,null,BKN,OVC,null,null,4700,6000,null,null,BR,null,null,null,null,null,null,20.46,KGEG 010553Z 03005KT 6SM BR BKN047 OVC060 M03/M04 A2981 RMK AO2 SNE50 SLP118 P0000 60000 T10281044 11022 21028 58010,null
GEG,2023-12-01 6:43,27,24,88.28,10,3,T,29.81,null,6,null,FEW,BKN,OVC,null,1500,5500,18000,null,#NAME?,null,null,null,null,null,null,22.97,KGEG 010643Z 01003KT 6SM -SN BR FEW015 BKN055 OVC180 M03/M04 A2981 RMK AO2 SNB43 P0000 T10281044,null
GEG,2023-12-01 6:53,27,24,88.28,20,3,T,29.81,1011.9,4,null,FEW,BKN,OVC,null,1500,4400,6000,null,#NAME?,null,null,null,null,null,null,22.97,KGEG 010653Z 02003KT 4SM -SN BR FEW015 BKN044 OVC060 M03/M04 A2981 RMK AO2 SNB43 SLP119 P0000 T10281044,null
GEG,2023-12-01 7:14,27,24,88.28,30,3,T,29.81,null,1.75,null,OVC,null,null,null,2800,null,null,null,#NAME?,null,null,null,null,null,null,22.97,KGEG 010714Z 03003KT 1 3/4SM -SN BR OVC028 M03/M04 A2981 RMK AO2 TWR VIS 4 P0000 T10281044,null
GEG,2023-12-01 7:53,27,24,88.28,0,0,T,29.81,1011.8,2,null,BKN,BKN,OVC,null,2600,3500,4900,null,#NAME?,null,null,null,null,null,null,27,KGEG 010753Z 00000KT 2SM -SN BR BKN026 BKN035 OVC049 M03/M04 A2981 RMK AO2 SLP118 P0000 T10281044 410221044,null
GEG,2023-12-01 8:53,27,24,88.28,0,0,0.02,29.8,1011.5,2,null,BKN,OVC,null,null,1900,3100,null,null,#NAME?,null,null,null,null,null,null,27,KGEG 010853Z 00000KT 2SM -SN BR BKN019 OVC031 M03/M04 A2980 RMK AO2 SLP115 P0002 60002 T10281044 58003,null
GEG,2023-12-01 9:19,27,25,92.05,0,0,T,29.79,null,2,null,SCT,OVC,null,null,1900,3300,null,null,#NAME?,null,null,null,null,null,null,27,KGEG 010919Z 00000KT 2SM -SN BR SCT019 OVC033 M03/M04 A2979 RMK AO2 P0000 T10281039,null
GEG,2023-12-01 9:53,27,24,88.28,0,0,0.01,29.79,1011.3,1.75,null,BKN,OVC,null,null,3000,4700,null,null,#NAME?,null,null,null,null,null,null,27,KGEG 010953Z 00000KT 1 3/4SM -SN BR BKN030 OVC047 M03/M04 A2979 RMK AO2 TWR VIS 2 SLP113 P0001 T10281044,null
GEG,2023-12-01 10:16,27,24,88.28,0,0,T,29.79,null,1.75,null,BKN,OVC,null,null,2200,3500,null,null,#NAME?,null,null,null,null,null,null,27,KGEG 011016Z 00000KT 1 3/4SM -SN BR BKN022 OVC035 M03/M04 A2979 RMK AO2 TWR VIS 2 P0000 T10281044,null
GEG,2023-12-01 10:53,27,24,88.28,160,4,T,29.79,1011.2,2,null,BKN,OVC,null,null,900,1500,null,null,#NAME?,null,null,null,null,null,null,21.58,KGEG 011053Z 16004KT 2SM -SN BR BKN009 OVC015 M03/M04 A2979 RMK AO2 SLP112 P0000 T10281044,null
GEG,2023-12-01 11:53,27,24,88.28,200,8,0.01,29.78,1010.7,2,null,OVC,null,null,null,700,null,null,null,#NAME?,null,null,null,null,null,null,17.95,KGEG 011153Z 20008KT 2SM -SN BR OVC007 M03/M04 A2978 RMK AO2 SLP107 P0001 60004 70005 T10281044 11028 21028 58006,null
GEG,2023-12-01 12:53,26,23,88.23,190,5,0.01,29.77,1010.5,2,null,SCT,BKN,OVC,null,900,2000,2700,null,#NAME?,null,null,null,null,null,null,19.27,KGEG 011253Z 19005KT 2SM -SN BR SCT009 BKN020 OVC027 M03/M05 A2977 RMK AO2 SLP105 P0001 T10331050,null
GEG,2023-12-01 13:08,26,23,88.23,180,6,0.01,29.77,null,2,null,BKN,OVC,null,null,1100,2700,null,null,#NAME?,null,null,null,null,null,null,18.3,KGEG 011308Z 18006KT 2SM -SN BR BKN011 OVC027 M03/M05 A2977 RMK AO2 P0001 T10331050,null
GEG,2023-12-01 13:46,26,22,84.59,190,7,0.01,29.76,null,3,null,OVC,null,null,null,1000,null,null,null,#NAME?,null,null,null,null,null,null,17.47,KGEG 011346Z 19007KT 3SM -SN BR OVC010 M03/M06 A2976 RMK AO2 TWR VIS 4 P0001 T10331056,null
GEG,2023-12-01 13:53,26,22,84.59,190,6,0.01,29.76,1010.3,5,null,OVC,null,null,null,900,null,null,null,BR,null,null,null,null,null,null,18.3,KGEG 011353Z 19006KT 5SM BR OVC009 M03/M06 A2976 RMK AO2 SNE49 SLP103 P0001 T10331056,null
GEG,2023-12-01 14:53,25,22,88.18,210,6,0,29.76,1010.1,6,null,OVC,null,null,null,800,null,null,null,BR,null,null,null,null,null,null,17.1,KGEG 011453Z 21006KT 6SM BR OVC008 M04/M06 A2976 RMK AO2 SLP101 60002 T10391056 57007,null
GEG,2023-12-01 15:53,25,22,88.18,160,4,0,29.75,1009.9,6,null,OVC,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,19.25,KGEG 011553Z 16004KT 6SM BR OVC006 M04/M06 A2975 RMK AO2 SLP099 T10391056,null
GEG,2023-12-01 16:23,25,22,88.18,120,4,0,29.75,null,4,null,FEW,OVC,null,null,200,6000,null,null,BR,null,null,null,null,null,null,19.25,KGEG 011623Z 12004KT 4SM BR FEW002 OVC060 M04/M06 A2975 RMK AO2 T10391056,null
GEG,2023-12-01 16:53,25,22,88.18,140,4,0,29.74,1009.6,5,null,FEW,OVC,null,null,200,6000,null,null,BR,null,null,null,null,null,null,19.25,KGEG 011653Z 14004KT 5SM BR FEW002 OVC060 M04/M06 A2974 RMK AO2 SLP096 T10391056,null
GEG,2023-12-01 17:03,25,23,91.97,120,4,0,29.74,null,5,null,FEW,OVC,null,null,200,600,null,null,BR,null,null,null,null,null,null,19.25,KGEG 011703Z 12004KT 5SM BR FEW002 OVC006 M04/M05 A2974 RMK AO2 T10391050,null
GEG,2023-12-01 17:53,26,23,88.23,100,4,T,29.72,1008.7,5,null,FEW,OVC,null,null,200,600,null,null,#NAME?,null,null,null,null,null,null,20.41,KGEG 011753Z 10004KT 5SM -SN BR FEW002 OVC006 M03/M05 A2972 RMK AO2 SNB52 SLP087 P0000 60002 T10331050 11028 21039 58012,null
GEG,2023-12-01 17:56,27,23,84.66,100,4,T,29.71,null,2.5,null,FEW,OVC,null,null,200,800,null,null,#NAME?,null,null,null,null,null,null,21.58,KGEG 011756Z 10004KT 2 1/2SM -SN BR FEW002 OVC008 M03/M05 A2971 RMK AO2 SFC VIS 5 P0000 T10281050,null
GEG,2023-12-01 18:49,26.6,24.8,92.8,80,4,0.01,29.7,null,0.5,null,VV ,null,null,null,1400,null,null,null,SN FZFG,null,null,null,null,null,null,21.11,KGEG 011849Z 08004KT 1/2SM R21/3500V4000FT SN FZFG VV014 M03/M04 A2970 RMK AO2 TWR VIS 3/4 P0001,null
GEG,2023-12-01 18:53,27,25,92.05,80,4,0.01,29.7,1008,0.5,null,VV ,null,null,null,1400,null,null,null,SN FZFG,null,null,null,null,null,null,21.58,KGEG 011853Z 08004KT 1/2SM R21/3500V4500FT SN FZFG VV014 M03/M04 A2970 RMK AO2 TWR VIS 3/4 SLP080 P0001 T10281039,null
