station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
GRR,2023-12-01 0:53,47,39,73.57,270,8,0,29.82,1010.4,10,16,OVC,null,null,null,3200,null,null,null,null,null,null,null,null,null,null,42.59,KGRR 010053Z 27008G16KT 10SM OVC032 08/04 A2982 RMK A02 SLP104 T00830039,null
GRR,2023-12-01 1:40,46,40,79.44,270,7,0,29.83,null,10,null,BKN,OVC,null,null,2500,3200,null,null,null,null,null,null,null,null,null,41.84,KGRR 010140Z 27007KT 10SM BKN025 OVC032 08/04 A2983 RMK A02 T00780044,null
GRR,2023-12-01 1:53,46,39,76.4,290,7,0,29.84,1010.9,10,null,BKN,OVC,null,null,2100,2600,null,null,null,null,null,null,null,null,null,41.84,KGRR 010153Z 29007KT 10SM BKN021 OVC026 08/04 A2984 RMK A02 SLP109 T00780039,null
GRR,2023-12-01 2:53,44,38,79.27,320,7,0,29.87,1012,10,null,OVC,null,null,null,2900,null,null,null,null,null,null,null,null,null,null,39.41,KGRR 010253Z 32007KT 10SM OVC029 07/03 A2987 RMK A02 SLP120 T00670033 53022,null
GRR,2023-12-01 3:27,42,36,79.11,350,8,0,29.87,null,10,null,SCT,OVC,null,null,2900,3500,null,null,null,null,null,null,null,null,null,36.43,KGRR 010327Z 35008KT 10SM SCT029 OVC035 06/02 A2987 RMK A02 T00560022,null
GRR,2023-12-01 3:53,42,35,76.03,340,6,0,29.89,1012.7,10,null,SCT,OVC,null,null,2900,3600,null,null,null,null,null,null,null,null,null,37.57,KGRR 010353Z 34006KT 10SM SCT029 OVC036 06/02 A2989 RMK A02 CIG 029 RWY 8R SLP127 T00560017,null
GRR,2023-12-01 4:53,41,34,75.94,20,4,0,29.9,1012.9,10,null,OVC,null,null,null,3000,null,null,null,null,null,null,null,null,null,null,37.93,KGRR 010453Z 02004KT 10SM OVC030 05/01 A2990 RMK A02 SLP129 LAST T00500011 401061033,null
GRR,2023-12-01 10:53,38,32,78.77,80,10,T,29.91,1013.2,9,null,OVC,null,null,null,2600,null,null,null,#NAME?,null,null,null,null,null,null,30.49,KGRR 011053Z 08010KT 9SM -RA OVC026 03/00 A2991 RMK AO2 RAB46 SLP132 P0000 T00330000,null
GRR,2023-12-01 11:53,37,32,81.93,90,11,T,29.93,1013.9,8,null,OVC,null,null,null,2200,null,null,null,#NAME?,null,null,null,null,null,null,28.79,KGRR 011153Z 09011KT 8SM -RA OVC022 03/00 A2993 RMK AO2 SLP139 P0000 60000 T00280000 10044 20028 55001,null
GRR,2023-12-01 12:53,36,34,92.35,60,10,0.05,29.92,1013.8,4,null,BKN,OVC,null,null,1200,2300,null,null,#NAME?,null,null,null,null,null,null,27.98,KGRR 011253Z 06010KT 4SM -RA BR BKN012 OVC023 02/01 A2992 RMK AO2 SLP138 P0005 T00220011,null
GRR,2023-12-01 13:04,36,34,92.35,60,12,0.01,29.92,null,4,null,FEW,SCT,OVC,null,800,1300,2300,null,#NAME?,null,null,null,null,null,null,27.09,KGRR 011304Z 06012KT 4SM -RA BR FEW008 SCT013 OVC023 02/01 A2992 RMK AO2 P0001 T00220011,null
GRR,2023-12-01 13:18,36,34,92.35,70,12,0.01,29.92,null,4,null,BKN,OVC,null,null,800,2400,null,null,#NAME?,null,null,null,null,null,null,27.09,KGRR 011318Z 07012KT 4SM -RA BR BKN008 OVC024 02/01 A2992 RMK AO2 P0001 T00220011,null
