station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
GSO,2023-12-01 0:54,46,26,45.29,200,7,0,30.18,1022.4,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,41.84,KGSO 010054Z 20007KT 10SM FEW250 08/M03 A3018 RMK AO2 SLP224 T00781033,null
GSO,2023-12-01 1:54,44,27,50.93,200,6,0,30.17,1022,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,39.98,KGSO 010154Z 20006KT 10SM FEW250 07/M03 A3017 RMK AO2 SLP220 T00671028,null
GSO,2023-12-01 2:54,42,27,54.99,190,5,0,30.17,1021.8,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,38.27,KGSO 010254Z 19005KT 10SM SCT250 06/M03 A3017 RMK AO2 SLP218 T00561028 50003,null
GSO,2023-12-01 3:54,40,27,59.41,210,5,0,30.17,1021.8,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,35.9,KGSO 010354Z 21005KT 10SM SCT250 04/M03 A3017 RMK AO2 SLP218 T00441028,null
GSO,2023-12-01 4:54,42,28,57.3,190,3,0,30.18,1021.8,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,40.12,KGSO 010454Z 19003KT 10SM SCT250 06/M02 A3018 RMK AO2 SLP218 T00561022 401721022,null
GSO,2023-12-01 5:54,39,28,64.37,220,3,0,30.18,1022.1,10,null,FEW,BKN,null,null,10000,25000,null,null,null,null,null,null,null,null,null,36.69,KGSO 010554Z 22003KT 10SM FEW100 BKN250 04/M02 A3018 RMK AO2 SLP221 T00391022 10094 20033 53004,null
GSO,2023-12-01 6:54,37,28,69.63,210,5,0,30.18,1022,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,32.33,KGSO 010654Z 21005KT 10SM FEW250 03/M02 A3018 RMK AO2 SLP220 T00281022,null
GSO,2023-12-01 7:54,37,28,69.63,240,3,0,30.18,1022.1,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,34.4,KGSO 010754Z 24003KT 10SM FEW250 03/M02 A3018 RMK AO2 SLP221 T00281022,null
GSO,2023-12-01 8:54,36,28,72.43,230,5,0,30.18,1022.1,10,null,OVC,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,31.15,KGSO 010854Z 23005KT 10SM OVC250 02/M02 A3018 RMK AO2 SLP221 T00221022 56001,null
GSO,2023-12-01 9:54,39,29,67.06,230,4,0,30.17,1021.9,10,null,BKN,OVC,null,null,20000,25000,null,null,null,null,null,null,null,null,null,35.59,KGSO 010954Z 23004KT 10SM BKN200 OVC250 04/M02 A3017 RMK AO2 SLP219 T00391017,null
GSO,2023-12-01 10:54,36,29,75.46,210,4,0,30.16,1021.4,10,null,SCT,OVC,null,null,20000,25000,null,null,null,null,null,null,null,null,null,32.09,KGSO 011054Z 21004KT 10SM SCT200 OVC250 02/M02 A3016 RMK AO2 SLP214 T00221017,null
GSO,2023-12-01 11:54,39,31,72.75,0,0,0,30.17,1021.9,10,null,SCT,BKN,OVC,null,3400,4700,13000,null,null,null,null,null,null,null,null,39,KGSO 011154Z 00000KT 10SM SCT034 BKN047 OVC130 04/M01 A3017 RMK AO2 SLP219 T00391006 10039 20011 55003,null
GSO,2023-12-01 12:54,40,33,75.84,0,0,0,30.16,1021.5,10,null,SCT,BKN,BKN,null,2700,12000,25000,null,null,null,null,null,null,null,null,40,KGSO 011254Z 00000KT 10SM SCT027 BKN120 BKN250 04/01 A3016 RMK AO2 SLP215 T00440006,null
