station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LIH,2023-12-01 0:13,73,70,90.32,170,7,T,29.95,null,10,null,FEW,BKN,OVC,null,800,5500,7000,null,#NAME?,null,null,null,null,null,null,73,LIH 010013Z 17007KT 10SM -RA FEW008 BKN055 OVC070 23/21 A2995 RMK AO2 P0000 T02280211,null
LIH,2023-12-01 0:44,73,69,87.29,80,11,T,29.95,null,10,null,SCT,BKN,OVC,null,1400,3400,7000,null,null,null,null,null,null,null,null,73,LIH 010044Z 08011KT 10SM SCT014 BKN034 OVC070 23/21 A2995 RMK AO2 RAE17 P0000 T02280206,null
LIH,2023-12-01 0:51,71.6,69.8,94.06,80,11,0,29.95,null,10,null,FEW,BKN,OVC,null,700,1400,7500,null,null,null,null,null,null,null,null,71.6,LIH 010051Z 08011KT 10SM FEW007 BKN014 OVC075 22/21 A2995,null
LIH,2023-12-01 0:53,72,69,90.28,80,11,T,29.95,1013.9,10,null,FEW,BKN,OVC,null,900,1600,6500,null,null,null,null,null,null,null,null,72,LIH 010053Z 08011KT 10SM FEW009 BKN016 OVC065 22/21 A2995 RMK AO2 RAE17 SLP139 P0000 T02220206,null
OGG,2023-12-01 0:54,77,70,79.02,0,0,T,29.94,1014.4,10,null,BKN,FEW,BKN,null,11000,10000,11000,null,#NAME?,null,null,null,null,null,null,77,OGG 010054Z COR 00000KT 10SM BKN110 25/21 A2994 RMK AO2 RAB11 SLP144 P0000 T02500211,null
LIH,2023-12-01 1:05,71,69,93.4,70,16,0.03,29.94,null,2,null,SCT,BKN,OVC,null,700,1400,1900,null,#NAME?,null,null,null,null,null,null,71,LIH 010105Z 07016KT 2SM +RA BR SCT007 BKN014 OVC019 22/21 A2994 RMK AO2 VIS 1 1/2V5 RAB0056 P0003 T02170206,null
LIH,2023-12-01 1:21,72,69,90.28,80,19,0.09,29.94,null,7,24,FEW,OVC,null,null,700,1900,null,null,#NAME?,null,null,null,null,null,null,72,LIH 010121Z 08019G24KT 7SM -RA FEW007 OVC019 22/21 A2994 RMK AO2 RAB0056 P0009 T02220206,null
LIH,2023-12-01 1:53,72,69,90.28,70,13,0.09,29.94,1013.6,10,null,SCT,BKN,OVC,null,2100,3000,4600,null,#NAME?,null,null,null,null,null,null,72,LIH 010153Z 07013KT 10SM -RA SCT021 BKN030 OVC046 22/21 A2994 RMK AO2 RAB0056 SLP136 P0009 T02220206,null
OGG,2023-12-01 1:54,77,70,79.02,240,6,T,29.92,1013.6,10,null,BKN,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,77,OGG 010154Z 24006KT 10SM BKN110 25/21 A2992 RMK AO2 RAE41 SLP136 P0000 T02500211,null
LIH,2023-12-01 2:29,72,70,93.43,80,9,T,29.96,null,1.75,null,SCT,BKN,OVC,null,2100,3000,4600,null,#NAME?,null,null,null,null,null,null,72,LIH 010229Z 08009KT 1 3/4SM +RA BR SCT021 BKN030 OVC046 22/21 A2996 RMK AO2 RAE0155B25 P0000 T02220211,null
LIH,2023-12-01 2:43,72,70,93.43,50,9,0.17,29.93,null,4,null,SCT,BKN,OVC,null,1500,3500,7000,null,#NAME?,null,null,null,null,null,null,72,LIH 010243Z 05009KT 4SM -RA BR SCT015 BKN035 OVC070 22/21 A2993 RMK AO2 RAE0155B25 P0017 T02220211,null
LIH,2023-12-01 2:53,72,71,96.66,40,7,0.19,29.93,1013.2,5,null,FEW,BKN,OVC,null,1600,3300,7500,null,#NAME?,null,null,null,null,null,null,72,LIH 010253Z 04007KT 5SM -RA BR FEW016 BKN033 OVC075 22/22 A2993 RMK AO2 RAE0155B25 SLP132 P0019 60028 T02220217 58006,null
OGG,2023-12-01 2:54,77,66,68.85,340,5,T,29.9,1012.9,10,null,SCT,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,77,OGG 010254Z 34005KT 10SM SCT110 25/19 A2990 RMK AO2 RAB05E30 SLP129 P0000 60000 T02500189 58021,null
LIH,2023-12-01 3:18,72,71,96.66,310,8,T,29.94,null,10,null,BKN,BKN,OVC,null,2000,3300,4900,null,null,null,null,null,null,null,null,72,LIH 010318Z 31008KT 10SM BKN020 BKN033 OVC049 22/22 A2994 RMK AO2 RAE0257 P0000 T02220217,null
LIH,2023-12-01 3:53,74,71,90.36,140,6,T,29.96,1014.2,10,null,FEW,BKN,OVC,null,1600,2500,8000,null,null,null,null,null,null,null,null,74,LIH 010353Z 14006KT 10SM FEW016 BKN025 OVC080 23/22 A2996 RMK AO2 RAE0257 SLP142 P0000 T02330217,null
OGG,2023-12-01 3:54,81,62,52.48,340,11,0,29.89,1012.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,82.04,OGG 010354Z 34011KT 10SM CLR 27/17 A2989 RMK AO2 SLP125 T02720167,null
LIH,2023-12-01 4:04,76,71,84.52,150,13,0,29.96,null,10,null,SCT,OVC,null,null,2500,8000,null,null,null,null,null,null,null,null,null,76,LIH 010404Z 15013KT 10SM SCT025 OVC080 24/22 A2996 RMK AO2 T02440217,null
LIH,2023-12-01 4:53,76,70,81.69,160,12,0,29.96,1014.3,10,null,FEW,SCT,SCT,null,2200,2700,12000,null,null,null,null,null,null,null,null,76,LIH 010453Z 16012KT 10SM FEW022 SCT027 SCT120 24/21 A2996 RMK AO2 SLP143 T02440211,null
OGG,2023-12-01 4:54,76,67,73.69,10,4,0,29.92,1013.6,10,null,BKN,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,76,OGG 010454Z 01004KT 10SM BKN110 24/19 A2992 RMK AO2 SLP136 T02440194,null
LIH,2023-12-01 5:53,76,70,81.69,180,8,0,29.97,1014.7,10,null,FEW,SCT,null,null,2400,11000,null,null,null,null,null,null,null,null,null,76,LIH 010553Z 18008KT 10SM FEW024 SCT110 24/21 A2997 RMK AO2 SLP147 60028 T02440211 10244 20217 51015,null
OGG,2023-12-01 5:54,77,65,66.5,220,6,0,29.95,1014.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,77,OGG 010554Z 22006KT 10SM CLR 25/18 A2995 RMK AO2 SLP146 60000 T02500183 10272 20239 53018,null
LIH,2023-12-01 6:53,76,70,81.69,190,9,0,29.97,1014.6,10,null,FEW,null,null,null,12000,null,null,null,null,null,null,null,null,null,null,76,LIH 010653Z 19009KT 10SM FEW120 24/21 A2997 RMK AO2 SLP146 T02440211,null
OGG,2023-12-01 6:54,75,68,78.86,130,6,0,29.96,1015,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,75,OGG 010654Z 13006KT 10SM CLR 24/20 A2996 RMK AO2 SLP150 T02390200,null
LIH,2023-12-01 7:53,75,71,87.38,220,7,0.02,30,1015.6,8,18,FEW,FEW,BKN,null,2400,3800,11000,null,#NAME?,null,null,null,null,null,null,75,LIH 010753Z 22007G18KT 8SM -RA FEW024 FEW038 BKN110 24/22 A3000 RMK AO2 RAB35 SLP156 LAST P0002 T02390217,null
OGG,2023-12-01 7:54,73,66,78.7,0,0,0,29.96,1014.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,73,OGG 010754Z 00000KT 10SM CLR 23/19 A2996 RMK AO2 SLP149 T02280189,null
LIH,2023-12-01 8:53,74,71,90.36,200,8,0.01,29.98,1014.8,10,null,FEW,SCT,null,null,2000,3600,null,null,null,null,null,null,null,null,null,74,LIH 010853Z AUTO 20008KT 10SM FEW020 SCT036 23/22 A2998 RMK AO2 RAE13 SLP148 P0001 60003 T02330217 50001 TSNO,null
OGG,2023-12-01 8:54,71,67,87.19,0,0,0,29.95,1014.8,10,null,BKN,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,71,OGG 010854Z 00000KT 10SM BKN110 22/19 A2995 RMK AO2 SLP148 T02170194 50002,null
LIH,2023-12-01 9:30,76,71,84.52,190,13,T,29.97,null,10,19,SCT,BKN,BKN,null,1700,2400,3300,null,#NAME?,null,null,null,null,null,null,76,LIH 010930Z AUTO 19013G19KT 10SM -RA SCT017 BKN024 BKN033 24/22 A2997 RMK AO2 RAB30 P0000 T02440217 TSNO,null
LIH,2023-12-01 9:40,75,70,84.46,180,10,T,29.97,null,10,null,SCT,SCT,BKN,null,1700,2600,3400,null,#NAME?,null,null,null,null,null,null,75,LIH 010940Z AUTO 18010KT 10SM -RA SCT017 SCT026 BKN034 24/21 A2997 RMK AO2 RAB30 P0000 T02390211 TSNO,null
LIH,2023-12-01 9:53,76,71,84.52,170,11,T,29.96,1014.2,10,null,FEW,SCT,BKN,null,1200,1600,2300,null,null,null,null,null,null,null,null,76,LIH 010953Z AUTO 17011KT 10SM FEW012 SCT016 BKN023 24/22 A2996 RMK AO2 RAB30E42 SLP142 P0000 T02440217 402560211 TSNO,null
OGG,2023-12-01 9:54,71,67,87.19,240,4,0,29.95,1014.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,71,OGG 010954Z AUTO 24004KT 10SM CLR 22/19 A2995 RMK AO2 SLP147 T02170194 402720211 TSNO,null
LIH,2023-12-01 10:10,74,70,87.34,170,14,0,29.97,null,10,null,FEW,BKN,BKN,null,800,1800,2400,null,null,null,null,null,null,null,null,74,LIH 011010Z AUTO 17014KT 10SM FEW008 BKN018 BKN024 23/21 A2997 RMK AO2 T02330211 TSNO,null
LIH,2023-12-01 10:53,73.4,68,83.21,160,17,0,29.98,null,10,24,FEW,BKN,BKN,null,1400,2500,3500,null,null,null,null,null,null,null,null,73.4,LIH 011053Z AUTO 16017G24KT 10SM FEW014 BKN025 BKN035 23/20 A2998,null
OGG,2023-12-01 10:54,71,66,84.22,160,5,0,29.94,1014.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,71,OGG 011054Z AUTO 16005KT 10SM CLR 22/19 A2994 RMK AO2 SLP143 T02170189 TSNO,null
LIH,2023-12-01 11:01,73,67,81.48,170,21,0,29.98,null,10,27,FEW,SCT,OVC,null,1300,2900,3500,null,null,null,null,null,27,160,2023-12-01 11:01,73,LIH 011101Z AUTO 17021G27KT 10SM FEW013 SCT029 OVC035 23/19 A2998 RMK AO2 PK WND 16027/1101 T02280194 TSNO,null
LIH,2023-12-01 11:53,71,68,90.25,180,9,0.01,29.97,1014.7,10,null,BKN,BKN,BKN,null,1800,4100,11000,null,null,null,null,null,29,170,2023-12-01 11:11,71,LIH 011153Z AUTO 18009KT 10SM BKN018 BKN041 BKN110 22/20 A2997 RMK AO2 PK WND 17029/1111 RAB13E51 SLP147 P0001 60004 70037 T02170200 10250 20211 56002 TSNO,null
OGG,2023-12-01 11:54,69,66,90.17,90,4,0,29.93,1014.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,69,OGG 011154Z AUTO 09004KT 10SM CLR 21/19 A2993 RMK AO2 SLP141 70004 T02060189 10250 20206 58006 TSNO,null
LIH,2023-12-01 12:24,71,67,87.19,160,9,0.02,29.97,null,8,20,BKN,OVC,null,null,1400,2000,null,null,#NAME?,null,null,null,null,null,null,71,LIH 011224Z AUTO 16009G20KT 8SM -RA BKN014 OVC020 22/19 A2997 RMK AO2 RAB04 P0002 T02170194 TSNO,null
LIH,2023-12-01 12:45,72,68,87.24,170,11,0.02,29.96,null,10,17,BKN,OVC,null,null,1500,2200,null,null,null,null,null,null,null,null,null,72,LIH 011245Z AUTO 17011G17KT 10SM BKN015 OVC022 22/20 A2996 RMK AO2 RAB04E45 P0002 T02220200 TSNO,null
LIH,2023-12-01 12:53,72,68,87.24,170,13,0.02,29.96,1014.4,10,null,BKN,BKN,OVC,null,1400,1800,2200,null,null,null,null,null,null,null,null,72,LIH 011253Z AUTO 17013KT 10SM BKN014 BKN018 OVC022 22/20 A2996 RMK AO2 RAB04E45 SLP144 P0002 T02220200 TSNO,null
OGG,2023-12-01 12:54,69,65,87.08,0,0,0,29.91,1013.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,69,OGG 011254Z AUTO 00000KT 10SM CLR 21/18 A2991 RMK AO2 SLP134 T02060183 TSNO,null
LIH,2023-12-01 13:34,72,68,87.24,170,13,0,29.97,null,10,19,BKN,OVC,null,null,1500,2300,null,null,null,null,null,null,null,null,null,72,LIH 011334Z AUTO 17013G19KT 10SM BKN015 OVC023 22/20 A2997 RMK AO2 T02220200 TSNO,null
LIH,2023-12-01 13:53,72,68,87.24,180,11,0,29.97,1014.8,10,null,SCT,OVC,null,null,1300,2500,null,null,null,null,null,null,null,null,null,72,LIH 011353Z AUTO 18011KT 10SM SCT013 OVC025 22/20 A2997 RMK AO2 SLP148 T02220200 TSNO,null
OGG,2023-12-01 13:54,69,66,90.17,190,4,0,29.94,1014.2,10,null,BKN,null,null,null,9500,null,null,null,null,null,null,null,null,null,null,69,OGG 011354Z AUTO 19004KT 10SM BKN095 21/19 A2994 RMK AO2 SLP142 T02060189 TSNO,null
LIH,2023-12-01 14:10,72,69,90.28,170,9,T,29.97,null,7,null,BKN,BKN,OVC,null,1300,2100,2700,null,#NAME?,null,null,null,null,null,null,72,LIH 011410Z AUTO 17009KT 7SM -RA BKN013 BKN021 OVC027 22/21 A2997 RMK AO2 RAB06 P0000 T02220206 TSNO,null
LIH,2023-12-01 14:53,72,69,90.28,160,10,T,29.96,1014.3,9,null,BKN,OVC,null,null,1300,1900,null,null,#NAME?,null,null,null,null,null,null,72,LIH 011453Z AUTO 16010KT 9SM -RA BKN013 OVC019 22/21 A2996 RMK AO2 RAB06E29B45 SLP143 P0000 60002 T02220206 58004 TSNO,null
OGG,2023-12-01 14:54,71,66,84.22,0,0,0,29.95,1014.7,10,null,FEW,null,null,null,10000,null,null,null,null,null,null,null,null,null,null,71,OGG 011454Z AUTO 00000KT 10SM FEW100 22/19 A2995 RMK AO2 SLP147 T02170189 53006 TSNO,null
LIH,2023-12-01 15:09,72,69,90.28,170,10,T,29.96,null,10,null,SCT,BKN,OVC,null,1300,1800,2700,null,#NAME?,null,null,null,null,null,null,72,LIH 011509Z AUTO 17010KT 10SM -RA SCT013 BKN018 OVC027 22/21 A2996 RMK AO2 P0000 T02220206 TSNO,null
LIH,2023-12-01 15:38,73,69,87.29,170,8,T,29.96,null,10,null,BKN,OVC,null,null,1400,1900,null,null,null,null,null,null,null,null,null,73,LIH 011538Z AUTO 17008KT 10SM BKN014 OVC019 23/21 A2996 RMK AO2 RAE12 P0000 T02280206 TSNO,null
LIH,2023-12-01 15:53,73,69,87.29,170,7,T,29.97,1014.5,10,null,OVC,null,null,null,1400,null,null,null,null,null,null,null,null,null,null,73,LIH 011553Z AUTO 17007KT 10SM OVC014 23/21 A2997 RMK AO2 RAE12 SLP145 P0000 T02280206 TSNO,null
OGG,2023-12-01 15:54,71,66,84.22,80,5,0,29.97,1015.2,10,null,OVC,null,null,null,9500,null,null,null,null,null,null,null,null,null,null,71,OGG 011554Z 08005KT 10SM OVC095 22/19 A2997 RMK AO2 SLP152 T02170189,null
LIH,2023-12-01 16:53,72,68,87.24,160,6,0,29.98,1015,10,null,BKN,null,null,null,1700,null,null,null,null,null,null,null,null,null,null,72,LIH 011653Z 16006KT 10SM BKN017 22/20 A2998 RMK AO2 SLP150 T02220200,null
OGG,2023-12-01 16:54,72,67,84.28,null,3,0,29.99,1016,10,null,FEW,SCT,null,null,4000,9500,null,null,null,null,null,null,null,null,null,72,OGG 011654Z VRB03KT 10SM FEW040 SCT095 22/19 A2999 RMK AO2 SLP160 T02220194,null
LIH,2023-12-01 17:53,72,69,90.28,210,4,T,30.01,1015.9,4,null,OVC,null,null,null,1300,null,null,null,#NAME?,null,null,null,null,null,null,72,LIH 011753Z 21004KT 4SM -RA BR OVC013 22/21 A3001 RMK AO2 RAB36 SLP159 P0000 60002 T02220206 10228 20211 53017,null
OGG,2023-12-01 17:54,76,68,76.27,0,0,0,30,1016.2,10,null,FEW,null,null,null,3500,null,null,null,null,null,null,null,null,null,null,76,OGG 011754Z 00000KT 10SM FEW035 24/20 A3000 RMK AO2 SLP162 T02440200 10244 20200 51015,null
LIH,2023-12-01 18:46,73,69,87.29,170,10,T,30.04,null,10,null,OVC,null,null,null,1700,null,null,null,#NAME?,null,null,null,null,null,null,73,LIH 011846Z 17010KT 10SM -RA OVC017 23/21 A3004 RMK AO2 P0000 T02280206,null
LIH,2023-12-01 18:53,73,69,87.29,170,7,T,30.03,1016.7,10,null,FEW,SCT,BKN,null,800,1700,2200,null,null,null,null,null,null,null,null,73,LIH 011853Z 17007KT 10SM FEW008 SCT017 BKN022 23/21 A3003 RMK AO2 RAE47 SLP167 P0000 T02280206,null
OGG,2023-12-01 18:54,78,69,73.87,50,7,0,30.01,1016.8,10,null,FEW,SCT,null,null,3500,10000,null,null,null,null,null,null,null,null,null,78,OGG 011854Z 05007KT 10SM FEW035 SCT100 26/21 A3001 RMK AO2 SLP168 T02560206,null
LIH,2023-12-01 19:53,73,70,90.32,170,7,0.01,30.03,1016.6,10,null,OVC,null,null,null,1500,null,null,null,null,null,null,null,null,null,null,73,LIH 011953Z 17007KT 10SM OVC015 23/21 A3003 RMK AO2 RAB01E25 SLP166 P0001 T02280211,null
OGG,2023-12-01 19:54,79,71,76.53,40,15,0,30.01,1016.9,10,null,FEW,SCT,null,null,2500,5000,null,null,null,null,null,null,null,null,null,79,OGG 011954Z 04015KT 10SM FEW025 SCT050 26/22 A3001 RMK AO2 SLP169 T02610217,null
LIH,2023-12-01 20:53,74,70,87.34,220,5,T,30.02,1016.4,10,null,OVC,null,null,null,1500,null,null,null,null,null,null,null,null,null,null,74,LIH 012053Z 22005KT 10SM OVC015 23/21 A3002 RMK AO2 RAB1956E13 SLP164 P0000 60001 T02330211 50005,null
OGG,2023-12-01 20:54,81,71,71.68,40,17,0,30,1016.5,10,null,FEW,SCT,null,null,1500,5000,null,null,null,null,null,null,null,null,null,84.91,OGG 012054Z 04017KT 10SM FEW015 SCT050 27/22 A3000 RMK AO2 SLP165 T02720217 50003,null
LIH,2023-12-01 21:53,75,70,84.46,180,7,T,30.01,1015.8,10,null,FEW,OVC,null,null,800,11000,null,null,#NAME?,null,null,null,null,null,null,75,LIH 012153Z 18007KT 10SM -RA FEW008 OVC110 24/21 A3001 RMK AO2 RAB2059 SLP158 P0000 T02390211,null
OGG,2023-12-01 21:54,81,69,66.95,40,14,0,29.99,1016,10,null,FEW,SCT,SCT,null,1500,3000,5000,null,null,null,null,null,null,null,null,84.12,OGG 012154Z 04014KT 10SM FEW015 SCT030 SCT050 27/21 A2999 RMK AO2 SLP160 T02720206,null
LIH,2023-12-01 22:53,75,69,81.62,170,3,T,29.98,1015,10,null,FEW,BKN,OVC,null,8000,9000,11000,null,#NAME?,null,null,null,null,null,null,75,LIH 012253Z 17003KT 10SM -RA FEW080 BKN090 OVC110 24/21 A2998 RMK AO2 RAE16B36 SLP150 P0000 T02390206,null
OGG,2023-12-01 22:54,81,71,71.68,10,16,0,29.98,1015.6,10,null,FEW,SCT,SCT,null,1500,3000,5000,null,null,null,null,null,null,null,null,84.91,OGG 012254Z 01016KT 10SM FEW015 SCT030 SCT050 27/22 A2998 RMK AO2 SLP156 T02720217,null
LIH,2023-12-01 23:53,75,69,81.62,150,5,0.01,29.94,1013.6,10,null,FEW,SCT,BKN,null,6000,8000,11000,null,null,null,null,null,null,null,null,75,LIH 012353Z 15005KT 10SM FEW060 SCT080 BKN110 24/21 A2994 RMK AO2 RAE52 SLP136 P0001 60002 T02390206 10239 20222 58028,null
OGG,2023-12-01 23:54,80,71,74.06,40,11,0,29.95,1014.6,10,null,FEW,SCT,BKN,null,2000,3500,11000,null,null,null,null,null,null,null,null,83.46,OGG 012354Z 04011KT 10SM FEW020 SCT035 BKN110 27/22 A2995 RMK AO2 SLP146 T02670217 10289 20239 58019,null
LIH,2023-12-02 0:53,75,69,81.62,160,7,0,29.94,1013.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,75,LIH 020053Z 16007KT 10SM CLR 24/21 A2994 RMK AO2 SLP136 T02390206,null
OGG,2023-12-02 0:54,80,71,74.06,20,10,0,29.94,1014.2,10,null,FEW,SCT,BKN,null,2000,3500,11000,null,null,null,null,null,null,null,null,83.46,OGG 020054Z 02010KT 10SM FEW020 SCT035 BKN110 27/22 A2994 RMK AO2 SLP142 T02670217,null
