station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
IAD,2023-12-01 0:52,49,28,43.93,170,8,0,30.12,1020.2,10,null,FEW,null,null,null,12000,null,null,null,null,null,null,null,null,null,null,45.05,KIAD 010052Z 17008KT 10SM FEW120 09/M02 A3012 RMK AO2 SLP202 T00941022 $,null
IAD,2023-12-01 1:52,46,28,49.18,180,4,0,30.13,1020.4,10,null,FEW,null,null,null,14000,null,null,null,null,null,null,null,null,null,null,43.77,KIAD 010152Z 18004KT 10SM FEW140 08/M02 A3013 RMK AO2 SLP204 T00781022 $,null
IAD,2023-12-01 2:52,44,28,53.07,190,6,0,30.13,1020.3,10,null,FEW,null,null,null,14000,null,null,null,null,null,null,null,null,null,null,39.98,KIAD 010252Z 19006KT 10SM FEW140 07/M02 A3013 RMK AO2 SLP203 T00671022 53002 $,null
IAD,2023-12-01 3:52,44,28,53.07,180,5,0,30.14,1020.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40.65,KIAD 010352Z 18005KT 10SM CLR 07/M02 A3014 RMK AO2 SLP206 T00671022 $,null
IAD,2023-12-01 4:52,44,28,53.07,170,5,0,30.13,1020.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40.65,KIAD 010452Z 17005KT 10SM CLR 07/M02 A3013 RMK AO2 SLP204 T00671022 401561044 $,null
IAD,2023-12-01 5:52,42,28,57.3,190,5,0,30.13,1020.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38.27,KIAD 010552Z 19005KT 10SM CLR 06/M02 A3013 RMK AO2 SLP202 T00561022 10100 20056 58001 $,null
IAD,2023-12-01 6:52,41,28,59.55,190,7,0,30.14,1020.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35.75,KIAD 010652Z 19007KT 10SM CLR 05/M02 A3014 RMK AO2 SLP205 T00501022 $,null
IAD,2023-12-01 7:52,39,27,61.78,160,4,0,30.14,1020.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35.59,KIAD 010752Z 16004KT 10SM CLR 04/M03 A3014 RMK AO2 SLP206 T00391028 $,null
IAD,2023-12-01 8:52,39,28,64.37,140,3,0,30.13,1020.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36.69,KIAD 010852Z 14003KT 10SM CLR 04/M02 A3013 RMK AO2 SLP204 T00391022 50002 $,null
IAD,2023-12-01 9:52,35,27,72.32,0,0,0,30.14,1020.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35,KIAD 010952Z 00000KT 10SM CLR 02/M03 A3014 RMK AO2 SLP208 T00171028 $,null
IAD,2023-12-01 10:52,37,27,66.82,0,0,0,30.14,1020.6,10,null,BKN,null,null,null,24000,null,null,null,null,null,null,null,null,null,null,37,KIAD 011052Z 00000KT 10SM BKN240 03/M03 A3014 RMK AO2 SLP206 T00281028 $,null
IAD,2023-12-01 11:52,35,28,75.36,160,4,0,30.14,1020.9,10,null,FEW,BKN,BKN,null,15000,20000,25000,null,null,null,null,null,null,null,null,30.92,KIAD 011152Z 16004KT 10SM FEW150 BKN200 BKN250 02/M02 A3014 RMK AO2 SLP209 T00171022 10056 20006 51004 $,null
IAD,2023-12-01 12:52,41,30,64.63,0,0,0,30.14,1020.8,10,null,FEW,BKN,BKN,null,12000,18000,23000,null,null,null,null,null,null,null,null,41,KIAD 011252Z 00000KT 10SM FEW120 BKN180 BKN230 05/M01 A3014 RMK AO2 SLP208 VIRGA S-SW T00501011 $,null
IAD,2023-12-01 13:52,43,31,62.31,0,0,0,30.17,1021.7,10,null,FEW,BKN,BKN,null,14000,19000,24000,null,null,null,null,null,null,null,null,43,KIAD 011352Z 00000KT 10SM FEW140 BKN190 BKN240 06/M01 A3017 RMK AO2 SLP217 T00611006 $,null
IAD,2023-12-01 14:52,44,30,57.59,170,4,0,30.15,1021.2,10,null,BKN,BKN,OVC,null,14000,20000,25000,null,null,null,null,null,null,null,null,41.43,KIAD 011452Z 17004KT 10SM BKN140 BKN200 OVC250 07/M01 A3015 RMK AO2 SLP212 T00671011 50003 $,null
IAD,2023-12-01 15:52,46,30,53.37,180,4,0,30.12,1020.2,10,null,FEW,BKN,BKN,OVC,12000,14000,20000,23000,null,null,null,null,null,null,null,43.77,KIAD 011552Z 18004KT 10SM FEW120 BKN140 BKN200 OVC230 08/M01 A3012 RMK AO2 SLP202 VIRGA NW T00781011 $,null
IAD,2023-12-01 16:52,47,31,53.52,220,5,T,30.13,1020.5,10,null,SCT,BKN,OVC,null,7500,11000,19000,null,#NAME?,null,null,null,null,null,null,44.21,KIAD 011652Z 22005KT 10SM -RA SCT075 BKN110 OVC190 08/M01 A3013 RMK AO2 RAB52 SLP205 P0000 T00831006 $,null
IAD,2023-12-01 17:52,49,33,53.82,160,5,T,30.08,1018.7,10,null,FEW,SCT,BKN,OVC,3000,6000,12000,20000,null,null,null,null,null,null,null,46.58,KIAD 011752Z 16005KT 10SM FEW030 SCT060 BKN120 OVC200 09/01 A3008 RMK AO2 RAE33 SLP187 P0000 60000 T00940006 10094 20017 58024 $,null
IAD,2023-12-01 18:52,50,34,53.97,160,4,0,30.05,1017.8,10,null,BKN,OVC,null,null,3200,12000,null,null,null,null,null,null,null,null,null,50,KIAD 011852Z 16004KT 10SM BKN032 OVC120 10/01 A3005 RMK AO2 SLP178 T01000011 $,null
IAD,2023-12-01 19:13,49,37,63.1,200,5,T,30.07,null,3,null,OVC,null,null,null,2600,null,null,null,#NAME?,null,null,null,null,null,null,46.58,KIAD 011913Z 20005KT 3SM R01R/4500VP6000FT -RA OVC026 09/03 A3007 RMK AO2 RAB1856 P0000 T00940028 $,null
IAD,2023-12-01 19:52,46,41,82.58,0,0,0.05,30.06,1017.9,4,null,BKN,OVC,null,null,2600,4600,null,null,#NAME?,null,null,null,null,null,null,46,KIAD 011952Z 00000KT 4SM -RA BKN026 OVC046 08/05 A3006 RMK AO2 RAB1856 SLP179 P0005 T00780050 $,null
IAD,2023-12-01 20:52,47,43,85.89,170,5,0.04,30.06,1017.9,4,null,BKN,BKN,OVC,null,2600,7000,8500,null,#NAME?,null,null,null,null,null,null,44.21,KIAD 012052Z 17005KT 4SM -RA BR BKN026 BKN070 OVC085 08/06 A3006 RMK AO2 SLP179 P0004 60009 T00830061 55008 $,null
IAD,2023-12-01 21:52,46,42,85.83,180,9,0.02,30.06,1017.8,3,null,FEW,OVC,null,null,900,2500,null,null,#NAME?,null,null,null,null,null,null,40.92,KIAD 012152Z 18009KT 3SM -RA BR FEW009 OVC025 08/06 A3006 RMK AO2 SLP178 P0002 T00780056 $,null
IAD,2023-12-01 22:07,46,42,85.83,180,10,T,30.06,null,10,null,BKN,OVC,null,null,900,2400,null,null,null,null,null,null,null,null,null,40.52,KIAD 012207Z 18010KT 10SM BKN009 OVC024 08/06 A3006 RMK AO2 RAE2153 P0000 T00780056 $,null
IAD,2023-12-01 22:29,46,42,85.83,170,10,T,30.04,null,10,null,SCT,BKN,BKN,null,900,2400,7000,null,null,null,null,null,null,null,null,40.52,KIAD 012229Z 17010KT 10SM SCT009 BKN024 BKN070 08/06 A3004 RMK AO2 RAE2153 P0000 T00780056 $,null
IAD,2023-12-01 22:52,46,42,85.83,190,10,T,30.04,1017.5,10,18,FEW,SCT,BKN,null,900,2400,7000,null,null,null,null,null,null,null,null,40.52,KIAD 012252Z 19010G18KT 10SM FEW009 SCT024 BKN070 08/06 A3004 RMK AO2 RAE2153 SLP175 P0000 T00780056 $,null
IAD,2023-12-01 23:17,46,43,89.2,180,8,0,30.05,null,10,15,BKN,OVC,null,null,2200,6000,null,null,null,null,null,null,null,null,null,41.36,KIAD 012317Z 18008G15KT 10SM BKN022 OVC060 08/06 A3005 RMK AO2 T00780061 $,null
IAD,2023-12-01 23:52,46,43,89.2,180,6,0,30.04,1017.5,9,null,BKN,OVC,null,null,2200,3800,null,null,null,null,null,null,null,null,null,42.39,KIAD 012352Z 18006KT 9SM BKN022 OVC038 08/06 A3004 RMK AO2 SLP175 60011 T00780061 10100 20078 56005 $,null
IAD,2023-12-02 0:52,47,43,85.89,190,6,0,30.05,1017.5,8,null,BKN,OVC,null,null,2200,5500,null,null,null,null,null,null,null,null,null,43.6,KIAD 020052Z 19006KT 8SM BKN022 OVC055 08/06 A3005 RMK AO2 SLP175 T00830061 $,null
IAD,2023-12-02 1:08,47,43,85.89,190,6,T,30.04,null,3,null,OVC,null,null,null,2000,null,null,null,#NAME?,null,null,null,null,null,null,43.6,KIAD 020108Z 19006KT 3SM -RA BR OVC020 08/06 A3004 RMK AO2 RAB0059 P0000 T00830061 $,null
IAD,2023-12-02 1:50,46.4,44.6,93.4,200,8,0.01,30.03,null,5,null,SCT,OVC,null,null,2500,5500,null,null,BR,null,null,null,null,null,null,41.85,KIAD 020150Z 20008KT 5SM BR SCT025 OVC055 08/07 A3003 RMK AO2 RAB0059E21 P0001 $,null
IAD,2023-12-02 1:52,47,44,89.24,200,7,0.01,30.03,1016.9,5,null,SCT,OVC,null,null,2500,5500,null,null,BR,null,null,null,null,null,null,43.06,KIAD 020152Z 20007KT 5SM BR SCT025 OVC055 08/07 A3003 RMK AO2 RAB0059E21 SLP169 P0001 T00830067 $,null
IAD,2023-12-02 2:52,47,44,89.24,190,6,0,30.03,1016.9,7,null,SCT,OVC,null,null,1800,9000,null,null,null,null,null,null,null,null,null,43.6,KIAD 020252Z 19006KT 7SM SCT018 OVC090 08/07 A3003 RMK AO2 SLP169 60001 T00830067 58005 $,null
IAD,2023-12-02 3:10,47,44,89.24,190,7,0,30.02,null,7,null,FEW,FEW,OVC,null,700,1800,9500,null,null,null,null,null,null,null,null,43.06,KIAD 020310Z 19007KT 7SM FEW007 FEW018 OVC095 08/07 A3002 RMK AO2 T00830067 $,null
IAD,2023-12-02 3:52,48,44,85.95,200,5,0,30.01,1016.4,7,null,OVC,null,null,null,9000,null,null,null,null,null,null,null,null,null,null,45.4,KIAD 020352Z 20005KT 7SM OVC090 09/07 A3001 RMK AO2 SLP164 T00890067 $,null
IAD,2023-12-02 4:52,48,45,89.29,190,5,0,30,1015.9,7,null,OVC,null,null,null,9000,null,null,null,null,null,null,null,null,null,null,45.4,KIAD 020452Z 19005KT 7SM OVC090 09/07 A3000 RMK AO2 SLP159 T00890072 401000006 $,null
IAD,2023-12-02 5:52,48,45,89.29,200,5,0,30,1015.8,6,null,OVC,null,null,null,8500,null,null,null,BR,null,null,null,null,null,null,45.4,KIAD 020552Z 20005KT 6SM BR OVC085 09/07 A3000 RMK AO2 SLP158 60001 T00890072 10089 20078 56010 $,null
IAD,2023-12-02 6:52,47,44,89.24,0,0,0,29.99,1015.5,6,null,BKN,null,null,null,8500,null,null,null,BR,null,null,null,null,null,null,47,KIAD 020652Z 00000KT 6SM BR BKN085 08/07 A2999 RMK AO2 SLP155 T00830067 $,null
IAD,2023-12-02 7:52,46,44,92.68,160,3,0,30,1015.9,5,null,SCT,null,null,null,8000,null,null,null,BR,null,null,null,null,null,null,44.69,KIAD 020752Z 16003KT 5SM BR SCT080 08/07 A3000 RMK AO2 SLP159 T00780067 $,null
IAD,2023-12-02 8:50,48.2,44.6,87.28,190,5,0,30,null,0.5,null,BKN,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,45.63,KIAD 020850Z 19005KT 1/2SM R01R/P6000FT BR BKN004 09/07 A3000 RMK AO2 SFC VIS 2 $,null
IAD,2023-12-02 8:51,48,45,89.29,190,5,0,30,1015.9,0.5,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,45.4,KIAD 020851Z 19005KT 1/2SM R01R/P6000FT BR OVC004 09/07 A3000 RMK AO2 SFC VIS 2 SLP159 T00890072 55000 $,null
IAD,2023-12-02 9:52,47,45,92.71,210,5,0,30,1015.9,0.25,null,OVC,null,null,null,200,null,null,null,FG,null,null,null,null,null,null,44.21,KIAD 020952Z 21005KT 1/4SM R01R/5500VP6000FT FG OVC002 08/07 A3000 RMK AO2 SLP159 T00830072 $,null
IAD,2023-12-02 10:52,47,45,92.71,200,3,0,30.01,1016.4,0.25,null,VV ,null,null,null,200,null,null,null,FG,null,null,null,null,null,null,45.84,KIAD 021052Z 20003KT 1/4SM R01R/2200V2600FT FG VV002 08/07 A3001 RMK AO2 SLP164 T00830072 $,null
IAD,2023-12-02 11:52,47,45,92.71,0,0,0,30.02,1016.6,0.25,null,VV ,null,null,null,200,null,null,null,FG,null,null,null,null,null,null,47,KIAD 021152Z 00000KT 1/4SM R01R/2000V2200FT FG VV002 08/07 A3002 RMK AO2 SLP166 70012 T00830072 10089 20067 53006 $,null
IAD,2023-12-02 12:52,46,44,92.68,0,0,0,30.03,1017,0.25,null,VV ,null,null,null,200,null,null,null,FG,null,null,null,null,null,null,46,KIAD 021252Z 00000KT M1/4SM R01R/1400V1600FT FG VV002 08/07 A3003 RMK AO2 SLP170 T00780067 $,null
IAD,2023-12-02 13:24,47,45,92.71,0,0,0,30.04,null,0.25,null,VV ,null,null,null,200,null,null,null,FG,null,null,null,null,null,null,47,KIAD 021324Z 00000KT 1/4SM R01R/1600FT FG VV002 08/07 A3004 RMK AO2 T00830072 $,null
IAD,2023-12-02 13:52,47,46,96.29,0,0,0,30.06,1017.9,0.25,null,VV ,null,null,null,200,null,null,null,FG,null,null,null,null,null,null,47,KIAD 021352Z 00000KT 1/4SM R01R/1600V2200FT FG VV002 08/08 A3006 RMK AO2 SLP179 T00830078 $,null
IAD,2023-12-02 14:52,48,46,92.74,190,3,0,30.06,1018,0.5,null,VV ,null,null,null,300,null,null,null,FG,null,null,null,null,null,null,46.98,KIAD 021452Z 19003KT 1/2SM R01R/1600V2000FT FG VV003 09/08 A3006 RMK AO2 SLP180 T00890078 51015 $,null
IAD,2023-12-02 15:16,49,47,92.77,0,0,0,30.07,null,1.5,null,OVC,null,null,null,200,null,null,null,BR,null,null,null,null,null,null,49,KIAD 021516Z 00000KT 1 1/2SM R01R/2400VP6000FT BR OVC002 09/08 A3007 RMK AO2 T00940083 $,null
IAD,2023-12-02 15:26,49,47,92.77,0,0,0,30.06,null,2.5,null,OVC,null,null,null,200,null,null,null,BR,null,null,null,null,null,null,49,KIAD 021526Z 00000KT 2 1/2SM R01R/5000VP6000FT BR OVC002 09/08 A3006 RMK AO2 T00940083 $,null
IAD,2023-12-02 15:52,51,47,86.12,0,0,0,30.06,1018,2.5,null,OVC,null,null,null,200,null,null,null,BR,null,null,null,null,null,null,51,KIAD 021552Z 00000KT 2 1/2SM BR OVC002 11/08 A3006 RMK AO2 SLP180 T01060083 $,null
IAD,2023-12-02 15:59,51,48,89.42,0,0,0,30.06,null,3,null,OVC,null,null,null,200,null,null,null,BR,null,null,null,null,null,null,51,KIAD 021559Z 00000KT 3SM BR OVC002 11/09 A3006 RMK AO2 T01060089 $,null
IAD,2023-12-02 16:52,53,48,83.06,0,0,0,30.04,1017.1,7,null,OVC,null,null,null,500,null,null,null,null,null,null,null,null,null,null,53,KIAD 021652Z 00000KT 7SM OVC005 12/09 A3004 RMK AO2 SLP171 T01170089 $,null
IAD,2023-12-02 17:52,56,50,80.23,0,0,0,30.02,1016.6,8,null,SCT,BKN,BKN,null,800,5000,23000,null,null,null,null,null,null,null,null,56,KIAD 021752Z 00000KT 8SM SCT008 BKN050 BKN230 13/10 A3002 RMK AO2 SLP166 T01330100 10133 20078 58014 $,null
IAD,2023-12-02 18:52,58,51,77.47,0,0,0,30,1015.9,10,null,FEW,SCT,BKN,null,6000,12000,24000,null,null,null,null,null,null,null,null,58,KIAD 021852Z 00000KT 10SM FEW060 SCT120 BKN240 14/11 A3000 RMK AO2 SLP159 T01440106 $,null
IAD,2023-12-02 19:52,60,52,74.83,180,4,0,29.98,1015.3,10,null,SCT,BKN,BKN,null,9000,14000,25000,null,null,null,null,null,null,null,null,60,KIAD 021952Z 18004KT 10SM SCT090 BKN140 BKN250 16/11 A2998 RMK AO2 SLP153 T01560111 $,null
IAD,2023-12-02 20:52,58,51,77.47,200,4,0,30,1015.9,10,null,FEW,BKN,BKN,BKN,4000,9000,14000,25000,null,null,null,null,null,null,null,58,KIAD 022052Z 20004KT 10SM FEW040 BKN090 BKN140 BKN250 14/11 A3000 RMK AO2 SLP159 T01440106 55006 $,null
