station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ORD,2023-12-01 0:51,49,40,70.96,260,5,0,29.83,1010.5,10,null,OVC,null,null,null,3800,null,null,null,null,null,null,null,null,null,null,46.58,KORD 010051Z 26005KT 10SM OVC038 09/04 A2983 RMK AO2 SLP105 T00940044,null
ORD,2023-12-01 1:51,48,40,73.67,260,4,T,29.85,1011.2,10,null,FEW,OVC,null,null,2800,3200,null,null,null,null,null,null,null,null,null,46.1,KORD 010151Z 26004KT 10SM FEW028 OVC032 09/04 A2985 RMK AO2 RAB34E43 SLP112 P0000 T00890044,null
ORD,2023-12-01 2:07,47,40,76.49,280,4,0,29.85,null,10,null,BKN,OVC,null,null,2700,3100,null,null,null,null,null,null,null,null,null,44.94,KORD 010207Z 28004KT 10SM BKN027 OVC031 08/04 A2985 RMK AO2 T00830044,null
ORD,2023-12-01 2:51,46,40,79.44,300,3,0,29.86,1011.3,10,null,SCT,OVC,null,null,2200,2800,null,null,null,null,null,null,null,null,null,44.69,KORD 010251Z 30003KT 10SM SCT022 OVC028 08/04 A2986 RMK AO2 SLP113 60000 T00780044 51014,null
ORD,2023-12-01 3:24,46,40,79.44,0,0,0,29.86,null,10,null,BKN,OVC,null,null,2200,2800,null,null,null,null,null,null,null,null,null,46,KORD 010324Z 00000KT 10SM BKN022 OVC028 08/04 A2986 RMK AO2 T00780044,null
ORD,2023-12-01 3:51,46,39,76.4,0,0,0,29.87,1011.8,10,null,BKN,OVC,null,null,2100,2500,null,null,null,null,null,null,null,null,null,46,KORD 010351Z 00000KT 10SM BKN021 OVC025 08/04 A2987 RMK AO2 SLP118 T00780039,null
ORD,2023-12-01 4:51,45,38,76.31,10,5,0,29.87,1011.6,10,null,OVC,null,null,null,2400,null,null,null,null,null,null,null,null,null,null,41.83,KORD 010451Z 01005KT 10SM OVC024 07/03 A2987 RMK AO2 SLP116 T00720033,null
ORD,2023-12-01 5:51,44,37,76.22,20,6,0,29.88,1012,10,null,OVC,null,null,null,2200,null,null,null,null,null,null,null,null,null,null,39.98,KORD 010551Z 02006KT 10SM OVC022 07/03 A2988 RMK AO2 SLP120 60000 T00670028 10094 20067 401060000 52008,null
ORD,2023-12-01 6:51,42,37,82.3,30,7,0,29.88,1012.1,5,null,OVC,null,null,null,1800,null,null,null,HZ,null,null,null,null,null,null,36.97,KORD 010651Z 03007KT 5SM HZ OVC018 06/03 A2988 RMK AO2 SLP121 T00560028,null
ORD,2023-12-01 7:51,43,37,79.19,40,6,0,29.88,1012,9,null,OVC,null,null,null,1900,null,null,null,null,null,null,null,null,null,null,38.78,KORD 010751Z 04006KT 9SM OVC019 06/03 A2988 RMK AO2 SLP120 T00610028,null
ORD,2023-12-01 8:51,42,37,82.3,30,7,0,29.86,1011.3,9,null,OVC,null,null,null,1600,null,null,null,null,null,null,null,null,null,null,36.97,KORD 010851Z 03007KT 9SM OVC016 06/03 A2986 RMK AO2 SLP113 T00560028 58008,null
ORD,2023-12-01 8:59,43,38,82.37,60,9,0,29.85,null,9,null,OVC,null,null,null,1400,null,null,null,null,null,null,null,null,null,null,37.19,KORD 010859Z 06009KT 9SM OVC014 06/03 A2985 RMK AO2 T00610033,null
ORD,2023-12-01 9:51,43,39,85.66,50,7,0,29.83,1010.6,8,null,OVC,null,null,null,1400,null,null,null,null,null,null,null,null,null,null,38.19,KORD 010951Z 05007KT 8SM OVC014 06/04 A2983 RMK AO2 SLP106 T00610039,null
ORD,2023-12-01 10:29,43,40,89.06,60,10,T,29.84,null,4,null,OVC,null,null,null,1100,null,null,null,#NAME?,null,null,null,null,null,null,36.76,KORD 011029Z 06010KT 4SM -RA BR OVC011 06/04 A2984 RMK AO2 RAB14 P0000 T00610044,null
ORD,2023-12-01 10:32,43,40,89.06,70,9,0.01,29.84,null,2,null,OVC,null,null,null,900,null,null,null,RA BR,null,null,null,null,null,null,37.19,KORD 011032Z 07009KT 2SM RA BR OVC009 06/04 A2984 RMK AO2 RAB14 P0001 T00610044,null
ORD,2023-12-01 10:51,42,41,96.21,70,6,0.05,29.83,1010.5,2,null,OVC,null,null,null,500,null,null,null,RA BR,null,null,null,null,null,null,37.57,KORD 011051Z 07006KT 2SM RA BR OVC005 06/05 A2983 RMK AO2 RAB14 SLP105 P0005 T00560050,null
