station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ILM,2023-12-01 0:53,45,39,79.36,0,0,0,30.25,1024.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45,KILM 010053Z 00000KT 10SM CLR 07/04 A3025 RMK AO2 SLP241 T00720039,null
ILM,2023-12-01 1:53,44,38,79.27,0,0,0,30.24,1023.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,KILM 010153Z 00000KT 10SM CLR 07/03 A3024 RMK AO2 SLP238 T00670033,null
ILM,2023-12-01 2:53,42,37,82.3,0,0,0,30.24,1023.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42,KILM 010253Z 00000KT 10SM CLR 06/03 A3024 RMK AO2 SLP239 T00560028 58001,null
ILM,2023-12-01 3:53,41,37,85.54,0,0,0,30.24,1023.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41,KILM 010353Z AUTO 00000KT 10SM CLR 05/03 A3024 RMK AO2 SLP238 T00500028,null
ILM,2023-12-01 4:53,40,36,85.48,0,0,0,30.24,1023.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40,KILM 010453Z AUTO 00000KT 10SM CLR 04/02 A3024 RMK AO2 SLP239 T00440022 401611017,null
ILM,2023-12-01 5:53,41,37,85.54,0,0,0,30.23,1023.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41,KILM 010553Z AUTO 00000KT 10SM CLR 05/03 A3023 RMK AO2 SLP235 T00500028 10089 20039 58003,null
ILM,2023-12-01 6:53,41,38,88.97,0,0,0,30.23,1023.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41,KILM 010653Z AUTO 00000KT 10SM CLR 05/03 A3023 RMK AO2 SLP235 T00500033,null
ILM,2023-12-01 7:53,41,37,85.54,0,0,0,30.22,1023.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41,KILM 010753Z AUTO 00000KT 10SM CLR 05/03 A3022 RMK AO2 SLP232 T00500028,null
ILM,2023-12-01 8:53,40,37,88.92,0,0,0,30.21,1022.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40,KILM 010853Z AUTO 00000KT 10SM CLR 04/03 A3021 RMK AO2 SLP229 T00440028 58006,null
ILM,2023-12-01 9:53,40,36,85.48,0,0,0,30.21,1022.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40,KILM 010953Z AUTO 00000KT 10SM CLR 04/02 A3021 RMK AO2 SLP229 T00440022,null
ILM,2023-12-01 10:53,41,37,85.54,0,0,0,30.21,1023.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41,KILM 011053Z 00000KT 10SM CLR 05/03 A3021 RMK AO2 SLP231 T00500028,null
ILM,2023-12-01 11:53,42,38,85.6,0,0,0,30.22,1023.1,10,null,FEW,null,null,null,4700,null,null,null,null,null,null,null,null,null,null,42,KILM 011153Z 00000KT 10SM FEW047 06/03 A3022 RMK AO2 SLP231 T00560033 10056 20033 53002,null
ILM,2023-12-01 12:53,46,42,85.83,0,0,0,30.21,1022.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46,KILM 011253Z 00000KT 10SM CLR 08/06 A3021 RMK AO2 SLP229 T00780056,null
ILM,2023-12-01 13:53,53,50,89.51,0,0,0,30.21,1023.1,10,null,FEW,SCT,null,null,6000,7000,null,null,null,null,null,null,null,null,null,53,KILM 011353Z 00000KT 10SM FEW060 SCT070 12/10 A3021 RMK AO2 SLP231 T01170100,null
ILM,2023-12-01 14:53,60,56,86.61,100,6,T,30.22,1023.2,10,null,SCT,BKN,OVC,null,4900,6500,8000,null,#NAME?,null,null,null,null,null,null,60,KILM 011453Z 10006KT 10SM -RA SCT049 BKN065 OVC080 16/13 A3022 RMK AO2 RAB47 SLP232 P0000 60000 T01560133 53000,null
ILM,2023-12-01 15:53,67,58,72.82,130,5,T,30.2,1022.7,10,null,SCT,SCT,null,null,4700,6000,null,null,null,null,null,null,null,null,null,67,KILM 011553Z 13005KT 10SM SCT047 SCT060 19/14 A3020 RMK AO2 RAE1456 SLP227 P0000 T01940144,null
ILM,2023-12-01 16:53,70,58,65.69,140,5,0,30.19,1022.3,10,null,SCT,BKN,BKN,null,4700,6000,8000,null,null,null,null,null,null,null,null,70,KILM 011653Z 14005KT 10SM SCT047 BKN060 BKN080 21/14 A3019 RMK AO2 SLP223 T02110144,null
ILM,2023-12-01 17:53,72,59,63.61,170,7,0,30.16,1021.3,10,null,FEW,OVC,null,null,4600,12000,null,null,null,null,null,null,null,null,null,72,KILM 011753Z 17007KT 10SM FEW046 OVC120 22/15 A3016 RMK AO2 SLP213 60000 T02220150 10222 20056 58018,null
ILM,2023-12-01 18:53,72,59,63.61,180,5,0,30.14,1020.5,10,null,SCT,BKN,BKN,null,4700,6500,12000,null,null,null,null,null,null,null,null,72,KILM 011853Z 18005KT 10SM SCT047 BKN065 BKN120 22/15 A3014 RMK AO2 SLP205 T02220150,null
ILM,2023-12-01 19:53,72,60,65.92,170,7,0,30.12,1019.7,10,null,BKN,BKN,null,null,5000,12000,null,null,null,null,null,null,null,null,null,72,KILM 011953Z 17007KT 10SM BKN050 BKN120 22/16 A3012 RMK AO2 SLP197 T02220156,null
ILM,2023-12-01 20:53,69,61,75.66,null,null,T,30.11,1019.7,10,null,BKN,OVC,null,null,4400,5500,null,null,#NAME?,null,null,null,null,null,null,69,KILM 012053Z 10SM -RA BKN044 OVC055 21/16 A3011 RMK AO2 RAB42 SLP197 P0000 60000 T02060161 56017,null
ILM,2023-12-01 21:30,70,61,73.11,180,10,T,30.1,null,10,17,FEW,SCT,BKN,null,3900,4900,11000,null,null,null,null,null,null,null,null,70,KILM 012130Z 18010G17KT 10SM FEW039 SCT049 BKN110 21/16 A3010 RMK AO2 RAE2057 P0000 T02110161,null
ILM,2023-12-01 21:53,69,61,75.66,160,7,T,30.1,1019.2,10,16,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,69,KILM 012153Z 16007G16KT 10SM CLR 21/16 A3010 RMK AO2 RAE2057 SLP192 P0000 T02060161,null
