station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
JFK,2023-12-01 0:51,46,35,65.26,200,15,0,30.15,1021,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,38.93,KJFK 010051Z 20015KT 10SM BKN250 08/02 A3015 RMK AO2 SLP210 T00780017,null
JFK,2023-12-01 1:51,46,34,62.71,220,11,0,30.15,1021,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,40.16,KJFK 010151Z 22011KT 10SM BKN250 08/01 A3015 RMK AO2 SLP210 T00780011,null
JFK,2023-12-01 2:51,45,34,65.13,220,9,0,30.15,1021,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,39.68,KJFK 010251Z 22009KT 10SM BKN250 07/01 A3015 RMK AO2 SLP210 T00720011 51003,null
JFK,2023-12-01 3:51,44,34,67.66,230,11,0,30.17,1021.6,10,null,BKN,null,null,null,23000,null,null,null,null,null,null,null,null,null,null,37.63,KJFK 010351Z 23011KT 10SM BKN230 07/01 A3017 RMK AO2 SLP216 T00670011,null
JFK,2023-12-01 4:51,42,33,70.19,220,8,0,30.18,1021.8,10,null,BKN,null,null,null,22000,null,null,null,null,null,null,null,null,null,null,36.43,KJFK 010451Z 22008KT 10SM BKN220 06/01 A3018 RMK AO2 SLP218 T00560006 400940000,null
JFK,2023-12-01 5:51,42,33,70.19,220,9,0,30.16,1021.3,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,35.95,KJFK 010551Z 22009KT 10SM FEW250 06/01 A3016 RMK AO2 SLP213 T00560006 10083 20056 50002,null
JFK,2023-12-01 6:51,41,33,72.96,230,8,0,30.18,1021.9,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,35.2,KJFK 010651Z 23008KT 10SM SCT250 05/01 A3018 RMK AO2 SLP219 T00500006,null
JFK,2023-12-01 7:51,39,33,78.86,230,6,0,30.17,1021.7,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,33.96,KJFK 010751Z 23006KT 10SM SCT250 04/01 A3017 RMK AO2 SLP217 T00390006,null
JFK,2023-12-01 8:51,38,33,82,230,6,0,30.17,1021.6,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,32.76,KJFK 010851Z 23006KT 10SM SCT250 03/01 A3017 RMK AO2 SLP216 T00330006 50003,null
JFK,2023-12-01 9:51,37,33,85.29,230,7,0,30.18,1021.8,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,30.87,KJFK 010951Z 23007KT 10SM FEW250 03/01 A3018 RMK AO2 SLP218 T00280006,null
