station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAS,2023-12-01 0:56,58,27,30.32,0,0,0,29.81,1008.9,10,null,FEW,SCT,BKN,null,10000,15000,25000,null,null,null,null,null,null,null,null,58,KLAS 010056Z 00000KT 10SM FEW100 SCT150 BKN250 14/M03 A2981 RMK AO2 SLP089 VIRGA ALQDS T01441028,null
LAS,2023-12-01 1:56,58,27,30.32,220,3,0,29.82,1009.5,10,null,SCT,BKN,BKN,null,11000,15000,25000,null,null,null,null,null,null,null,null,58,KLAS 010156Z 22003KT 10SM SCT110 BKN150 BKN250 14/M03 A2982 RMK AO2 SLP095 T01441028,null
LAS,2023-12-01 2:56,56,23,27.59,200,4,0,29.83,1009.9,10,null,SCT,BKN,BKN,null,11000,15000,25000,null,null,null,null,null,null,null,null,56,KLAS 010256Z 20004KT 10SM SCT110 BKN150 BKN250 13/M05 A2983 RMK AO2 SLP099 T01331050 53010,null
LAS,2023-12-01 3:56,54,23,29.67,190,4,0,29.84,1010.1,10,null,FEW,SCT,null,null,15000,25000,null,null,null,null,null,null,null,null,null,54,KLAS 010356Z 19004KT 10SM FEW150 SCT250 12/M05 A2984 RMK AO2 SLP101 T01221050,null
LAS,2023-12-01 4:56,51,23,33.13,220,4,0,29.86,1010.5,10,null,FEW,SCT,null,null,15000,25000,null,null,null,null,null,null,null,null,null,51,KLAS 010456Z 22004KT 10SM FEW150 SCT250 11/M05 A2986 RMK AO2 SLP105 T01061050,null
LAS,2023-12-01 5:56,50,24,35.86,180,4,0,29.86,1010.5,10,null,FEW,FEW,null,null,15000,25000,null,null,null,null,null,null,null,null,null,50,KLAS 010556Z 18004KT 10SM FEW150 FEW250 10/M04 A2986 RMK AO2 SLP105 T01001044 10150 20100 51008,null
LAS,2023-12-01 6:56,49,27,42.16,190,4,0,29.86,1010.5,10,null,FEW,FEW,null,null,15000,25000,null,null,null,null,null,null,null,null,null,47.27,KLAS 010656Z 19004KT 10SM FEW150 FEW250 09/M03 A2986 RMK AO2 SLP105 T00941028,null
LAS,2023-12-01 7:56,48,24,38.64,0,0,0,29.86,1010.5,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,48,KLAS 010756Z 00000KT 10SM FEW250 09/M04 A2986 RMK AO2 SLP105 T00891044 401720061,null
LAS,2023-12-01 8:56,46,24,41.67,260,5,0,29.87,1010.7,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,43.02,KLAS 010856Z 26005KT 10SM FEW250 08/M04 A2987 RMK AO2 SLP107 T00781044 53002,null
LAS,2023-12-01 9:56,46,24,41.67,210,5,0,29.87,1010.8,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,43.02,KLAS 010956Z 21005KT 10SM FEW250 08/M04 A2987 RMK AO2 SLP108 T00781044,null
