station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2023-12-01 0:53,60,53,77.64,260,11,0,29.9,1012.4,10,null,FEW,FEW,null,null,1900,6000,null,null,null,null,null,null,null,null,null,60,KLAX 010053Z 26011KT 10SM FEW019 FEW060 16/12 A2990 RMK AO2 SLP124 T01560117,null
LAX,2023-12-01 1:53,60,56,86.61,260,10,0,29.91,1012.6,10,null,SCT,null,null,null,1600,null,null,null,null,null,null,null,null,null,null,60,KLAX 010153Z 26010KT 10SM SCT016 16/13 A2991 RMK AO2 SLP126 T01560133,null
LAX,2023-12-01 2:53,60,55,83.53,260,9,0,29.91,1012.8,10,null,FEW,SCT,null,null,1600,6000,null,null,null,null,null,null,null,null,null,60,KLAX 010253Z 26009KT 10SM FEW016 SCT060 16/13 A2991 RMK AO2 SLP128 T01560128 53003,null
LAX,2023-12-01 3:53,60,55,83.53,320,4,0,29.92,1013,10,null,FEW,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,60,KLAX 010353Z 32004KT 10SM FEW060 16/13 A2992 RMK AO2 SLP130 T01560128,null
LAX,2023-12-01 4:53,59,55,86.56,20,5,0,29.94,1013.6,10,null,FEW,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,59,KLAX 010453Z 02005KT 10SM FEW060 15/13 A2994 RMK AO2 SLP136 T01500128,null
LAX,2023-12-01 5:53,57,54,89.68,50,5,0,29.94,1013.7,10,null,FEW,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,57,KLAX 010553Z 05005KT 10SM FEW060 14/12 A2994 RMK AO2 SLP137 T01390122 10161 20133 51008,null
LAX,2023-12-01 6:53,60,47,62.11,0,0,0,29.94,1013.7,10,null,FEW,FEW,null,null,1200,6000,null,null,null,null,null,null,null,null,null,60,KLAX 010653Z 00000KT 10SM FEW012 FEW060 16/08 A2994 RMK AO2 SLP137 T01560083,null
LAX,2023-12-01 7:53,57,46,66.59,null,3,0,29.96,1014.3,10,null,FEW,FEW,null,null,1200,6000,null,null,null,null,null,null,null,null,null,57,KLAX 010753Z VRB03KT 10SM FEW012 FEW060 14/08 A2996 RMK AO2 SLP143 T01390078 401830106,null
LAX,2023-12-01 8:53,58,48,69.27,310,5,0,29.95,1014.1,10,null,FEW,FEW,null,null,1200,15000,null,null,null,null,null,null,null,null,null,58,KLAX 010853Z 31005KT 10SM FEW012 FEW150 14/09 A2995 RMK AO2 SLP141 T01440089 50005,null
LAX,2023-12-01 9:53,56,45,66.48,340,5,0,29.95,1014.1,10,null,FEW,FEW,null,null,1200,15000,null,null,null,null,null,null,null,null,null,56,KLAX 010953Z 34005KT 10SM FEW012 FEW150 13/07 A2995 RMK AO2 SLP141 T01330072,null
