station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MSP,2023-12-01 0:53,34,22,61.09,310,4,0,29.93,1014.5,10,null,SCT,null,null,null,4400,null,null,null,null,null,null,null,null,null,null,29.76,KMSP 010053Z 31004KT 10SM SCT044 01/M06 A2993 RMK AO2 SLP145 T00111056,null
MSP,2023-12-01 1:53,32,21,63.45,320,4,0,29.94,1014.8,10,null,FEW,null,null,null,4400,null,null,null,null,null,null,null,null,null,null,27.42,KMSP 010153Z 32004KT 10SM FEW044 00/M06 A2994 RMK AO2 SLP148 T00001061,null
MSP,2023-12-01 2:53,30,20,65.94,330,6,0,29.96,1015.5,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,23.12,KMSP 010253Z 33006KT 10SM FEW250 M01/M07 A2996 RMK AO2 SLP155 T10111067 53013,null
MSP,2023-12-01 3:53,29,19,65.81,360,5,0,29.98,1016,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22.83,KMSP 010353Z 36005KT 10SM CLR M02/M07 A2998 RMK AO2 SLP160 T10171072,null
MSP,2023-12-01 4:53,27,18,68.45,350,5,0,29.99,1016.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20.46,KMSP 010453Z 35005KT 10SM CLR M03/M08 A2999 RMK AO2 SLP166 T10281078,null
MSP,2023-12-01 5:53,27,18,68.45,360,3,0,30.01,1017.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22.97,KMSP 010553Z 36003KT 10SM CLR M03/M08 A3001 RMK AO2 SLP172 T10281078 10017 21033 400561044 52018,null
MSP,2023-12-01 6:53,25,18,74.36,10,5,0,30.01,1017,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18.08,KMSP 010653Z 01005KT 10SM CLR M04/M08 A3001 RMK AO2 SLP170 T10391078,null
MSP,2023-12-01 7:53,24,18,77.53,10,5,0,30,1016.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16.89,KMSP 010753Z 01005KT 10SM CLR M04/M08 A3000 RMK AO2 SLP168 T10441078,null
MSP,2023-12-01 8:53,24,18,77.53,10,3,0,30.01,1017.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19.54,KMSP 010853Z 01003KT 10SM CLR M04/M08 A3001 RMK AO2 SLP171 T10441078 55001,null
MSP,2023-12-01 9:53,20,16,84.19,350,7,0,30,1017,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10.15,KMSP 010953Z 35007KT 10SM CLR M07/M09 A3000 RMK AO2 SLP170 T10671089,null
MSP,2023-12-01 10:53,22,17,80.77,20,3,0,29.99,1016.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17.26,KMSP 011053Z 02003KT 10SM CLR M06/M08 A2999 RMK AO2 SLP168 T10561083,null
MSP,2023-12-01 11:53,23,16,74.15,40,4,0,30,1016.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16.91,KMSP 011153Z 04004KT 10SM CLR M05/M09 A3000 RMK AO2 SLP169 T10501089 11028 21072 55004,null
MSP,2023-12-01 12:53,22,16,77.34,30,4,0,30,1017.2,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,15.74,KMSP 011253Z 03004KT 10SM FEW250 M06/M09 A3000 RMK AO2 SLP172 T10561089,null
MSP,2023-12-01 13:53,24,16,71.11,40,3,0,30.02,1017.7,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,19.54,KMSP 011353Z 04003KT 10SM SCT250 M04/M09 A3002 RMK AO2 SLP177 T10441089,null
MSP,2023-12-01 14:53,25,16,68.2,20,4,0,30.03,1017.9,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,19.25,KMSP 011453Z 02004KT 10SM SCT250 M04/M09 A3003 RMK AO2 SLP179 T10391089 51010,null
