station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MSN,2023-12-01 0:53,29,26,88.38,0,0,0,29.85,1011.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29,KMSN 010053Z 00000KT 10SM CLR M02/M03 A2985 RMK AO2 SLP117 T10171033,null
MSN,2023-12-01 1:53,28,25,88.33,0,0,0,29.87,1012.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28,KMSN 010153Z 00000KT 10SM CLR M02/M04 A2987 RMK AO2 SLP124 T10221039,null
MSN,2023-12-01 2:53,26,23,88.23,0,0,0,29.88,1012.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26,KMSN 010253Z 00000KT 10SM CLR M03/M05 A2988 RMK AO2 SLP128 T10331050 51017,null
MSN,2023-12-01 3:53,27,23,84.66,350,4,0,29.89,1013.2,9,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21.58,KMSN 010353Z 35004KT 9SM CLR M03/M05 A2989 RMK AO2 SLP132 T10281050,null
MSN,2023-12-01 4:53,28,25,88.33,340,5,0,29.9,1013.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21.64,KMSN 010453Z 34005KT 10SM CLR M02/M04 A2990 RMK AO2 SLP135 LAST T10221039,null
MSN,2023-12-01 5:53,29,24,81.32,360,5,0,29.91,1013.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22.83,KMSN 010553Z AUTO 36005KT 10SM CLR M02/M04 A2991 RMK AO2 SLP138 T10171044 10000 21039 400831039 51011,null
MSN,2023-12-01 6:53,29,24,81.32,10,5,0,29.92,1014,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22.83,KMSN 010653Z AUTO 01005KT 10SM CLR M02/M04 A2992 RMK AO2 SLP140 T10171044,null
MSN,2023-12-01 7:53,26,22,84.59,20,7,0,29.91,1013.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17.47,KMSN 010753Z AUTO 02007KT 10SM CLR M03/M06 A2991 RMK AO2 SLP139 T10331056,null
MSN,2023-12-01 8:53,28,22,77.89,30,6,0,29.91,1013.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20.71,KMSN 010853Z AUTO 03006KT 10SM CLR M02/M06 A2991 RMK AO2 SLP137 T10221056 50000,null
MSN,2023-12-01 9:53,28,22,77.89,40,8,0,29.89,1013,10,null,FEW,BKN,null,null,2500,3300,null,null,null,null,null,null,null,null,null,19.19,KMSN 010953Z AUTO 04008KT 10SM FEW025 BKN033 M02/M06 A2989 RMK AO2 SLP130 T10221056,null
