station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MSO,2023-12-01 0:53,28,21,74.67,140,4,0,29.84,1014.5,7,null,OVC,null,null,null,5000,null,null,null,null,null,null,null,null,null,null,22.75,KMSO 010053Z 14004KT 7SM OVC050 M02/M06 A2984 RMK AO2 SLP145 T10221061,null
MSO,2023-12-01 1:53,28,21,74.67,100,4,T,29.84,1014.4,8,null,FEW,OVC,null,null,5500,11000,null,null,null,null,null,null,null,null,null,22.75,KMSO 010153Z 10004KT 8SM FEW055 OVC110 M02/M06 A2984 RMK AO2 SNB13E38 SLP144 P0000 T10221061,null
MSO,2023-12-01 2:53,27,19,71.45,110,3,0,29.83,1014.1,10,null,OVC,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,22.97,KMSO 010253Z 11003KT 10SM OVC110 M03/M07 A2983 RMK AO2 SLP141 60000 T10281072 58002,null
MSO,2023-12-01 3:53,26,18,71.33,90,3,0,29.82,1013.9,10,null,SCT,SCT,BKN,null,7000,9000,11000,null,null,null,null,null,null,null,null,21.83,KMSO 010353Z 09003KT 10SM SCT070 SCT090 BKN110 M03/M08 A2982 RMK AO2 SLP139 T10331078,null
MSO,2023-12-01 4:53,26,19,74.46,150,3,0,29.82,1013.7,10,null,OVC,null,null,null,9500,null,null,null,null,null,null,null,null,null,null,21.83,KMSO 010453Z 15003KT 10SM OVC095 M03/M07 A2982 RMK AO2 SLP137 T10331072,null
MSO,2023-12-01 5:53,25,20,81.01,0,0,0,29.82,1013.6,10,null,SCT,OVC,null,null,5500,10000,null,null,null,null,null,null,null,null,null,25,KMSO 010553Z 00000KT 10SM SCT055 OVC100 M04/M07 A2982 RMK AO2 SLP136 60000 T10391067 11017 21044 56004,null
MSO,2023-12-01 6:53,26,19,74.46,140,3,0,29.81,1013,9,null,OVC,null,null,null,10000,null,null,null,null,null,null,null,null,null,null,21.83,KMSO 010653Z AUTO 14003KT 9SM OVC100 M03/M07 A2981 RMK AO2 SLP130 T10331072 410171106,null
MSO,2023-12-01 7:53,26,19,74.46,0,0,0,29.8,1012.7,9,null,BKN,OVC,null,null,6000,7000,null,null,null,null,null,null,null,null,null,26,KMSO 010753Z AUTO 00000KT 9SM BKN060 OVC070 M03/M07 A2980 RMK AO2 SLP127 T10331072,null
MSO,2023-12-01 8:53,24,19,80.93,0,0,0,29.78,1012,8,null,FEW,BKN,OVC,null,4600,7000,9000,null,null,null,null,null,null,null,null,24,KMSO 010853Z AUTO 00000KT 8SM FEW046 BKN070 OVC090 M04/M07 A2978 RMK AO2 SLP120 T10441072 58011,null
MSO,2023-12-01 9:53,24,19,80.93,0,0,0,29.78,1011.8,8,null,BKN,OVC,null,null,6000,9500,null,null,null,null,null,null,null,null,null,24,KMSO 010953Z AUTO 00000KT 8SM BKN060 OVC095 M04/M07 A2978 RMK AO2 SLP118 T10441072,null
