station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SYR,2023-12-01 0:54,48,28,45.61,190,17,0,29.91,1012.7,10,24,FEW,OVC,null,null,16000,25000,null,null,null,null,null,null,null,null,null,41.04,KSYR 010054Z 19017G24KT 10SM FEW160 OVC250 09/M02 A2991 RMK AO2 SLP127 T00891022,null
ROC,2023-12-01 0:54,49,30,47.68,220,14,0,29.88,1012.4,10,21,SCT,null,null,null,25000,null,null,null,null,null,null,null,30,220,2023-12-01 0:10,43.08,KROC 010054Z 22014G21KT 10SM SCT250 09/M01 A2988 RMK AO2 PK WND 22030/0010 SLP124 T00941011,null
ROC,2023-12-01 1:54,48,31,51.54,220,12,0,29.89,1012.6,10,24,FEW,SCT,null,null,15000,25000,null,null,null,null,null,null,null,null,null,42.37,KROC 010154Z 22012G24KT 10SM FEW150 SCT250 09/M01 A2989 RMK AO2 SLP126 T00891006,null
SYR,2023-12-01 1:54,49,28,43.93,200,19,0,29.9,1012.6,10,27,BKN,null,null,null,24000,null,null,null,null,null,null,null,29,200,2023-12-01 1:24,41.92,KSYR 010154Z 20019G27KT 10SM BKN240 09/M02 A2990 RMK AO2 PK WND 20029/0124 SLP126 T00941022,null
SYR,2023-12-01 2:54,48,28,45.61,210,12,0,29.92,1013,10,null,BKN,null,null,null,22000,null,null,null,null,null,null,null,28,190,2023-12-01 2:08,42.37,KSYR 010254Z 21012KT 10SM BKN220 09/M02 A2992 RMK AO2 PK WND 19028/0208 SLP130 BKN V SCT T00891022 53000,null
ROC,2023-12-01 2:54,47,31,53.52,210,9,0,29.89,1012.9,10,null,SCT,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,42.17,KROC 010254Z 21009KT 10SM SCT200 08/M01 A2989 RMK AO2 SLP129 T00831006 51009,null
ROC,2023-12-01 3:54,46,32,57.87,200,9,0,29.9,1013.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40.92,KROC 010354Z 20009KT 10SM CLR 08/00 A2990 RMK AO2 SLP132 T00780000,null
SYR,2023-12-01 3:54,49,28,43.93,210,15,0,29.93,1013.4,10,24,SCT,null,null,null,22000,null,null,null,null,null,null,null,null,null,null,42.82,KSYR 010354Z 21015G24KT 10SM SCT220 09/M02 A2993 RMK AO2 SLP134 T00941022,null
ROC,2023-12-01 4:54,47,32,55.73,210,10,0,29.93,1013.9,10,null,BKN,null,null,null,7000,null,null,null,null,null,null,null,null,null,null,41.78,KROC 010454Z 21010KT 10SM BKN070 08/00 A2993 RMK AO2 SLP139 T00830000 401171006,null
SYR,2023-12-01 4:54,49,28,43.93,230,15,0,29.95,1014,10,null,FEW,SCT,null,null,8500,24000,null,null,null,null,null,null,27,220,2023-12-01 4:16,42.82,KSYR 010454Z 23015KT 10SM FEW085 SCT240 09/M02 A2995 RMK AO2 PK WND 22027/0416 SLP140 T00941022 401001028,null
