station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
PDX,2023-12-01 0:16,37,33,85.29,140,6,0.01,29.91,null,9,null,FEW,OVC,null,null,900,1400,null,null,#NAME?,null,null,null,null,null,null,31.55,KPDX 010016Z 14006KT 9SM -RA FEW009 OVC014 03/01 A2991 RMK AO2 P0001 T00280006,null
PDX,2023-12-01 0:53,37,33,85.29,120,10,0.02,29.91,1012.9,9,null,OVC,null,null,null,1200,null,null,null,#NAME?,null,null,null,null,null,null,29.24,KPDX 010053Z 12010KT 9SM -RA OVC012 03/01 A2991 RMK AO2 SLP129 P0002 T00280006,null
PDX,2023-12-01 1:53,37,33,85.29,130,8,T,29.92,1013.2,10,null,OVC,null,null,null,1100,null,null,null,#NAME?,null,null,null,null,null,null,30.27,KPDX 010153Z 13008KT 10SM -RA OVC011 03/01 A2992 RMK AO2 SLP132 P0000 T00280006,null
PDX,2023-12-01 2:53,38,33,82,130,7,T,29.93,1013.5,10,null,OVC,null,null,null,1100,null,null,null,null,null,null,null,null,null,null,32.09,KPDX 010253Z 13007KT 10SM OVC011 03/01 A2993 RMK AO2 RAE0155 SLP135 P0000 60002 T00330006 51013,null
PDX,2023-12-01 3:53,37,33,85.29,130,6,0,29.94,1013.9,10,null,OVC,null,null,null,1100,null,null,null,null,null,null,null,null,null,null,31.55,KPDX 010353Z 13006KT 10SM OVC011 03/01 A2994 RMK AO2 SLP139 T00280006,null
PDX,2023-12-01 4:46,38,33,82,120,9,0,29.93,null,10,null,OVC,null,null,null,900,null,null,null,null,null,null,null,null,null,null,30.97,KPDX 010446Z 12009KT 10SM OVC009 03/01 A2993 RMK AO2 T00330006,null
PDX,2023-12-01 4:53,38,33,82,120,9,0,29.93,1013.5,10,null,OVC,null,null,null,900,null,null,null,null,null,null,null,null,null,null,30.97,KPDX 010453Z 12009KT 10SM OVC009 03/01 A2993 RMK AO2 SLP135 T00330006,null
PDX,2023-12-01 5:23,38,33,82,130,7,0,29.93,null,10,null,OVC,null,null,null,1000,null,null,null,null,null,null,null,null,null,null,32.09,KPDX 010523Z 13007KT 10SM OVC010 03/01 A2993 RMK AO2 T00330006,null
PDX,2023-12-01 5:53,38,33,82,110,7,0,29.94,1013.6,10,null,OVC,null,null,null,1100,null,null,null,null,null,null,null,null,null,null,32.09,KPDX 010553Z 11007KT 10SM OVC011 03/01 A2994 RMK AO2 SLP136 60002 T00330006 10033 20028 51002,null
PDX,2023-12-01 6:53,38,33,82,140,7,0,29.93,1013.5,10,null,OVC,null,null,null,1200,null,null,null,null,null,null,null,null,null,null,32.09,KPDX 010653Z 14007KT 10SM OVC012 03/01 A2993 RMK AO2 SLP135 T00330006,null
PDX,2023-12-01 7:32,38,33,82,130,8,0.01,29.91,null,10,null,BKN,OVC,null,null,1500,5500,null,null,#NAME?,null,null,null,null,null,null,31.5,KPDX 010732Z 13008KT 10SM -RA BKN015 OVC055 03/01 A2991 RMK AO2 RAB07 P0001 T00330006,null
