station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
PIT,2023-12-01 0:51,49,29,45.77,190,5,0,30.01,1017.5,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,46.58,KPIT 010051Z 19005KT 10SM FEW250 09/M02 A3001 RMK AO2 SLP175 T00941017,null
MDT,2023-12-01 0:56,47,29,49.34,180,6,0,30.09,1019.4,10,null,BKN,null,null,null,22000,null,null,null,null,null,null,null,null,null,null,43.6,KMDT 010056Z 18006KT 10SM BKN220 08/M02 A3009 RMK AO2 SLP194 T00831017,null
PIT,2023-12-01 1:51,48,29,47.52,190,5,0,30.01,1017.6,10,null,BKN,BKN,null,null,7500,25000,null,null,null,null,null,null,null,null,null,45.4,KPIT 010151Z 19005KT 10SM BKN075 BKN250 09/M02 A3001 RMK AO2 SLP176 T00891017,null
MDT,2023-12-01 1:56,46,29,51.24,160,6,0,30.1,1019.7,10,null,BKN,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,42.39,KMDT 010156Z 16006KT 10SM BKN200 08/M02 A3010 RMK AO2 SLP197 T00781017,null
PIT,2023-12-01 2:51,47,28,47.36,190,4,0,30.02,1017.6,10,null,BKN,BKN,null,null,7500,25000,null,null,null,null,null,null,null,null,null,44.94,KPIT 010251Z 19004KT 10SM BKN075 BKN250 08/M02 A3002 RMK AO2 SLP176 T00831022 51008,null
MDT,2023-12-01 2:56,40,27,59.41,0,0,0,30.11,1020.1,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,40,KMDT 010256Z 00000KT 10SM FEW250 04/M03 A3011 RMK AO2 SLP201 T00441028 53010,null
PIT,2023-12-01 3:51,48,28,45.61,190,5,0,30.01,1017.5,10,null,OVC,null,null,null,7500,null,null,null,null,null,null,null,null,null,null,45.4,KPIT 010351Z 19005KT 10SM OVC075 09/M02 A3001 RMK AO2 SLP175 T00891022,null
MDT,2023-12-01 3:56,36,29,75.46,0,0,0,30.11,1019.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36,KMDT 010356Z 00000KT 10SM CLR 02/M02 A3011 RMK AO2 SLP198 T00221017,null
PIT,2023-12-01 4:51,50,28,42.33,210,8,0,30.02,1017.7,10,null,BKN,BKN,null,null,7500,25000,null,null,null,null,null,null,null,null,null,50,KPIT 010451Z 21008KT 10SM BKN075 BKN250 10/M02 A3002 RMK AO2 SLP177 T01001022 401281017,null
MDT,2023-12-01 4:56,37,29,72.54,0,0,0,30.12,1020.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37,KMDT 010456Z 00000KT 10SM CLR 03/M02 A3012 RMK AO2 SLP202 T00281017 401281056,null
PIT,2023-12-01 5:51,50,28,42.33,200,7,0,30.03,1017.7,10,null,BKN,OVC,null,null,5000,7500,null,null,null,null,null,null,null,null,null,50,KPIT 010551Z 20007KT 10SM BKN050 OVC075 10/M02 A3003 RMK AO2 SLP177 T01001022 10100 20083 53004,null
MDT,2023-12-01 5:56,31,25,78.16,110,3,0,30.11,1019.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27.55,KMDT 010556Z 11003KT 10SM CLR M01/M04 A3011 RMK AO2 SLP198 T10061039 10089 21006 58003,null
PIT,2023-12-01 6:51,51,28,40.78,200,7,0,30.03,1017.7,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,51,KPIT 010651Z 20007KT 10SM OVC060 11/M02 A3003 RMK AO2 SLP177 T01061022,null
