station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
PHL,2023-12-01 0:54,45,34,65.13,190,8,0,30.16,1021.3,10,null,BKN,null,null,null,24000,null,null,null,null,null,null,null,null,null,null,40.13,KPHL 010054Z 19008KT 10SM BKN240 07/01 A3016 RMK AO2 SLP213 T00720011,null
PHL,2023-12-01 1:54,44,33,65.01,200,6,0,30.15,1021,10,null,BKN,null,null,null,24000,null,null,null,null,null,null,null,null,null,null,39.98,KPHL 010154Z 20006KT 10SM BKN240 07/01 A3015 RMK AO2 SLP210 T00670006,null
PHL,2023-12-01 2:54,44,31,59.97,210,5,0,30.17,1021.6,10,null,FEW,null,null,null,23000,null,null,null,null,null,null,null,null,null,null,40.65,KPHL 010254Z 21005KT 10SM FEW230 07/M01 A3017 RMK AO2 SLP216 T00671006 53006,null
PHL,2023-12-01 3:54,41,30,64.63,230,5,0,30.17,1021.7,10,null,FEW,null,null,null,23000,null,null,null,null,null,null,null,null,null,null,37.08,KPHL 010354Z 23005KT 10SM FEW230 05/M01 A3017 RMK AO2 SLP217 T00501011,null
PHL,2023-12-01 4:54,40,30,67.18,170,4,0,30.16,1021.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36.76,KPHL 010454Z 17004KT 10SM CLR 04/M01 A3016 RMK AO2 SLP211 T00441011 401171011,null
PHL,2023-12-01 5:54,40,30,67.18,190,5,0,30.15,1021,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35.9,KPHL 010554Z 19005KT 10SM CLR 04/M01 A3015 RMK AO2 SLP210 T00441011 10078 20039 58005,null
PHL,2023-12-01 6:54,38,30,72.64,190,3,0,30.16,1021.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35.55,KPHL 010654Z 19003KT 10SM CLR 03/M01 A3016 RMK AO2 SLP214 T00331011,null
PHL,2023-12-01 7:54,36,30,78.6,190,4,0,30.16,1021.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.09,KPHL 010754Z 19004KT 10SM CLR 02/M01 A3016 RMK AO2 SLP214 T00221011,null
PHL,2023-12-01 8:54,39,33,78.86,200,6,0,30.16,1021.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33.96,KPHL 010854Z 20006KT 10SM CLR 04/01 A3016 RMK AO2 SLP214 T00390006 51004,null
PHL,2023-12-01 9:54,37,32,81.93,0,0,0,30.17,1021.5,10,null,FEW,null,null,null,28000,null,null,null,null,null,null,null,null,null,null,37,KPHL 010954Z 00000KT 10SM FEW280 03/00 A3017 RMK AO2 SLP215 T00280000,null
PHL,2023-12-01 10:54,35,31,85.17,0,0,0,30.18,1021.8,10,null,FEW,null,null,null,26000,null,null,null,null,null,null,null,null,null,null,35,KPHL 011054Z 00000KT 10SM FEW260 02/M01 A3018 RMK AO2 SLP218 T00171006,null
PHL,2023-12-01 11:54,36,32,85.23,0,0,0,30.17,1021.7,10,null,SCT,BKN,null,null,20000,26000,null,null,null,null,null,null,null,null,null,36,KPHL 011154Z 00000KT 10SM SCT200 BKN260 02/00 A3017 RMK AO2 SLP217 T00220000 10044 20017 50003,null
PHL,2023-12-01 12:54,37,35,92.39,0,0,0,30.19,1022.1,10,null,FEW,BKN,BKN,null,10000,22000,28000,null,null,null,null,null,null,null,null,37,KPHL 011254Z 00000KT 10SM FEW100 BKN220 BKN280 03/02 A3019 RMK AO2 SLP221 T00280017,null
PHL,2023-12-01 13:54,41,35,79.02,200,4,0,30.18,1021.9,10,null,SCT,BKN,OVC,null,10000,21000,28000,null,null,null,null,null,null,null,null,37.93,KPHL 011354Z 20004KT 10SM SCT100 BKN210 OVC280 05/02 A3018 RMK AO2 SLP219 T00500017,null
PHL,2023-12-01 14:54,44,35,70.42,220,7,0,30.18,1022.1,10,null,BKN,OVC,null,null,12000,21000,null,null,null,null,null,null,null,null,null,39.41,KPHL 011454Z 22007KT 10SM BKN120 OVC210 07/02 A3018 RMK AO2 SLP221 T00670017 51004,null
PHL,2023-12-01 15:54,44,36,73.27,260,8,0,30.19,1022.3,10,null,BKN,OVC,null,null,12000,21000,null,null,null,null,null,null,null,null,null,38.9,KPHL 011554Z 26008KT 10SM BKN120 OVC210 07/02 A3019 RMK AO2 SLP223 T00670022,null
PHL,2023-12-01 16:54,45,37,73.37,0,0,0,30.15,1020.8,10,null,BKN,OVC,null,null,13000,21000,null,null,null,null,null,null,null,null,null,45,KPHL 011654Z 00000KT 10SM BKN130 OVC210 07/03 A3015 RMK AO2 PRESFR SLP208 T00720028,null
PHL,2023-12-01 17:54,47,36,65.38,0,0,0,30.13,1020.3,10,null,SCT,OVC,null,null,9000,14000,null,null,null,null,null,null,null,null,null,47,KPHL 011754Z 00000KT 10SM SCT090 OVC140 08/02 A3013 RMK AO2 SLP203 T00830022 10083 20022 58018,null
PHL,2023-12-01 18:54,48,36,62.97,150,4,0,30.1,1019.4,10,null,SCT,OVC,null,null,9000,14000,null,null,null,null,null,null,null,null,null,46.1,KPHL 011854Z 15004KT 10SM SCT090 OVC140 09/02 A3010 RMK AO2 SLP194 T00890022,null
PHL,2023-12-01 19:54,48,37,65.51,null,3,0,30.08,1018.5,10,null,BKN,OVC,null,null,9000,12000,null,null,null,null,null,null,null,null,null,46.98,KPHL 011954Z VRB03KT 10SM BKN090 OVC120 09/03 A3008 RMK AO2 SLP185 T00890028,null
PHL,2023-12-01 20:14,48,39,70.85,210,5,0.01,30.09,null,6,null,BKN,OVC,null,null,6500,9000,null,null,RA,null,null,null,null,null,null,45.4,KPHL 012014Z 21005KT 6SM RA BKN065 OVC090 09/04 A3009 RMK AO2 RAB02 P0001 T00890039,null
PHL,2023-12-01 20:54,47,40,76.49,230,8,0.04,30.12,1019.8,6,null,OVC,null,null,null,3500,null,null,null,RA,null,null,null,null,null,null,42.59,KPHL 012054Z 23008KT 6SM RA OVC035 08/04 A3012 RMK AO2 RAB02 PRESRR SLP198 P0004 60004 T00830044 55005,null
PHL,2023-12-01 21:02,47,41,79.52,240,6,0.01,30.11,null,3,null,OVC,null,null,null,3500,null,null,null,RA,null,null,null,null,null,null,43.6,KPHL 012102Z 24006KT 3SM RA OVC035 08/05 A3011 RMK AO2 P0001 T00830050,null
PHL,2023-12-01 21:10,46,42,85.83,240,5,0.03,30.11,null,2.5,null,BKN,OVC,null,null,3500,4400,null,null,RA BR,null,null,null,null,null,null,43.02,KPHL 012110Z 24005KT 2 1/2SM RA BR BKN035 OVC044 08/06 A3011 RMK AO2 P0003 T00780056,null
PHL,2023-12-01 21:26,46,43,89.2,190,4,0.06,30.1,null,5,null,BKN,OVC,null,null,2800,3700,null,null,#NAME?,null,null,null,null,null,null,43.77,KPHL 012126Z 19004KT 5SM -RA BR BKN028 OVC037 08/06 A3010 RMK AO2 P0006 T00780061,null
