station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
PWM,2023-12-01 0:51,40,25,54.69,210,5,0,30.04,1017.3,10,null,BKN,null,null,null,6500,null,null,null,null,null,null,null,null,null,null,35.9,KPWM 010051Z 21005KT 10SM BKN065 04/M04 A3004 RMK AO2 SLP173 T00441039,null
PWM,2023-12-01 1:51,40,25,54.69,220,9,0,30.03,1016.9,10,null,BKN,null,null,null,7000,null,null,null,null,null,null,null,null,null,null,33.46,KPWM 010151Z 22009KT 10SM BKN070 04/M04 A3003 RMK AO2 SLP169 T00441039,null
PWM,2023-12-01 2:51,40,25,54.69,220,10,0,30.01,1016.3,10,null,BKN,null,null,null,8500,null,null,null,null,null,null,null,null,null,null,33,KPWM 010251Z 22010KT 10SM BKN085 04/M04 A3001 RMK AO2 SLP163 T00441039 58010,null
PWM,2023-12-01 3:51,39,26,59.27,230,9,0,30.02,1016.6,10,null,BKN,null,null,null,7000,null,null,null,null,null,null,null,null,null,null,32.22,KPWM 010351Z 23009KT 10SM BKN070 04/M03 A3002 RMK AO2 SLP166 T00391033,null
PWM,2023-12-01 4:51,39,27,61.78,220,9,0,30.01,1016.3,10,17,BKN,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,32.22,KPWM 010451Z 22009G17KT 10SM BKN060 04/M03 A3001 RMK AO2 SLP163 LAST T00391028 400611044,null
PWM,2023-12-01 5:51,38,27,64.24,230,5,0,30.02,1016.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33.52,KPWM 010551Z AUTO 23005KT 10SM CLR 03/M03 A3002 RMK AO2 SLP168 T00331028 10050 20033 53005,null
PWM,2023-12-01 6:51,37,27,66.82,210,7,0,30.03,1016.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.87,KPWM 010651Z AUTO 21007KT 10SM CLR 03/M03 A3003 RMK AO2 SLP169 T00281028,null
PWM,2023-12-01 7:51,37,28,69.63,210,7,0,30.03,1017.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.87,KPWM 010751Z AUTO 21007KT 10SM CLR 03/M02 A3003 RMK AO2 SLP172 T00281022,null
PWM,2023-12-01 8:51,37,28,69.63,220,4,0,30.05,1017.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33.26,KPWM 010851Z AUTO 22004KT 10SM CLR 03/M02 A3005 RMK AO2 SLP176 T00281022 53008,null
PWM,2023-12-01 9:51,35,27,72.32,0,0,0,30.05,1017.8,10,null,FEW,null,null,null,23000,null,null,null,null,null,null,null,null,null,null,35,KPWM 010951Z 00000KT 10SM FEW230 02/M03 A3005 RMK AO2 SLP178 T00171028,null
PWM,2023-12-01 10:51,36,28,72.43,200,3,0,30.07,1018.4,10,null,FEW,null,null,null,24000,null,null,null,null,null,null,null,null,null,null,33.26,KPWM 011051Z 20003KT 10SM FEW240 02/M02 A3007 RMK AO2 SLP184 T00221022,null
PWM,2023-12-01 11:51,36,28,72.43,210,5,0,30.07,1018.5,10,null,FEW,FEW,null,null,5000,25000,null,null,null,null,null,null,null,null,null,31.15,KPWM 011151Z 21005KT 10SM FEW050 FEW250 02/M02 A3007 RMK AO2 SLP185 T00221022 10033 20006 51008,null
