station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SAN,2023-12-01 0:51,61,56,83.59,270,4,0,29.94,1013.9,10,null,SCT,BKN,null,null,1600,4500,null,null,null,null,null,null,null,null,null,61,KSAN 010051Z 27004KT 10SM SCT016 BKN045 16/13 A2994 RMK AO2 SLP139 T01610133 $,null
SAN,2023-12-01 1:48,60.8,55.4,82.37,250,3,T,29.94,null,10,null,FEW,BKN,BKN,null,1300,2100,5000,null,null,null,null,null,null,null,null,60.8,KSAN 010148Z 25003KT 10SM FEW013 BKN021 BKN050 16/13 A2994 RMK AO2 RAB09E13 P0000 $,null
SAN,2023-12-01 1:51,61,55,80.61,0,0,T,29.95,1014,10,null,FEW,BKN,BKN,null,1300,2100,5000,null,null,null,null,null,null,null,null,61,KSAN 010151Z 00000KT 10SM FEW013 BKN021 BKN050 16/13 A2995 RMK AO2 RAB09E13 SLP140 P0000 T01610128 $,null
SAN,2023-12-01 2:51,62,56,80.68,250,5,0,29.96,1014.5,10,null,BKN,BKN,null,null,1900,5500,null,null,null,null,null,null,null,null,null,62,KSAN 010251Z 25005KT 10SM BKN019 BKN055 17/13 A2996 RMK AO2 SLP145 60000 T01670133 53005 $,null
SAN,2023-12-01 3:07,61,56,83.59,270,4,0,29.96,null,10,null,SCT,SCT,null,null,1700,5500,null,null,null,null,null,null,null,null,null,61,KSAN 010307Z 27004KT 10SM SCT017 SCT055 16/13 A2996 RMK AO2 T01610133 $,null
SAN,2023-12-01 3:51,59,54,83.46,0,0,0,29.97,1014.7,10,null,SCT,null,null,null,2000,null,null,null,null,null,null,null,null,null,null,59,KSAN 010351Z 00000KT 10SM SCT020 15/12 A2997 RMK AO2 SLP147 T01500122 $,null
SAN,2023-12-01 4:51,60,54,80.53,280,4,0,29.97,1015,10,null,SCT,SCT,null,null,2000,5500,null,null,null,null,null,null,null,null,null,60,KSAN 010451Z 28004KT 10SM SCT020 SCT055 16/12 A2997 RMK AO2 SLP150 T01560122 $,null
SAN,2023-12-01 5:51,58,54,86.51,0,0,0,29.98,1015,10,null,SCT,BKN,null,null,2200,3800,null,null,null,null,null,null,null,null,null,58,KSAN 010551Z 00000KT 10SM SCT022 BKN038 14/12 A2998 RMK AO2 SLP150 60000 T01440122 10172 20144 51005 $,null
SAN,2023-12-01 6:49,60.8,55.4,82.37,290,7,0.03,29.98,null,4,null,SCT,BKN,BKN,null,2100,2600,6000,null,#NAME?,null,null,null,null,null,null,60.8,KSAN 010649Z 29007KT 4SM +RA BR SCT021 BKN026 BKN060 16/13 A2998 RMK AO2 RAB41 P0003 IEM_GHCNH,null
SAN,2023-12-01 6:51,60,56,86.61,280,7,0.05,29.98,1015.2,4,null,SCT,BKN,null,null,2100,2600,null,null,#NAME?,null,null,null,null,null,null,60,KSAN 010651Z 28007KT 4SM +RA BR SCT021 BKN026 16/13 A2998 RMK AO2 RAB41 SLP152 P0005 T01560133 $,null
