station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
TYS,2023-12-01 0:53,50,29,44.1,0,0,0,30.08,1018.8,10,null,FEW,BKN,null,null,15000,25000,null,null,null,null,null,null,null,null,null,50,KTYS 010053Z 00000KT 10SM FEW150 BKN250 10/M02 A3008 RMK AO2 SLP188 T01001017,null
MEM,2023-12-01 0:54,53,32,44.58,130,5,0,29.92,1013.1,10,null,BKN,OVC,null,null,10000,14000,null,null,null,null,null,null,null,null,null,53,KMEM 010054Z 13005KT 10SM BKN100 OVC140 12/00 A2992 RMK AO2 SLP131 T01170000,null
TYS,2023-12-01 1:53,46,30,53.37,0,0,0,30.08,1018.7,10,null,FEW,OVC,null,null,15000,25000,null,null,null,null,null,null,null,null,null,46,KTYS 010153Z 00000KT 10SM FEW150 OVC250 08/M01 A3008 RMK AO2 SLP187 T00781011,null
MEM,2023-12-01 1:54,49,41,73.77,60,5,0.03,29.95,1014.2,10,null,OVC,null,null,null,5000,null,null,null,#NAME?,null,null,null,null,null,null,46.58,KMEM 010154Z 06005KT 10SM -RA OVC050 09/05 A2995 RMK AO2 RAB02 SLP142 P0003 T00940050,null
TYS,2023-12-01 2:53,47,31,53.52,0,0,0,30.08,1018.6,10,null,FEW,OVC,null,null,15000,25000,null,null,null,null,null,null,null,null,null,47,KTYS 010253Z 00000KT 10SM FEW150 OVC250 08/M01 A3008 RMK AO2 SLP186 T00831006 55003,null
MEM,2023-12-01 2:54,47,43,85.89,70,4,0.11,29.95,1014,7,null,BKN,OVC,null,null,4600,10000,null,null,RA,null,null,null,null,null,null,44.94,KMEM 010254Z 07004KT 7SM RA BKN046 OVC100 08/06 A2995 RMK AO2 PRESRR SLP140 P0011 60014 T00830061 50017,null
TYS,2023-12-01 3:53,45,30,55.43,70,3,0,30.07,1018.2,10,null,FEW,OVC,null,null,15000,25000,null,null,null,null,null,null,null,null,null,43.55,KTYS 010353Z 07003KT 10SM FEW150 OVC250 07/M01 A3007 RMK AO2 SLP182 T00721011,null
MEM,2023-12-01 3:54,45,42,89.15,110,12,0.25,29.9,1012.4,7,null,FEW,BKN,OVC,null,4000,7000,9000,null,RA,null,null,null,null,null,null,38.55,KMEM 010354Z 11012KT 7SM RA FEW040 BKN070 OVC090 07/06 A2990 RMK AO2 SLP124 P0025 T00720056,null
MEM,2023-12-01 4:28,45,42,89.15,80,8,0.04,29.92,null,7,null,BKN,BKN,OVC,null,2700,3700,5500,null,RA,null,null,null,null,null,null,40.13,KMEM 010428Z 08008KT 7SM RA BKN027 BKN037 OVC055 07/06 A2992 RMK AO2 PRESRR P0004 T00720056,null
TYS,2023-12-01 4:53,44,32,62.44,60,3,0,30.06,1017.8,10,null,SCT,OVC,null,null,13000,20000,null,null,null,null,null,null,null,null,null,42.41,KTYS 010453Z 06003KT 10SM SCT130 OVC200 07/00 A3006 RMK AO2 SLP178 T00670000 401671011,null
MEM,2023-12-01 4:54,45,42,89.15,100,11,0.07,29.89,1012.2,9,null,OVC,null,null,null,2700,null,null,null,#NAME?,null,null,null,null,null,null,38.89,KMEM 010454Z 10011KT 9SM -RA OVC027 07/06 A2989 RMK AO2 SLP122 P0007 T00720056,null
TYS,2023-12-01 5:53,44,33,65.01,320,5,0,30.07,1017.9,10,null,SCT,OVC,null,null,13000,25000,null,null,null,null,null,null,null,null,null,40.65,KTYS 010553Z 32005KT 10SM SCT130 OVC250 07/01 A3007 RMK AO2 SLP179 T00670006 10111 20061 55003,null
MEM,2023-12-01 5:54,45,42,89.15,130,10,0.01,29.85,1010.9,10,null,OVC,null,null,null,2700,null,null,null,#NAME?,null,null,null,null,null,null,39.27,KMEM 010554Z 13010KT 10SM -RA OVC027 07/06 A2985 RMK AO2 SLP109 P0001 60047 T00720056 10117 20072 401440050 56030,null
TYS,2023-12-01 6:53,44,34,67.66,0,0,0,30.07,1018.2,10,null,BKN,OVC,null,null,12000,25000,null,null,null,null,null,null,null,null,null,44,KTYS 010653Z 00000KT 10SM BKN120 OVC250 07/01 A3007 RMK AO2 SLP182 T00670011,null
