station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SAT,2023-12-01 0:51,64,61,89.97,230,5,0,29.75,1006.2,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,64,KSAT 010051Z 23005KT 10SM SCT250 18/16 A2975 RMK AO2 SLP062 T01780161,null
SAT,2023-12-01 1:51,63,60,89.93,260,4,0,29.77,1006.7,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,63,KSAT 010151Z 26004KT 10SM SCT250 17/16 A2977 RMK AO2 SLP067 T01720156,null
SAT,2023-12-01 2:51,62,60,93.15,290,5,0,29.79,1007.4,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,62,KSAT 010251Z 29005KT 10SM SCT250 17/16 A2979 RMK AO2 SLP074 T01670156 53021,null
SAT,2023-12-01 3:51,60,59,96.49,0,0,0,29.81,1008,10,null,FEW,BKN,null,null,2000,25000,null,null,null,null,null,null,null,null,null,60,KSAT 010351Z 00000KT 10SM FEW020 BKN250 16/15 A2981 RMK AO2 SLP080 T01560150,null
SAT,2023-12-01 4:39,58,57,96.46,0,0,0,29.81,null,1.75,null,BKN,null,null,null,25000,null,null,null,BR,null,null,null,null,null,null,58,KSAT 010439Z 00000KT 1 3/4SM R13R/2600VP6000FT BR BKN250 14/14 A2981 RMK AO2 T01440139,null
SAT,2023-12-01 4:46,57.2,57.2,100,0,0,0,29.82,null,7,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,57.2,KSAT 010446Z 00000KT 7SM BKN250 14/14 A2982 RMK AO2,null
SAT,2023-12-01 4:51,59,58,96.48,0,0,0,29.82,1008.4,7,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,59,KSAT 010451Z 00000KT 7SM BKN250 15/14 A2982 RMK AO2 SLP084 T01500144,null
SAT,2023-12-01 5:51,57,56,96.45,310,5,0,29.84,1009,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,57,KSAT 010551Z 31005KT 10SM BKN250 14/13 A2984 RMK AO2 SLP090 T01390133 10189 20133 402110133 53009,null
SAT,2023-12-01 6:51,56,55,96.43,310,6,0,29.83,1008.7,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,56,KSAT 010651Z 31006KT 10SM SCT250 13/13 A2983 RMK AO2 SLP087 T01330128,null
SAT,2023-12-01 7:51,56,55,96.43,300,6,0,29.82,1008.5,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,56,KSAT 010751Z 30006KT 10SM SCT250 13/13 A2982 RMK AO2 SLP085 T01330128,null
SAT,2023-12-01 8:51,56,55,96.43,320,6,0,29.81,1008.1,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,56,KSAT 010851Z 32006KT 10SM SCT250 13/13 A2981 RMK AO2 SLP081 T01330128 58008,null
SAT,2023-12-01 9:51,56,55,96.43,320,7,0,29.82,1008.4,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,56,KSAT 010951Z 32007KT 10SM FEW250 13/13 A2982 RMK AO2 SLP084 T01330128,null
SAT,2023-12-01 10:51,56,54,92.98,310,5,0,29.83,1008.8,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,56,KSAT 011051Z 31005KT 10SM SCT250 13/12 A2983 RMK AO2 SLP088 T01330122,null
SAT,2023-12-01 11:51,54,53,96.4,0,0,0,29.85,1009.4,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,54,KSAT 011151Z 00000KT 10SM SCT250 12/12 A2985 RMK AO2 SLP094 70009 T01220117 10139 20122 53011,null
SAT,2023-12-01 12:51,55,53,92.95,330,3,0,29.85,1009.6,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,55,KSAT 011251Z 33003KT 10SM SCT250 13/12 A2985 RMK AO2 SLP096 T01280117,null
SAT,2023-12-01 13:51,55,50,83.2,310,6,0,29.86,1010,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,55,KSAT 011351Z 31006KT 10SM BKN250 13/10 A2986 RMK AO2 SLP100 T01280100,null
SAT,2023-12-01 14:51,62,45,53.63,350,8,0,29.89,1010.9,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,62,KSAT 011451Z 35008KT 10SM BKN250 17/07 A2989 RMK AO2 SLP109 T01670072 53015,null
SAT,2023-12-01 15:51,64,46,51.93,340,8,0,29.91,1011.5,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,64,KSAT 011551Z 34008KT 10SM SCT250 18/08 A2991 RMK AO2 SLP115 T01780078,null
