station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
STT,2023-12-01 0:53,80,74,81.96,70,6,0,30.02,1016.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,84.5,STT 010053Z 07006KT 10SM CLR 27/23 A3002 RMK AO2 SLP164 T02670233,null
STX,2023-12-01 0:53,81,73,76.7,60,9,0,30.02,1016.3,10,null,FEW,null,null,null,2700,null,null,null,null,null,null,null,null,null,null,85.81,STX 010053Z 06009KT 10SM FEW027 27/23 A3002 RMK AO2 SLP163 T02720228,null
STT,2023-12-01 1:53,80,74,81.96,90,6,0,30.02,1016.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,84.5,STT 010153Z 09006KT 10SM CLR 27/23 A3002 RMK AO2 SLP167 T02670233,null
STX,2023-12-01 1:53,81,71,71.68,70,9,0,30.03,1016.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,84.91,STX 010153Z AUTO 07009KT 10SM CLR 27/22 A3003 RMK AO2 SLP168 T02720217,null
STX,2023-12-01 2:53,80,72,76.62,60,8,0,30.03,1016.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,83.78,STX 010253Z AUTO 06008KT 10SM CLR 27/22 A3003 RMK AO2 SLP169 T02670222 51013,null
STT,2023-12-01 2:53,80,74,81.96,80,9,0,30.03,1017,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,84.5,STT 010253Z 08009KT 10SM CLR 27/23 A3003 RMK AO2 SLP170 T02670233 51011,null
STT,2023-12-01 3:53,80,74,81.96,70,7,0,30.03,1016.9,10,null,FEW,null,null,null,4300,null,null,null,null,null,null,null,null,null,null,84.5,STT 010353Z 07007KT 10SM FEW043 27/23 A3003 RMK AO2 SLP169 T02670233 403060244,null
STX,2023-12-01 3:53,80,71,74.06,70,7,0,30.02,1016.5,10,null,FEW,null,null,null,2800,null,null,null,null,null,null,null,null,null,null,83.46,STX 010353Z AUTO 07007KT 10SM FEW028 27/22 A3002 RMK AO2 SLP165 T02670217 403280239,null
STX,2023-12-01 4:53,79,71,76.53,30,5,0,30.01,1016.2,10,null,FEW,SCT,SCT,null,2700,3300,4900,null,null,null,null,null,null,null,null,79,STX 010453Z AUTO 03005KT 10SM FEW027 SCT033 SCT049 26/22 A3001 RMK AO2 SLP162 T02610217,null
STT,2023-12-01 4:53,80,74,81.96,70,8,T,30.02,1016.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,84.5,STT 010453Z 07008KT 10SM CLR 27/23 A3002 RMK AO2 RAB17E26 SLP165 P0000 T02670233,null
STT,2023-12-01 5:53,78,75,90.51,70,8,T,30,1015.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,78,STT 010553Z 07008KT 10SM CLR 26/24 A3000 RMK AO2 RAB08E24 SLP158 P0000 60000 T02560239 10267 20256 58012,null
STX,2023-12-01 5:53,79,72,79.17,50,6,0,30,1015.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,79,STX 010553Z AUTO 05006KT 10SM CLR 26/22 A3000 RMK AO2 SLP157 T02610222 10278 20261 58012,null
STX,2023-12-01 6:53,79,72,79.17,60,7,0,29.99,1015.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,79,STX 010653Z AUTO 06007KT 10SM CLR 26/22 A2999 RMK AO2 SLP152 T02610222,null
STT,2023-12-01 6:53,79,74,84.69,70,9,0,29.99,1015.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,79,STT 010653Z 07009KT 10SM CLR 26/23 A2999 RMK AO2 SLP155 T02610233,null
STT,2023-12-01 7:53,79,75,87.58,70,9,0,29.98,1015.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,79,STT 010753Z 07009KT 10SM CLR 26/24 A2998 RMK AO2 SLP151 T02610239,null
STX,2023-12-01 7:53,79,72,79.17,50,6,0,29.98,1015,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,79,STX 010753Z AUTO 05006KT 10SM CLR 26/22 A2998 RMK AO2 SLP150 T02610222,null
STX,2023-12-01 8:53,80,73,79.25,60,10,0,29.98,1015.1,10,19,FEW,null,null,null,2400,null,null,null,null,null,null,null,null,null,null,84.13,STX 010853Z AUTO 06010G19KT 10SM FEW024 27/23 A2998 RMK AO2 SLP151 T02670228 55005,null
STT,2023-12-01 8:53,79,73,81.89,70,8,0,29.98,1015.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,79,STT 010853Z 07008KT 10SM CLR 26/23 A2998 RMK AO2 SLP154 T02610228 55004,null
