station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SLC,2023-12-01 0:54,32,29,88.53,360,4,0,29.87,1012.3,8,null,FEW,BKN,BKN,null,1500,9500,15000,null,null,null,null,null,null,null,null,27.42,KSLC 010054Z 36004KT 8SM FEW015 BKN095 BKN150 00/M02 A2987 RMK AO2 SLP123 T00001017,null
SLC,2023-12-01 1:54,32,29,88.53,0,0,0,29.87,1012.4,8,null,FEW,SCT,OVC,null,1500,6500,10000,null,null,null,null,null,null,null,null,32,KSLC 010154Z 00000KT 8SM FEW015 SCT065 OVC100 00/M02 A2987 RMK AO2 SLP124 T00001017,null
SLC,2023-12-01 2:54,32,29,88.53,150,4,0,29.86,1012.2,8,null,SCT,SCT,OVC,null,6500,9000,12000,null,null,null,null,null,null,null,null,27.42,KSLC 010254Z 15004KT 8SM SCT065 SCT090 OVC120 00/M02 A2986 RMK AO2 SLP122 T00001017 50001,null
SLC,2023-12-01 3:54,32,29,88.53,160,6,0,29.86,1012.1,7,null,BKN,BKN,OVC,null,5000,7500,11000,null,null,null,null,null,null,null,null,25.53,KSLC 010354Z 16006KT 7SM BKN050 BKN075 OVC110 00/M02 A2986 RMK AO2 SLP121 T00001017,null
SLC,2023-12-01 4:54,32,29,88.53,150,5,0,29.86,1012.2,6,null,BKN,BKN,BKN,null,5000,7500,12000,null,BR,null,null,null,null,null,null,26.4,KSLC 010454Z 15005KT 6SM BR BKN050 BKN075 BKN120 00/M02 A2986 RMK AO2 SLP122 T00001017,null
SLC,2023-12-01 5:54,32,29,88.53,100,4,0,29.87,1012.3,6,null,BKN,BKN,BKN,null,5500,8000,12000,null,BR,null,null,null,null,null,null,27.42,KSLC 010554Z 10004KT 6SM BR BKN055 BKN080 BKN120 00/M02 A2987 RMK AO2 SLP123 T00001017 10011 21006 53001,null
SLC,2023-12-01 6:54,32,29,88.53,140,7,0,29.86,1011.9,5,null,BKN,BKN,null,null,6500,8000,null,null,BR,null,null,null,null,null,null,24.78,KSLC 010654Z 14007KT 5SM BR BKN065 BKN080 00/M02 A2986 RMK AO2 SLP119 T00001017 400111011,null
SLC,2023-12-01 7:54,32,29,88.53,150,4,0,29.85,1011.6,5,null,BKN,BKN,null,null,6000,8000,null,null,BR,null,null,null,null,null,null,27.42,KSLC 010754Z 15004KT 5SM BR BKN060 BKN080 00/M02 A2985 RMK AO2 SLP116 T00001017,null
SLC,2023-12-01 8:54,31,29,92.19,280,3,0,29.85,1011.5,5,null,FEW,SCT,BKN,null,6000,8000,15000,null,BR,null,null,null,null,null,null,27.55,KSLC 010854Z 28003KT 5SM BR FEW060 SCT080 BKN150 M01/M02 A2985 RMK AO2 SLP115 T10061017 56005,null
SLC,2023-12-01 9:54,30,29,96,0,0,0,29.85,1011.8,5,null,SCT,BKN,BKN,null,5500,8000,15000,null,BR,null,null,null,null,null,null,30,KSLC 010954Z 00000KT 5SM BR SCT055 BKN080 BKN150 M01/M02 A2985 RMK AO2 SLP118 T10111017,null
SLC,2023-12-01 10:54,29,29,100,230,3,0,29.84,1011.4,4,null,FEW,FEW,BKN,null,6000,8000,12000,null,BR,null,null,null,null,null,null,25.26,KSLC 011054Z 23003KT 4SM BR FEW060 FEW080 BKN120 M02/M02 A2984 RMK AO2 SLP114 T10171017,null
SLC,2023-12-01 11:54,30,30,100,0,0,0,29.83,1011,5,null,FEW,BKN,null,null,6000,7500,null,null,BR,null,null,null,null,null,null,30,KSLC 011154Z 00000KT 5SM BR FEW060 BKN075 M01/M01 A2983 RMK AO2 SLP110 T10111011 10000 21017 58006,null
