station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SEA,2023-12-01 0:13,42,34,73.06,110,4,0.01,29.79,null,5,null,BKN,OVC,null,null,2600,3500,null,null,#NAME?,null,null,null,null,null,null,39.1,KSEA 010013Z 11004KT 5SM -RA BKN026 OVC035 06/01 A2979 RMK AO2 P0001 T00560011,null
SEA,2023-12-01 0:53,41,37,85.54,180,4,0.04,29.8,1009.9,6,null,OVC,null,null,null,2200,null,null,null,#NAME?,null,null,null,null,null,null,37.93,KSEA 010053Z 18004KT 6SM -RA BR OVC022 05/03 A2980 RMK AO2 SLP099 P0004 T00500028,null
SEA,2023-12-01 1:53,41,37,85.54,140,8,0.05,29.8,1010.1,5,null,BKN,OVC,null,null,1600,2200,null,null,#NAME?,null,null,null,null,null,null,35.2,KSEA 010153Z 14008KT 5SM -RA BR BKN016 OVC022 05/03 A2980 RMK AO2 SLP101 P0005 T00500028,null
SEA,2023-12-01 2:31,41,38,88.97,140,11,0.01,29.8,null,4,null,FEW,OVC,null,null,400,1700,null,null,#NAME?,null,null,null,null,null,null,33.84,KSEA 010231Z 14011KT 4SM -RA BR FEW004 OVC017 05/03 A2980 RMK AO2 P0001 T00500033,null
SEA,2023-12-01 2:53,41,38,88.97,170,10,0.01,29.81,1010.3,4,null,FEW,OVC,null,null,400,1200,null,null,#NAME?,null,null,null,null,null,null,34.25,KSEA 010253Z 17010KT 4SM -RA BR FEW004 OVC012 05/03 A2981 RMK AO2 SLP103 P0001 60010 T00500033 51007,null
SEA,2023-12-01 3:13,40,38,92.49,190,10,0.01,29.81,null,3,null,BKN,OVC,null,null,700,1200,null,null,#NAME?,null,null,null,null,null,null,33,KSEA 010313Z 19010KT 3SM -RA BR BKN007 OVC012 04/03 A2981 RMK AO2 P0001 T00440033,null
SEA,2023-12-01 3:34,40,38,92.49,180,9,0.02,29.82,null,4,null,OVC,null,null,null,400,null,null,null,#NAME?,null,null,null,null,null,null,33.46,KSEA 010334Z 18009KT 4SM -RA BR OVC004 04/03 A2982 RMK AO2 P0002 T00440033,null
SEA,2023-12-01 3:53,40,37,88.92,180,10,0.02,29.82,1010.6,4,null,OVC,null,null,null,400,null,null,null,#NAME?,null,null,null,null,null,null,33,KSEA 010353Z 18010KT 4SM -RA BR OVC004 04/03 A2982 RMK AO2 SLP106 P0002 T00440028,null
SEA,2023-12-01 4:12,40,38,92.49,180,10,T,29.82,null,10,null,OVC,null,null,null,800,null,null,null,#NAME?,null,null,null,null,null,null,33,KSEA 010412Z 18010KT 10SM -RA OVC008 04/03 A2982 RMK AO2 P0000 T00440033,null
SEA,2023-12-01 4:53,40,37,88.92,180,12,T,29.82,1010.6,10,null,OVC,null,null,null,900,null,null,null,null,null,null,null,null,null,null,32.18,KSEA 010453Z 18012KT 10SM OVC009 04/03 A2982 RMK AO2 RAE41 SLP106 P0000 T00440028,null
SEA,2023-12-01 5:53,40,37,88.92,190,14,0,29.81,1010.4,10,null,BKN,BKN,OVC,null,900,1600,2200,null,null,null,null,null,null,null,null,31.47,KSEA 010553Z 19014KT 10SM BKN009 BKN016 OVC022 04/03 A2981 RMK AO2 SLP104 60012 T00440028 10056 20044 50001,null
SEA,2023-12-01 5:58,40,37,88.92,180,14,0,29.81,null,10,null,SCT,BKN,BKN,null,1000,1600,2200,null,null,null,null,null,null,null,null,31.47,KSEA 010558Z 18014KT 10SM SCT010 BKN016 BKN022 04/03 A2981 RMK AO2 T00440028,null
SEA,2023-12-01 6:09,40,37,88.92,190,13,0,29.81,null,10,null,SCT,SCT,null,null,1000,1800,null,null,null,null,null,null,null,null,null,31.82,KSEA 010609Z 19013KT 10SM SCT010 SCT018 04/03 A2981 RMK AO2 T00440028,null
SEA,2023-12-01 6:22,40,37,88.92,200,13,0,29.81,null,10,19,BKN,BKN,null,null,1000,1800,null,null,null,null,null,null,null,null,null,31.82,KSEA 010622Z 20013G19KT 10SM BKN010 BKN018 04/03 A2981 RMK AO2 T00440028,null
SEA,2023-12-01 6:50,41,37.4,86.89,200,14,0,29.82,null,10,null,FEW,BKN,OVC,null,1100,2300,6000,null,null,null,null,null,null,null,null,32.76,KSEA 010650Z 20014KT 10SM FEW011 BKN023 OVC060 05/03 A2982 RMK AO2,null
SEA,2023-12-01 6:53,41,37,85.54,200,14,0,29.81,1010.4,10,null,FEW,BKN,OVC,null,1100,3300,4300,null,null,null,null,null,null,null,null,32.76,KSEA 010653Z 20014KT 10SM FEW011 BKN033 OVC043 05/03 A2981 RMK AO2 SLP104 T00500028,null
SEA,2023-12-01 7:53,41,37,85.54,200,9,0,29.81,1010.1,10,null,SCT,BKN,OVC,null,2400,3400,4500,null,null,null,null,null,null,null,null,34.7,KSEA 010753Z 20009KT 10SM SCT024 BKN034 OVC045 05/03 A2981 RMK AO2 SLP101 T00500028 400780011,null
SEA,2023-12-01 8:02,41,36,82.22,190,10,0,29.8,null,10,null,BKN,OVC,null,null,2400,3400,null,null,null,null,null,null,null,null,null,34.25,KSEA 010802Z 19010KT 10SM BKN024 OVC034 05/02 A2980 RMK AO2 T00500022,null
SEA,2023-12-01 8:43,41,37,85.54,180,8,0.02,29.78,null,10,null,SCT,OVC,null,null,2700,3200,null,null,null,null,null,null,null,null,null,35.2,KSEA 010843Z 18008KT 10SM SCT027 OVC032 05/03 A2978 RMK AO2 RAB08E38 P0002 T00500028,null
SEA,2023-12-01 8:53,40,37,88.92,180,7,0.02,29.78,1009.2,10,null,BKN,OVC,null,null,3000,3700,null,null,#NAME?,null,null,null,null,null,null,34.53,KSEA 010853Z 18007KT 10SM -RA BKN030 OVC037 04/03 A2978 RMK AO2 RAB08E38B48 SLP092 P0002 60002 T00440028 58013,null
SEA,2023-12-01 9:53,40,37,88.92,160,6,0.01,29.76,1008.5,9,null,FEW,OVC,null,null,2900,4000,null,null,#NAME?,null,null,null,null,null,null,35.17,KSEA 010953Z 16006KT 9SM -RA FEW029 OVC040 04/03 A2976 RMK AO2 RAE18B34 SLP085 P0001 T00440028,null
SEA,2023-12-01 10:29,40,37,88.92,180,7,0.03,29.74,null,5,null,BKN,OVC,null,null,2300,3100,null,null,#NAME?,null,null,null,null,null,null,34.53,KSEA 011029Z 18007KT 5SM -RA BR BKN023 OVC031 04/03 A2974 RMK AO2 P0003 T00440028,null
SEA,2023-12-01 10:53,40,37,88.92,140,7,0.04,29.72,1007.1,9,null,SCT,OVC,null,null,2400,3000,null,null,#NAME?,null,null,null,null,null,null,34.53,KSEA 011053Z 14007KT 9SM -RA SCT024 OVC030 04/03 A2972 RMK AO2 SLP071 P0004 T00440028,null
SEA,2023-12-01 11:03,40,36,85.48,140,6,T,29.71,null,7,null,OVC,null,null,null,2800,null,null,null,#NAME?,null,null,null,null,null,null,35.17,KSEA 011103Z 14006KT 7SM -RA OVC028 04/02 A2971 RMK AO2 P0000 T00440022,null
SEA,2023-12-01 11:53,40,36,85.48,150,7,0.01,29.67,1005.6,9,null,BKN,OVC,null,null,2600,3100,null,null,#NAME?,null,null,null,null,null,null,34.53,KSEA 011153Z 15007KT 9SM -RA BKN026 OVC031 04/02 A2967 RMK AO2 SLP056 P0001 60008 70022 T00440022 10050 20039 58036,null
