station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
XNA,2023-12-01 0:16,54,52,92.92,170,6,0.01,29.7,null,10,null,BKN,OVC,null,null,1200,1800,null,null,#NAME?,null,null,null,null,null,null,54,KXNA 010016Z 17006KT 10SM -RA BKN012 OVC018 12/11 A2970 RMK AO2 LTG DSNT NW RAB05 P0001 T01220111,null
XNA,2023-12-01 0:48,53.6,51.8,93.6,140,8,0.03,29.68,null,10,null,SCT,BKN,BKN,null,1200,1700,4800,null,null,null,null,null,null,null,null,53.6,KXNA 010048Z 14008KT 10SM SCT012 BKN017 BKN048 12/11 A2968 RMK AO2 RAB05E48 P0003,null
XNA,2023-12-01 0:53,54,51,89.55,160,9,0.03,29.7,1005.3,10,null,BKN,BKN,OVC,null,1400,4500,7000,null,null,null,null,null,null,null,null,54,KXNA 010053Z 16009KT 10SM BKN014 BKN045 OVC070 12/11 A2970 RMK AO2 LTG DSNT SE AND S RAB05E48 SLP053 P0003 T01220106,null
XNA,2023-12-01 1:05,54,51,89.55,140,14,0.08,29.69,null,5,null,BKN,BKN,OVC,null,1400,3000,7000,null,#NAME?,null,null,null,null,null,null,54,KXNA 010105Z 14014KT 5SM +TSRA BR BKN014 BKN030 OVC070 12/11 A2969 RMK AO2 LTG DSNT SE AND S RAB01 TSB0059 P0008 T01220106,null
XNA,2023-12-01 1:15,53,52,96.39,140,7,0.1,29.68,null,6,null,SCT,BKN,OVC,null,1400,4400,5500,null,RA BR,null,null,null,null,null,null,53,KXNA 010115Z 14007KT 6SM RA BR SCT014 BKN044 OVC055 12/11 A2968 RMK AO2 LTG DSNT S AND W RAB01 TSB0059E14 P0010 T01170111,null
XNA,2023-12-01 1:35,53,51,92.89,150,13,0.13,29.69,null,10,null,SCT,BKN,OVC,null,1400,2400,6500,null,#NAME?,null,null,null,null,null,null,53,KXNA 010135Z 15013KT 10SM -RA SCT014 BKN024 OVC065 12/11 A2969 RMK AO2 LTG DSNT S AND NW RAB01 TSB0059E14 P0013 T01170106,null
XNA,2023-12-01 1:42,53,51,92.89,140,10,0.13,29.67,null,10,null,BKN,BKN,OVC,null,1400,5500,6500,null,null,null,null,null,null,null,null,53,KXNA 010142Z 14010KT 10SM BKN014 BKN055 OVC065 12/11 A2967 RMK AO2 RAB01E42 TSB0059E14 P0013 T01170106,null
XNA,2023-12-01 1:53,53,51,92.89,160,10,0.13,29.67,1004.4,10,null,BKN,OVC,null,null,1400,6000,null,null,VCTS,null,null,null,null,null,null,53,KXNA 010153Z 16010KT 10SM VCTS BKN014 OVC060 12/11 A2967 RMK AO2 LTG DSNT S RAB01E42 TSB0059E14 SLP044 P0013 T01170106,null
XNA,2023-12-01 2:00,53,51,92.89,160,10,0,29.67,null,10,null,FEW,OVC,null,null,1100,1600,null,null,VCTS,null,null,null,null,null,null,53,KXNA 010200Z 16010KT 10SM VCTS FEW011 OVC016 12/11 A2967 RMK AO2 LTG DSNT E AND S T01170106,null
XNA,2023-12-01 2:02,53,51,92.89,160,10,0,29.67,null,10,null,OVC,null,null,null,1400,null,null,null,null,null,null,null,null,null,null,53,KXNA 010202Z 16010KT 10SM OVC014 12/11 A2967 RMK AO2 LTG DSNT NE-S T01170106,null
XNA,2023-12-01 2:22,52,51,96.37,150,8,0.01,29.67,null,10,null,FEW,SCT,OVC,null,1000,1600,2700,null,#NAME?,null,null,null,null,null,null,52,KXNA 010222Z 15008KT 10SM -RA FEW010 SCT016 OVC027 11/11 A2967 RMK AO2 LTG DSNT ALQDS RAB13 P0001 T01110106,null
XNA,2023-12-01 2:38,52,51,96.37,150,9,0.02,29.66,null,4,null,FEW,BKN,OVC,null,700,1400,2800,null,#NAME?,null,null,null,null,null,null,52,KXNA 010238Z 15009KT 4SM -RA BR FEW007 BKN014 OVC028 11/11 A2966 RMK AO2 LTG DSNT SE RAB13 P0002 T01110106,null
XNA,2023-12-01 2:46,52,51,96.37,150,9,0.02,29.66,null,5,null,FEW,BKN,OVC,null,700,1600,2700,null,#NAME?,null,null,null,null,null,null,52,KXNA 010246Z 15009KT 5SM -RA BR FEW007 BKN016 OVC027 11/11 A2966 RMK AO2 LTG DSNT E RAB13 P0002 T01110106,null
