station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
AMA,2023-12-01 0:37,33,30,88.58,310,8,0,29.76,null,10,null,BKN,null,null,null,3100,null,null,null,null,null,null,null,null,null,null,25.34,KAMA 010037Z 31008KT 10SM BKN031 01/M01 A2976 RMK AO2 T00061011,null
AMA,2023-12-01 0:53,33,30,88.58,290,6,0,29.76,1007.8,10,null,OVC,null,null,null,3300,null,null,null,null,null,null,null,null,null,null,26.73,KAMA 010053Z 29006KT 10SM OVC033 01/M01 A2976 RMK AO2 SLP078 T00061011,null
AMA,2023-12-01 1:53,33,30,88.58,300,8,0,29.78,1008.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25.34,KAMA 010153Z 30008KT 10SM CLR 01/M01 A2978 RMK AO2 SLP081 T00061011,null
AMA,2023-12-01 2:53,34,27,75.26,310,12,0,29.78,1008.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24.55,KAMA 010253Z 31012KT 10SM CLR 01/M03 A2978 RMK AO2 SLP081 T00111028 51011,null
AMA,2023-12-01 3:53,33,26,75.17,320,11,0,29.79,1008.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23.73,KAMA 010353Z 32011KT 10SM CLR 01/M03 A2979 RMK AO2 SLP087 T00061033,null
AMA,2023-12-01 4:53,31,25,78.16,300,8,0,29.83,1009.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22.88,KAMA 010453Z 30008KT 10SM CLR M01/M04 A2983 RMK AO2 SLP098 T10061039,null
AMA,2023-12-01 5:53,31,24,74.97,330,8,0,29.83,1010.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22.88,KAMA 010553Z AUTO 33008KT 10SM CLR M01/M04 A2983 RMK AO2 SLP106 T10061044 10011 21006 400831006 51014,null
AMA,2023-12-01 6:53,30,23,74.87,310,8,0,29.84,1011.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21.65,KAMA 010653Z AUTO 31008KT 10SM CLR M01/M05 A2984 RMK AO2 SLP112 T10111050,null
AMA,2023-12-01 7:53,28,22,77.89,320,8,0,29.83,1011.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19.19,KAMA 010753Z AUTO 32008KT 10SM CLR M02/M06 A2983 RMK AO2 SLP111 T10221056,null
AMA,2023-12-01 8:53,27,22,81.17,310,6,0,29.85,1011.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19.51,KAMA 010853Z AUTO 31006KT 10SM CLR M03/M06 A2985 RMK AO2 SLP117 T10281056 53006,null
