station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ATL,2023-12-01 0:52,50,31,47.83,130,5,0,30.14,1021.1,10,null,FEW,BKN,null,null,18000,25000,null,null,null,null,null,null,null,null,null,50,KATL 010052Z 13005KT 10SM FEW180 BKN250 10/M01 A3014 RMK AO2 SLP211 T01001006,null
ATL,2023-12-01 1:52,48,32,53.67,130,4,0,30.13,1020.6,10,null,FEW,BKN,null,null,20000,25000,null,null,null,null,null,null,null,null,null,46.1,KATL 010152Z 13004KT 10SM FEW200 BKN250 09/00 A3013 RMK AO2 SLP206 T00890000,null
ATL,2023-12-01 2:52,47,32,55.73,130,6,0,30.14,1020.7,10,null,BKN,BKN,null,null,20000,25000,null,null,null,null,null,null,null,null,null,43.6,KATL 010252Z 13006KT 10SM BKN200 BKN250 08/00 A3014 RMK AO2 SLP207 T00830000 55002,null
ATL,2023-12-01 3:52,48,31,51.54,120,6,0,30.12,1020,10,null,FEW,BKN,BKN,null,2500,20000,25000,null,null,null,null,null,null,null,null,44.8,KATL 010352Z 12006KT 10SM FEW025 BKN200 BKN250 09/M01 A3012 RMK AO2 SLP200 T00891006,null
ATL,2023-12-01 4:52,47,32,55.73,120,7,0,30.12,1020.1,10,null,FEW,BKN,BKN,null,2800,20000,25000,null,null,null,null,null,null,null,null,43.06,KATL 010452Z 12007KT 10SM FEW028 BKN200 BKN250 08/00 A3012 RMK AO2 SLP201 T00830000 401500017,null
ATL,2023-12-01 5:52,48,32,53.67,130,6,0,30.12,1020.1,10,null,BKN,BKN,OVC,null,3200,10000,20000,null,null,null,null,null,null,null,null,44.8,KATL 010552Z 13006KT 10SM BKN032 BKN100 OVC200 09/00 A3012 RMK AO2 SLP201 T00890000 10106 20083 56005,null
ATL,2023-12-01 6:52,48,33,55.87,110,8,0,30.1,1019.5,10,null,SCT,OVC,null,null,3200,9500,null,null,null,null,null,null,null,null,null,43.82,KATL 010652Z 11008KT 10SM SCT032 OVC095 09/01 A3010 RMK AO2 SLP195 T00890006,null
ATL,2023-12-01 7:52,48,34,58.16,120,7,0,30.1,1019.5,10,null,FEW,BKN,null,null,9500,11000,null,null,null,null,null,null,null,null,null,44.28,KATL 010752Z 12007KT 10SM FEW095 BKN110 09/01 A3010 RMK AO2 SLP195 T00890011,null
ATL,2023-12-01 8:52,48,36,62.97,130,5,0,30.1,1019.4,10,null,SCT,BKN,OVC,null,3200,9500,20000,null,null,null,null,null,null,null,null,45.4,KATL 010852Z 13005KT 10SM SCT032 BKN095 OVC200 09/02 A3010 RMK AO2 SLP194 T00890022 56007,null
ATL,2023-12-01 9:52,49,38,65.63,130,5,0,30.08,1018.7,10,null,BKN,BKN,OVC,null,3100,9500,20000,null,null,null,null,null,null,null,null,46.58,KATL 010952Z 13005KT 10SM BKN031 BKN095 OVC200 09/03 A3008 RMK AO2 SLP187 T00940033,null
ATL,2023-12-01 10:52,49,39,68.25,120,7,0,30.07,1018.2,10,null,SCT,OVC,null,null,2500,8000,null,null,null,null,null,null,null,null,null,45.5,KATL 011052Z 12007KT 10SM SCT025 OVC080 09/04 A3007 RMK AO2 SLP182 T00940039,null
ATL,2023-12-01 11:52,49,43,79.68,100,4,0.02,30.09,1019.1,10,null,SCT,BKN,OVC,null,3000,8000,10000,null,null,null,null,null,null,null,null,47.27,KATL 011152Z 10004KT 10SM SCT030 BKN080 OVC100 09/06 A3009 RMK AO2 RAB14E51 SLP191 P0002 60002 70002 T00940061 10094 20089 55004,null
ATL,2023-12-01 12:04,49,43,79.68,90,7,0,30.09,null,10,null,BKN,OVC,null,null,2600,10000,null,null,null,null,null,null,null,null,null,45.5,KATL 011204Z 09007KT 10SM BKN026 OVC100 09/06 A3009 RMK AO2 T00940061,null
ATL,2023-12-01 12:52,48,44,85.95,110,8,0.05,30.11,1019.7,3,null,BKN,OVC,null,null,2300,5000,null,null,RA BR,null,null,null,null,null,null,43.82,KATL 011252Z 11008KT 3SM RA BR BKN023 OVC050 09/07 A3011 RMK AO2 RAB20 SLP197 P0005 T00890067,null
ATL,2023-12-01 13:27,48,45,89.29,100,6,0.08,30.11,null,5,null,FEW,SCT,OVC,null,900,2000,11000,null,#NAME?,null,null,null,null,null,null,44.8,KATL 011327Z 10006KT 5SM -RA BR FEW009 SCT020 OVC110 09/07 A3011 RMK AO2 P0008 T00890072,null
ATL,2023-12-01 13:52,48,46,92.74,120,7,0.08,30.11,1020,7,null,FEW,SCT,OVC,null,1100,2500,9000,null,#NAME?,null,null,null,null,null,null,44.28,KATL 011352Z 12007KT 7SM -RA FEW011 SCT025 OVC090 09/08 A3011 RMK AO2 SLP200 P0008 T00890078,null
ATL,2023-12-01 14:21,49,46,89.33,120,7,T,30.11,null,7,null,FEW,SCT,BKN,OVC,700,3000,10000,13000,null,null,null,null,null,null,null,45.5,KATL 011421Z 12007KT 7SM FEW007 SCT030 BKN100 OVC130 09/08 A3011 RMK AO2 RAE09 P0000 T00940078,null
ATL,2023-12-01 14:38,49,47,92.77,130,7,T,30.11,null,7,null,SCT,BKN,OVC,null,700,2500,10000,null,null,null,null,null,null,null,null,45.5,KATL 011438Z 13007KT 7SM SCT007 BKN025 OVC100 09/08 A3011 RMK AO2 RAE09 P0000 T00940083,null
ATL,2023-12-01 14:52,50,47,89.37,130,6,T,30.11,1019.9,6,null,SCT,OVC,null,null,600,2200,null,null,BR,null,null,null,null,null,null,50,KATL 011452Z 13006KT 6SM BR SCT006 OVC022 10/08 A3011 RMK AO2 RAE09 SLP199 P0000 60013 T01000083 51008,null
ATL,2023-12-01 15:28,50,48,92.8,130,8,0,30.11,null,5,null,BKN,BKN,OVC,null,500,2200,5000,null,BR,null,null,null,null,null,null,50,KATL 011528Z 13008KT 5SM BR BKN005 BKN022 OVC050 10/09 A3011 RMK AO2 BKN005 V SCT T01000089,null
ATL,2023-12-01 15:52,51,49,92.83,130,6,0,30.1,1019.3,6,null,SCT,SCT,BKN,OVC,500,2100,5500,15000,BR,null,null,null,null,null,null,51,KATL 011552Z 13006KT 6SM BR SCT005 SCT021 BKN055 OVC150 11/09 A3010 RMK AO2 SLP193 T01060094,null
ATL,2023-12-01 16:15,52,50,92.86,140,5,0,30.09,null,6,null,FEW,BKN,OVC,null,600,2000,4500,null,BR,null,null,null,null,null,null,52,KATL 011615Z 14005KT 6SM BR FEW006 BKN020 OVC045 11/10 A3009 RMK AO2 T01110100,null
ATL,2023-12-01 16:39,53,50,89.51,130,5,T,30.08,null,5,null,FEW,SCT,BKN,OVC,600,1900,5000,13000,#NAME?,null,null,null,null,null,null,53,KATL 011639Z 13005KT 5SM -RA BR FEW006 SCT019 BKN050 OVC130 12/10 A3008 RMK AO2 RAB36 P0000 T01170100,null
ATL,2023-12-01 16:50,53.6,51.8,93.6,140,5,T,30.08,null,6,null,FEW,BKN,OVC,null,600,1800,5000,null,BR,null,null,null,null,null,null,53.6,KATL 011650Z 14005KT 6SM BR FEW006 BKN018 OVC050 12/11 A3008 RMK AO2 RAB36E49 P0000,null
ATL,2023-12-01 16:52,54,51,89.55,130,5,T,30.08,1018.5,6,null,FEW,BKN,OVC,null,600,1800,5000,null,BR,null,null,null,null,null,null,54,KATL 011652Z 13005KT 6SM BR FEW006 BKN018 OVC050 12/11 A3008 RMK AO2 RAB36E49 SLP185 P0000 T01220106,null
ATL,2023-12-01 17:04,54,52,92.92,130,5,0,30.07,null,6,null,FEW,SCT,BKN,OVC,600,1800,9000,13000,BR,null,null,null,null,null,null,54,KATL 011704Z 13005KT 6SM BR FEW006 SCT018 BKN090 OVC130 12/11 A3007 RMK AO2 T01220111,null
ATL,2023-12-01 17:29,56,52,86.4,130,6,0,30.04,null,6,null,BKN,BKN,BKN,OVC,2200,4200,12000,20000,BR,null,null,null,null,null,null,56,KATL 011729Z 13006KT 6SM BR BKN022 BKN042 BKN120 OVC200 13/11 A3004 RMK AO2 T01330111,null
ATL,2023-12-01 17:41,56,53,89.64,140,6,0,30.03,null,7,null,SCT,BKN,OVC,null,2200,13000,20000,null,null,null,null,null,null,null,null,56,KATL 011741Z 14006KT 7SM SCT022 BKN130 OVC200 13/12 A3003 RMK AO2 T01330117,null
ATL,2023-12-01 17:52,58,54,86.51,140,6,0,30.02,1016.6,7,null,FEW,SCT,BKN,OVC,2200,4600,13000,20000,null,null,null,null,null,null,null,58,KATL 011752Z 14006KT 7SM FEW022 SCT046 BKN130 OVC200 14/12 A3002 RMK AO2 PRESFR SLP166 VIRGA SW-W 60013 T01440122 10144 20089 58031,null
ATL,2023-12-01 18:23,60,55,83.53,170,7,0,30.01,null,9,null,BKN,BKN,OVC,null,2300,12000,20000,null,null,null,null,null,null,null,null,60,KATL 011823Z 17007KT 9SM BKN023 BKN120 OVC200 16/13 A3001 RMK AO2 T01560128,null
ATL,2023-12-01 18:39,62,56,80.68,160,7,0,30,null,9,null,SCT,SCT,BKN,OVC,2300,5500,13000,20000,null,null,null,null,null,null,null,62,KATL 011839Z 16007KT 9SM SCT023 SCT055 BKN130 OVC200 17/13 A3000 RMK AO2 MDT CU N-NE T01670133,null
ATL,2023-12-01 18:52,62,56,80.68,150,6,0,30,1015.7,9,null,SCT,SCT,SCT,OVC,2200,6000,13000,20000,null,null,null,null,null,null,null,62,KATL 011852Z 15006KT 9SM SCT022 SCT060 SCT130 OVC200 17/13 A3000 RMK AO2 SLP157 T01670133,null
ATL,2023-12-01 19:07,63,57,80.76,150,6,0,29.99,null,9,null,BKN,BKN,OVC,null,2200,12000,18000,null,null,null,null,null,null,null,null,63,KATL 011907Z 15006KT 9SM BKN022 BKN120 OVC180 17/14 A2999 RMK AO2 T01720139,null
ATL,2023-12-01 19:52,65,58,78.06,160,6,0,29.98,1015.2,10,null,BKN,BKN,OVC,null,1800,5000,18000,null,null,null,null,null,null,null,null,65,KATL 011952Z 16006KT 10SM BKN018 BKN050 OVC180 18/14 A2998 RMK AO2 SLP152 T01830144,null
ATL,2023-12-01 20:52,65,59,80.9,170,6,0,30.01,1016,10,null,BKN,OVC,null,null,1700,3300,null,null,null,null,null,null,null,null,null,65,KATL 012052Z 17006KT 10SM BKN017 OVC033 18/15 A3001 RMK AO2 SLP160 T01830150 55004,null
ATL,2023-12-01 21:33,65,59,80.9,170,4,0,30.02,null,10,null,OVC,null,null,null,1400,null,null,null,null,null,null,null,null,null,null,65,KATL 012133Z 17004KT 10SM OVC014 18/15 A3002 RMK AO2 T01830150,null
ATL,2023-12-01 21:52,65,59,80.9,180,7,T,30.02,1016.4,9,null,OVC,null,null,null,1400,null,null,null,#NAME?,null,null,null,null,null,null,65,KATL 012152Z 18007KT 9SM -RA OVC014 18/15 A3002 RMK AO2 RAB52 SLP164 PCPN VRY LGT P0000 T01830150,null
ATL,2023-12-01 22:52,64,59,83.78,160,4,T,30.03,1016.6,10,null,OVC,null,null,null,1400,null,null,null,#NAME?,null,null,null,null,null,null,64,KATL 012252Z 16004KT 10SM -RA OVC014 18/15 A3003 RMK AO2 RAE14B51 SLP166 P0000 T01780150,null
ATL,2023-12-01 23:52,64,60,86.83,150,3,T,30.04,1017.1,10,null,BKN,OVC,null,null,1500,3000,null,null,null,null,null,null,null,null,null,64,KATL 012352Z 15003KT 10SM BKN015 OVC030 18/16 A3004 RMK AO2 RAE07 SLP171 P0000 60000 T01780156 10189 20144 53010,null
ATL,2023-12-02 0:52,64,59,83.78,110,4,0,30.05,1017.3,10,null,BKN,OVC,null,null,1700,2500,null,null,null,null,null,null,null,null,null,64,KATL 020052Z 11004KT 10SM BKN017 OVC025 18/15 A3005 RMK AO2 SLP173 T01780150,null
ATL,2023-12-02 1:52,63,59,86.77,0,0,0,30.06,1017.8,10,null,BKN,OVC,null,null,1400,2500,null,null,null,null,null,null,null,null,null,63,KATL 020152Z 00000KT 10SM BKN014 OVC025 17/15 A3006 RMK AO2 SLP178 T01720150,null
ATL,2023-12-02 2:52,63,60,89.93,80,4,0,30.06,1017.6,8,null,BKN,OVC,null,null,1000,1800,null,null,null,null,null,null,null,null,null,63,KATL 020252Z 08004KT 8SM BKN010 OVC018 17/16 A3006 RMK AO2 SLP176 T01720156 50005,null
ATL,2023-12-02 3:08,63,59,86.77,100,3,0,30.06,null,8,null,BKN,OVC,null,null,900,1800,null,null,null,null,null,null,null,null,null,63,KATL 020308Z 10003KT 8SM BKN009 OVC018 17/15 A3006 RMK AO2 T01720150,null
