station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
AUS,2023-12-01 0:53,67,64,90.09,210,5,0,29.72,1005.9,10,null,FEW,null,null,null,12000,null,null,null,null,null,null,null,null,null,null,67,KAUS 010053Z 21005KT 10SM FEW120 19/18 A2972 RMK AO2 SLP059 T01940178,null
AUS,2023-12-01 1:53,64,63,96.55,0,0,0,29.75,1006.9,10,null,FEW,null,null,null,12000,null,null,null,null,null,null,null,null,null,null,64,KAUS 010153Z 00000KT 10SM FEW120 18/17 A2975 RMK AO2 SLP069 T01780172,null
AUS,2023-12-01 2:53,63,63,100,220,3,0,29.77,1007.6,10,null,SCT,BKN,null,null,20000,25000,null,null,null,null,null,null,null,null,null,63,KAUS 010253Z 22003KT 10SM SCT200 BKN250 17/17 A2977 RMK AO2 SLP076 T01720172 53024,null
AUS,2023-12-01 3:53,60,60,100,210,4,0,29.79,1008.3,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,60,KAUS 010353Z 21004KT 10SM BKN250 16/16 A2979 RMK AO2 SLP083 T01560156,null
AUS,2023-12-01 4:53,60,59,96.49,210,4,0,29.8,1008.6,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,60,KAUS 010453Z 21004KT 10SM BKN250 16/15 A2980 RMK AO2 SLP086 T01560150,null
AUS,2023-12-01 5:53,61,60,96.51,240,4,0,29.82,1009.3,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,61,KAUS 010553Z 24004KT 10SM SCT250 16/16 A2982 RMK AO2 SLP093 T01610156 10206 20144 402330144 53016,null
AUS,2023-12-01 6:53,61,60,96.51,260,7,0,29.82,1009.2,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,61,KAUS 010653Z 26007KT 10SM SCT250 16/16 A2982 RMK AO2 SLP092 T01610156,null
AUS,2023-12-01 7:53,61,59,93.12,300,4,0,29.81,1009,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,61,KAUS 010753Z 30004KT 10SM FEW250 16/15 A2981 RMK AO2 SLP090 T01610150,null
AUS,2023-12-01 8:53,60,58,93.1,0,0,0,29.81,1009,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,60,KAUS 010853Z 00000KT 10SM FEW250 16/14 A2981 RMK AO2 SLP090 T01560144 57002,null
AUS,2023-12-01 9:53,52,52,100,0,0,0,29.82,1009.5,8,null,FEW,FEW,null,null,100,25000,null,null,BCFG,null,null,null,null,null,null,52,KAUS 010953Z 00000KT 8SM BCFG FEW001 FEW250 11/11 A2982 RMK AO2 SLP095 VIS S-W 1 T01110111,null
