station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
PHX,2023-12-01 0:51,59,44,57.44,210,7,0,29.87,1010.7,10,null,SCT,SCT,BKN,BKN,5500,7000,9500,15000,null,null,null,null,null,null,null,59,KPHX 010051Z 21007KT 10SM SCT055 SCT070 BKN095 BKN150 BKN180 15/07 A2987 RMK AO2 SLP107 VIRGA SHRA DSNT S T01500067,null
TUS,2023-12-01 0:53,59,33,37.34,270,4,0,29.92,1010.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,59,KTUS 010053Z 27004KT 10SM CLR 15/01 A2992 RMK AO2 SLP109 T01500006,null
PHX,2023-12-01 1:51,58,45,61.85,0,0,0.02,29.87,1011,9,null,FEW,SCT,BKN,BKN,4300,6000,9500,18000,#NAME?,null,null,null,null,null,null,58,KPHX 010151Z 00000KT 9SM -RA FEW043 SCT060 BKN095 BKN180 OVC250 14/07 A2987 RMK AO2 RAB01 SLP110 SHRA DSNT NE-SE P0002 T01440072,null
TUS,2023-12-01 1:53,59,34,38.87,310,4,0,29.93,1011.3,10,null,OVC,null,null,null,7000,null,null,null,null,null,null,null,null,null,null,59,KTUS 010153Z 31004KT 10SM OVC070 15/01 A2993 RMK AO2 SLP113 T01500011,null
PHX,2023-12-01 2:51,57,48,71.81,130,6,T,29.88,1011.1,10,null,SCT,BKN,BKN,BKN,5000,9000,15000,18000,null,null,null,null,null,null,null,57,KPHX 010251Z 13006KT 10SM SCT050 BKN090 BKN150 BKN180 BKN220 14/09 A2988 RMK AO2 LTG DSNT S RAE0155 SLP111 OCNL LTGIC DSNT S CB DSNT S SHRA DSNT E P0000 60002 T01390089 51005,null
TUS,2023-12-01 2:53,58,34,40.28,290,5,0,29.93,1011.6,10,null,OVC,null,null,null,9500,null,null,null,null,null,null,null,null,null,null,58,KTUS 010253Z 29005KT 10SM OVC095 14/01 A2993 RMK AO2 SLP116 T01440011 53004,null
PHX,2023-12-01 3:51,57,48,71.81,160,6,T,29.89,1011.4,10,null,BKN,BKN,BKN,OVC,5000,9000,16000,22000,#NAME?,null,null,null,null,null,null,57,KPHX 010351Z 16006KT 10SM -RA BKN050 BKN090 BKN160 OVC220 14/09 A2989 RMK AO2 RAB50 SLP114 OCNL LTGIC DSNT NW CB DSNT NW VCSH S-SW SHRA DSNT N SE W-NW P0000 T01390089,null
TUS,2023-12-01 3:53,56,36,46.88,280,3,0,29.94,1011.8,10,null,BKN,null,null,null,9500,null,null,null,null,null,null,null,null,null,null,56,KTUS 010353Z 28003KT 10SM BKN095 13/02 A2994 RMK AO2 SLP118 T01330022,null
PHX,2023-12-01 4:51,56,49,77.29,110,4,0.02,29.9,1011.8,10,null,FEW,SCT,BKN,BKN,5000,7000,10000,14000,#NAME?,null,null,null,null,null,null,56,KPHX 010451Z 11004KT 10SM -RA FEW050 SCT070 BKN100 BKN140 BKN200 13/09 A2990 RMK AO2 LTG DSNT NE SLP118 VIRGA P0002 T01330094,null
TUS,2023-12-01 4:53,55,36,48.62,0,0,0,29.95,1012,10,null,OVC,null,null,null,8000,null,null,null,null,null,null,null,null,null,null,55,KTUS 010453Z 00000KT 10SM OVC080 13/02 A2995 RMK AO2 SLP120 T01280022,null
PHX,2023-12-01 5:51,55,50,83.2,170,3,0.01,29.9,1011.8,10,null,BKN,BKN,null,null,6000,7500,null,null,null,null,null,null,null,null,null,55,KPHX 010551Z 17003KT 10SM BKN060 BKN075 13/10 A2990 RMK AO2 RAE45 SLP118 P0001 60005 T01280100 10172 20128 51008,null
TUS,2023-12-01 5:53,54,36,50.42,170,3,0,29.95,null,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54,KTUS 010553Z 17003KT 10SM CLR 12/02 A2995 RMK AO2 SLPNO T01220022 10156 20117 51005,null
PHX,2023-12-01 6:51,54,49,83.13,130,9,0.01,29.9,1011.7,10,null,BKN,BKN,null,null,7000,8000,null,null,#NAME?,null,null,null,null,null,null,54,KPHX 010651Z 13009KT 10SM -RA BKN070 BKN080 12/09 A2990 RMK AO2 RAB26 SLP117 P0001 T01220094 401890117,null
TUS,2023-12-01 6:53,53,36,52.3,0,0,0,29.96,1012.2,10,null,OVC,null,null,null,8000,null,null,null,null,null,null,null,null,null,null,53,KTUS 010653Z 00000KT 10SM OVC080 12/02 A2996 RMK AO2 SLP122 T01170022 401670100,null
PHX,2023-12-01 7:51,54,50,86.29,110,6,0.01,29.9,1011.7,9,null,BKN,BKN,null,null,5500,7500,null,null,#NAME?,null,null,null,null,null,null,54,KPHX 010751Z 11006KT 9SM -RA BKN055 BKN075 12/10 A2990 RMK AO2 SLP117 P0001 T01220100,null
TUS,2023-12-01 7:53,52,36,54.26,130,3,0,29.95,null,10,null,OVC,null,null,null,8000,null,null,null,null,null,null,null,null,null,null,52,KTUS 010753Z 13003KT 10SM OVC080 11/02 A2995 RMK AO2 SLPNO T01110022,null
PHX,2023-12-01 8:51,53,49,86.23,190,10,0.1,29.88,1011.1,9,null,OVC,null,null,null,5500,null,null,null,#NAME?,null,null,null,null,null,null,53,KPHX 010851Z 19010KT 9SM -RA OVC055 12/09 A2988 RMK AO2 SLP111 P0010 60012 T01170094 58006,null
TUS,2023-12-01 8:53,50,36,58.44,0,0,0,29.95,1012,10,null,FEW,FEW,OVC,null,3100,7000,8000,null,null,null,null,null,null,null,null,50,KTUS 010853Z 00000KT 10SM FEW031 FEW070 OVC080 10/02 A2995 RMK AO2 SLP120 T01000022 58001,null
PHX,2023-12-01 9:51,53,49,86.23,110,7,0.02,29.89,1011.5,10,null,BKN,BKN,null,null,6500,10000,null,null,null,null,null,null,null,null,null,53,KPHX 010951Z 11007KT 10SM BKN065 BKN100 12/09 A2989 RMK AO2 RAE08 SLP115 P0002 T01170094,null
TUS,2023-12-01 9:53,49,36,60.66,0,0,0,29.94,1011.8,10,null,OVC,null,null,null,7500,null,null,null,null,null,null,null,null,null,null,49,KTUS 010953Z 00000KT 10SM OVC075 09/02 A2994 RMK AO2 SLP118 T00940022,null
PHX,2023-12-01 10:51,53,49,86.23,80,7,0,29.9,1011.6,10,null,BKN,null,null,null,6500,null,null,null,null,null,null,null,null,null,null,53,KPHX 011051Z 08007KT 10SM BKN065 12/09 A2990 RMK AO2 SLP116 T01170094,null
