station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BDL,2023-12-01 0:51,43,29,57.44,200,8,0,30.1,1019.3,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,37.66,KBDL 010051Z 20008KT 10SM BKN250 06/M02 A3010 RMK AO2 SLP193 T00611017 $,null
BDL,2023-12-01 1:51,43,30,59.83,200,6,0,30.09,1019,10,null,BKN,null,null,null,24000,null,null,null,null,null,null,null,null,null,null,38.78,KBDL 010151Z COR 20006KT 10SM BKN240 06/M01 A3009 RMK AO2 SLP190 T00611011 $,null
BDL,2023-12-01 2:51,43,31,62.31,190,10,0,30.09,1018.8,10,null,BKN,null,null,null,23000,null,null,null,null,null,null,null,null,null,null,36.76,KBDL 010251Z 19010KT 10SM BKN230 06/M01 A3009 RMK AO2 SLP188 T00611006 58000 $,null
BDL,2023-12-01 3:51,39,31,72.75,170,7,0,30.09,1019.1,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,33.31,KBDL 010351Z 17007KT 10SM SCT250 04/M01 A3009 RMK AO2 SLP191 T00391006 $,null
BDL,2023-12-01 4:51,43,31,62.31,200,10,0,30.1,1019.3,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,36.76,KBDL 010451Z 20010KT 10SM FEW250 06/M01 A3010 RMK AO2 SLP193 T00611006 400941039 $,null
BDL,2023-12-01 5:51,42,30,62.18,190,9,0,30.11,1019.6,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,35.95,KBDL 010551Z 19009KT 10SM FEW250 06/M01 A3011 RMK AO2 SLP196 T00561011 10067 20039 53008 $,null
BDL,2023-12-01 6:51,41,30,64.63,190,7,0,30.12,1019.8,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,35.75,KBDL 010651Z 19007KT 10SM FEW250 05/M01 A3012 RMK AO2 SLP198 T00501011 $,null
BDL,2023-12-01 7:51,39,29,67.06,170,6,0,30.12,1019.9,10,null,FEW,FEW,null,null,22000,25000,null,null,null,null,null,null,null,null,null,33.96,KBDL 010751Z 17006KT 10SM FEW220 FEW250 04/M02 A3012 RMK AO2 SLP199 T00391017 $,null
BDL,2023-12-01 8:51,37,29,72.54,170,8,0,30.11,1019.8,10,null,SCT,SCT,null,null,22000,25000,null,null,null,null,null,null,null,null,null,30.27,KBDL 010851Z 17008KT 10SM SCT220 SCT250 03/M02 A3011 RMK AO2 SLP198 T00281017 50002 $,null
BDL,2023-12-01 9:51,37,29,72.54,180,5,0,30.12,1020,10,null,FEW,FEW,null,null,22000,25000,null,null,null,null,null,null,null,null,null,32.33,KBDL 010951Z 18005KT 10SM FEW220 FEW250 03/M02 A3012 RMK AO2 SLP200 T00281017 $,null
