station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BHM,2023-12-01 0:53,53,27,36.36,130,9,0,30.08,1018.5,10,null,SCT,null,null,null,10000,null,null,null,null,null,null,null,null,null,null,53,KBHM 010053Z 13009KT 10SM SCT100 12/M03 A3008 RMK AO2 SLP185 T01171028,null
BHM,2023-12-01 1:53,52,27,37.72,150,5,0,30.09,1018.9,10,null,SCT,null,null,null,12000,null,null,null,null,null,null,null,null,null,null,52,KBHM 010153Z 15005KT 10SM SCT120 11/M03 A3009 RMK AO2 SLP189 T01111028,null
BHM,2023-12-01 2:53,52,27,37.72,null,3,0,30.08,1018.4,10,null,BKN,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,52,KBHM 010253Z VRB03KT 10SM BKN110 11/M03 A3008 RMK AO2 SLP184 T01111028 56004,null
BHM,2023-12-01 3:53,52,28,39.3,130,6,0,30.06,1017.9,10,15,BKN,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,52,KBHM 010353Z 13006G15KT 10SM BKN110 11/M02 A3006 RMK AO2 SLP179 T01111022,null
BHM,2023-12-01 4:53,53,27,36.36,150,9,0,30.04,1017.2,10,19,FEW,OVC,null,null,11000,25000,null,null,null,null,null,null,null,null,null,53,KBHM 010453Z 15009G19KT 130V190 10SM FEW110 OVC250 12/M03 A3004 RMK AO2 SLP172 T01171028,null
BHM,2023-12-01 5:53,53,29,39.47,140,9,0,30.04,1017,10,17,SCT,OVC,null,null,9000,25000,null,null,null,null,null,null,null,null,null,53,KBHM 010553Z 14009G17KT 10SM SCT090 OVC250 12/M02 A3004 RMK AO2 SLP170 T01171017 10122 20111 401560006 56013,null
BHM,2023-12-01 6:53,54,34,46.57,140,7,0,30.03,1016.6,10,null,BKN,OVC,null,null,7000,9000,null,null,null,null,null,null,null,null,null,54,KBHM 010653Z 14007KT 10SM BKN070 OVC090 12/01 A3003 RMK AO2 SLP166 T01220011,null
BHM,2023-12-01 7:53,54,36,50.42,130,10,0,30.01,1015.9,10,18,SCT,BKN,OVC,null,3300,7000,9000,null,null,null,null,null,null,null,null,54,KBHM 010753Z 13010G18KT 10SM SCT033 BKN070 OVC090 12/02 A3001 RMK AO2 SLP159 T01220022,null
BHM,2023-12-01 8:33,54,37,52.45,140,8,0,30,null,10,null,BKN,OVC,null,null,2100,11000,null,null,null,null,null,null,null,null,null,54,KBHM 010833Z 14008KT 100V170 10SM BKN021 OVC110 12/03 A3000 RMK AO2 T01220028,null
BHM,2023-12-01 8:53,55,39,54.7,130,7,0,29.99,1015.2,10,null,BKN,BKN,OVC,null,2100,6500,11000,null,null,null,null,null,null,null,null,55,KBHM 010853Z COR 13007KT 10SM BKN021 BKN065 OVC110 13/04 A2999 RMK AO2 SLP152 T01280039 58016,null
BHM,2023-12-01 9:03,55,40,56.88,130,13,0,29.99,null,10,19,BKN,BKN,OVC,null,2100,6000,9000,null,null,null,null,null,null,null,null,55,KBHM 010903Z 13013G19KT 10SM BKN021 BKN060 OVC090 13/04 A2999 RMK AO2 T01280044,null
BHM,2023-12-01 9:53,55,43,63.86,140,8,T,29.99,1015.3,10,16,BKN,OVC,null,null,1800,7000,null,null,null,null,null,null,null,null,null,55,KBHM 010953Z 14008G16KT 10SM BKN018 OVC070 13/06 A2999 RMK AO2 RAB24E36 SLP153 P0000 T01280061,null
BHM,2023-12-01 10:53,52,46,79.92,160,7,0.07,30.01,1016,4,17,SCT,SCT,OVC,null,2000,3000,6000,null,RA,null,null,null,null,null,null,52,KBHM 011053Z 16007G17KT 4SM RA SCT020 SCT030 OVC060 11/08 A3001 RMK AO2 RAB14 SLP160 P0007 T01110078,null
BHM,2023-12-01 11:53,52,48,86.17,140,10,0.1,29.99,1015.5,10,17,BKN,BKN,OVC,null,4700,6500,7500,null,null,null,null,null,null,null,null,52,KBHM 011153Z 14010G17KT 10SM BKN047 BKN065 OVC075 11/09 A2999 RMK AO2 RAE46 SLP155 P0010 60017 70017 T01110089 10128 20111 50002,null
BHM,2023-12-01 12:37,53,49,86.23,150,8,T,30.01,null,10,null,BKN,BKN,OVC,null,1200,4300,6000,null,null,null,null,null,null,null,null,53,KBHM 011237Z 15008KT 10SM BKN012 BKN043 OVC060 12/09 A3001 RMK AO2 RAB04E17 P0000 T01170094,null
BHM,2023-12-01 12:53,53,49,86.23,150,10,T,30.02,1016.2,10,16,OVC,null,null,null,1000,null,null,null,null,null,null,null,null,null,null,53,KBHM 011253Z 15010G16KT 10SM OVC010 12/09 A3002 RMK AO2 RAB04E17 SLP162 P0000 T01170094,null
BHM,2023-12-01 13:37,55,51,86.34,null,6,0,30.01,null,10,17,OVC,null,null,null,900,null,null,null,null,null,null,null,null,null,null,55,KBHM 011337Z VRB06G17KT 10SM OVC009 13/11 A3001 RMK AO2 CIG 008V014 T01280106,null
BHM,2023-12-01 13:53,56,52,86.4,150,8,0,30.01,1015.9,9,14,OVC,null,null,null,900,null,null,null,null,null,null,null,null,null,null,56,KBHM 011353Z 15008G14KT 9SM OVC009 13/11 A3001 RMK AO2 SLP159 T01330111,null
BHM,2023-12-01 14:53,59,55,86.56,null,null,0,29.99,1015.3,7,null,BKN,OVC,null,null,700,1400,null,null,null,null,null,null,null,null,null,59,KBHM 011453Z 7SM BKN007 OVC014 15/13 A2999 RMK AO2 SLP153 60000 T01500128 58001,null
BHM,2023-12-01 15:53,60,56,86.61,170,7,0,30.01,1015.7,10,null,OVC,null,null,null,600,null,null,null,null,null,null,null,null,null,null,60,KBHM 011553Z 17007KT 140V200 10SM OVC006 16/13 A3001 RMK AO2 SLP157 T01560133,null
BHM,2023-12-01 16:53,61,57,86.67,150,4,0,30,1015.4,9,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,61,KBHM 011653Z 15004KT 9SM OVC007 16/14 A3000 RMK AO2 SLP154 T01610139,null
BHM,2023-12-01 17:53,62,58,86.72,170,7,0,29.97,1014.6,9,15,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,62,KBHM 011753Z 17007G15KT 9SM OVC007 17/14 A2997 RMK AO2 SLP146 60000 T01670144 10167 20111 58007,null
BHM,2023-12-01 18:53,64,59,83.78,null,6,0,29.94,1013.6,9,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,64,KBHM 011853Z VRB06KT 9SM OVC008 18/15 A2994 RMK AO2 SLP136 T01780150,null
BHM,2023-12-01 19:53,64,59,83.78,160,5,0,29.95,1013.8,6,null,OVC,null,null,null,800,null,null,null,BR,null,null,null,null,null,null,64,KBHM 011953Z 16005KT 6SM BR OVC008 18/15 A2995 RMK AO2 SLP138 T01780150,null
BHM,2023-12-01 20:53,66,60,80.98,170,7,0,29.96,1014,10,null,OVC,null,null,null,1100,null,null,null,null,null,null,null,null,null,null,66,KBHM 012053Z 17007KT 10SM OVC011 19/16 A2996 RMK AO2 SLP140 T01890156 55005,null
BHM,2023-12-01 21:53,66,60,80.98,170,5,0,29.97,1014.4,10,null,BKN,OVC,null,null,1300,2300,null,null,null,null,null,null,null,null,null,66,KBHM 012153Z 17005KT 10SM BKN013 OVC023 19/16 A2997 RMK AO2 SLP144 T01890156,null
BHM,2023-12-01 22:19,65,60,83.84,160,3,0,29.97,null,10,null,OVC,null,null,null,1500,null,null,null,null,null,null,null,null,null,null,65,KBHM 012219Z 16003KT 10SM OVC015 18/16 A2997 RMK AO2 T01830156,null
BHM,2023-12-01 22:53,65,60,83.84,130,8,0,29.98,1014.8,10,null,OVC,null,null,null,2100,null,null,null,null,null,null,null,null,null,null,65,KBHM 012253Z 13008KT 10SM OVC021 18/16 A2998 RMK AO2 SLP148 T01830156,null
BHM,2023-12-01 23:53,64,60,86.83,0,0,0,30.01,1015.9,10,null,BKN,null,null,null,2300,null,null,null,null,null,null,null,null,null,null,64,KBHM 012353Z 00000KT 10SM BKN023 18/16 A3001 RMK AO2 SLP159 T01780156 10189 20167 53017,null
BHM,2023-12-02 0:53,64,61,89.97,0,0,0,30.02,1016.2,10,null,FEW,OVC,null,null,1700,2400,null,null,null,null,null,null,null,null,null,64,KBHM 020053Z 00000KT 10SM FEW017 OVC024 18/16 A3002 RMK AO2 SLP162 T01780161,null
BHM,2023-12-02 1:22,63,60,89.93,0,0,0,30.01,null,10,null,FEW,SCT,BKN,null,1600,2200,3100,null,null,null,null,null,null,null,null,63,KBHM 020122Z 00000KT 10SM FEW016 SCT022 BKN031 17/16 A3001 RMK AO2 T01720156,null
BHM,2023-12-02 1:53,59,57,93.07,0,0,0,30.02,1016.1,6,null,FEW,SCT,BKN,OVC,1600,2200,3100,15000,BR,null,null,null,null,null,null,59,KBHM 020153Z 00000KT 6SM BR FEW016 SCT022 BKN031 OVC150 15/14 A3002 RMK AO2 SLP161 T01500139,null
BHM,2023-12-02 2:53,64,61,89.97,0,0,0,30.02,1016.1,10,null,BKN,OVC,null,null,3200,15000,null,null,null,null,null,null,null,null,null,64,KBHM 020253Z 00000KT 10SM BKN032 OVC150 18/16 A3002 RMK AO2 SLP161 T01780161 51003,null
