station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
BTV,2023-12-01 0:54,43,24,46.71,200,22,0,29.88,1012.3,10,32,SCT,null,null,null,22000,null,null,null,null,null,null,null,32,200,2023-12-01 0:51,33.31,KBTV 010054Z 20022G32KT 10SM SCT220 06/M04 A2988 RMK AO2 PK WND 20032/0051 SLP123 T00611044,null
BTV,2023-12-01 1:54,43,24,46.71,200,19,0,29.87,1011.8,10,29,BKN,null,null,null,23000,null,null,null,null,null,null,null,32,190,2023-12-01 1:26,33.98,KBTV 010154Z 20019G29KT 10SM BKN230 06/M04 A2987 RMK AO2 PK WND 19032/0126 SLP118 T00611044,null
BTV,2023-12-01 2:54,44,25,46.88,200,20,0,29.88,1012,10,28,SCT,null,null,null,23000,null,null,null,null,null,null,null,30,210,2023-12-01 2:37,35.08,KBTV 010254Z 20020G28KT 10SM SCT230 07/M04 A2988 RMK AO2 PK WND 21030/0237 SLP120 T00671039 55006,null
BTV,2023-12-01 3:54,44,25,46.88,200,19,0,29.9,1012.7,10,27,BKN,BKN,null,null,7500,20000,null,null,null,null,null,null,30,200,2023-12-01 3:15,35.31,KBTV 010354Z 20019G27KT 10SM BKN075 BKN200 07/M04 A2990 RMK AO2 PK WND 20030/0315 SLP127 T00671039,null
BTV,2023-12-01 4:54,44,26,48.86,190,17,0,29.91,1013.1,10,24,BKN,OVC,null,null,6000,9500,null,null,null,null,null,null,27,200,2023-12-01 3:55,35.8,KBTV 010454Z 19017G24KT 10SM BKN060 OVC095 07/M03 A2991 RMK AO2 PK WND 20027/0355 SLP131 LAST T00671033 400671011,null
BTV,2023-12-01 5:54,44,27,50.93,190,16,0,29.92,1013.5,10,23,OVC,null,null,null,5500,null,null,null,null,null,null,null,27,190,2023-12-01 5:31,36.06,KBTV 010554Z 19016G23KT 10SM OVC055 07/M03 A2992 RMK AO2 PK WND 19027/0531 SLP135 T00671028 10067 20056 51015,null
BTV,2023-12-01 6:54,44,27,50.93,200,17,0,29.95,1014.3,10,25,OVC,null,null,null,5000,null,null,null,null,null,null,null,null,null,null,35.8,KBTV 010654Z 20017G25KT 10SM OVC050 07/M03 A2995 RMK AO2 SLP143 T00671028,null
BTV,2023-12-01 7:54,43,27,52.91,190,15,0,29.96,1014.8,10,20,OVC,null,null,null,5000,null,null,null,null,null,null,null,null,null,null,35.04,KBTV 010754Z 19015G20KT 10SM OVC050 06/M03 A2996 RMK AO2 SLP148 T00611028,null
BTV,2023-12-01 8:54,42,27,54.99,190,13,0,29.96,1014.8,10,19,SCT,BKN,null,null,5000,7000,null,null,null,null,null,null,null,null,null,34.38,KBTV 010854Z 19013G19KT 10SM SCT050 BKN070 06/M03 A2996 RMK AO2 SLP148 T00561028 50012,null
BTV,2023-12-01 9:54,43,28,55.14,200,14,0,29.97,1015.1,10,21,BKN,OVC,null,null,5000,7000,null,null,null,null,null,null,null,null,null,35.34,KBTV 010954Z 20014G21KT 10SM BKN050 OVC070 06/M02 A2997 RMK AO2 SLP151 T00611022,null
