station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SNA,2023-12-01 0:53,62,54,75.02,190,7,0,29.9,1012.5,10,null,SCT,SCT,null,null,1900,16000,null,null,null,null,null,null,null,null,null,62,KSNA 010053Z COR 19007KT 10SM SCT019 SCT160 17/12 A2990 RMK AO2 SLP125 CB DSNT N-NE T01670122 PNO,null
SMF,2023-12-01 0:53,60,43,53.34,0,0,0,29.93,1013.3,10,null,FEW,BKN,null,null,17000,25000,null,null,null,null,null,null,null,null,null,60,KSMF 010053Z 00000KT 10SM FEW170 BKN250 16/06 A2993 RMK AO2 SLP133 T01560061,null
PSP,2023-12-01 0:53,65,43,44.73,340,6,0,29.86,1011.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,65,KPSP 010053Z 34006KT 10SM CLR 18/06 A2986 RMK AO2 LTG DSNT SW SLP111 T01830061 $,null
SJC,2023-12-01 0:53,58,44,59.54,300,12,0,30,1015.7,10,null,SCT,SCT,SCT,null,3000,5000,7000,null,null,null,null,null,null,null,null,58,KSJC 010053Z 30012KT 10SM SCT030 SCT050 SCT070 14/07 A3000 RMK AO2 SLP157 T01440067 $,null
ONT,2023-12-01 0:53,59,52,77.55,240,8,T,29.89,1011.8,8,null,SCT,BKN,BKN,null,2800,4600,8000,null,#NAME?,null,null,null,null,null,null,59,KONT 010053Z 24008KT 8SM -TSRA SCT028 BKN046CB BKN080 15/11 A2989 RMK AO2 RAB33 TSB52 SLP118 OCNL LTGIC N TS N MOV NE P0000 T01500111,null
MRY,2023-12-01 0:54,57,50,77.38,300,11,0,30.03,1018,10,null,FEW,BKN,OVC,null,2200,3500,5000,null,null,null,null,null,null,null,null,57,KMRY 010054Z 30011KT 10SM FEW022 BKN035 OVC050 14/10 A3003 RMK AO2 SLP180 T01390100,null
SFO,2023-12-01 0:56,58,49,71.91,270,16,0,29.99,1015.6,10,null,FEW,SCT,SCT,null,1700,5000,11000,null,null,null,null,null,null,null,null,58,KSFO 010056Z 27016KT 10SM FEW017 SCT050 SCT110 14/09 A2999 RMK AO2 SLP156 T01440094,null
ONT,2023-12-01 1:31,57,53,86.45,240,7,0.05,29.89,null,10,null,FEW,BKN,BKN,null,2300,4000,8000,null,#NAME?,null,null,null,null,null,null,57,KONT 010131Z 24007KT 10SM -RA FEW023 BKN040 BKN080 14/12 A2989 RMK AO2 TSE25 P0005 T01390117,null
SNA,2023-12-01 1:32,62,55,77.81,200,4,0,29.91,null,10,null,BKN,null,null,null,2000,null,null,null,null,null,null,null,null,null,null,62,KSNA 010132Z 20004KT 10SM BKN020 17/13 A2991 RMK AO2 T01670128 PNO,null
SJC,2023-12-01 1:53,57,44,61.72,300,7,0,30.01,1016.1,10,null,SCT,SCT,BKN,null,3000,5000,7000,null,null,null,null,null,null,null,null,57,KSJC 010153Z 30007KT 10SM SCT030 SCT050 BKN070 14/07 A3001 RMK AO2 SLP161 T01390067 $,null
SMF,2023-12-01 1:53,56,41,57.02,210,5,0,29.93,1013.4,10,null,FEW,SCT,null,null,7000,10000,null,null,null,null,null,null,null,null,null,56,KSMF 010153Z 21005KT 10SM FEW070 SCT100 13/05 A2993 RMK AO2 SLP134 T01330050,null
PSP,2023-12-01 1:53,62,47,57.85,30,4,0,29.87,1011.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,62,KPSP 010153Z 03004KT 10SM CLR 17/08 A2987 RMK AO2 SLP116 T01670083 $,null
SNA,2023-12-01 1:53,62,55,77.81,0,0,0,29.92,1013,10,null,BKN,BKN,null,null,1700,2300,null,null,null,null,null,null,null,null,null,62,KSNA 010153Z COR 00000KT 10SM BKN017 BKN023 17/13 A2992 RMK AO2 SLP130 T01670128 PNO,null
ONT,2023-12-01 1:53,57,53,86.45,240,7,0.05,29.9,1012.4,10,null,FEW,BKN,BKN,null,2000,4500,7500,null,null,null,null,null,null,null,null,57,KONT 010153Z 24007KT 10SM FEW020 BKN045 BKN075 14/12 A2990 RMK AO2 RAE47 TSE25 SLP124 VCSH P0005 T01390117,null
