station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CHS,2023-12-01 0:56,54,42,63.74,10,3,0,30.23,1023.6,10,null,BKN,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,54,KCHS 010056Z 01003KT 10SM BKN200 12/06 A3023 RMK AO2 SLP236 T01220056,null
CHS,2023-12-01 1:56,52,42,68.59,40,4,0,30.22,1023.4,10,null,SCT,BKN,null,null,5000,20000,null,null,null,null,null,null,null,null,null,52,KCHS 010156Z 04004KT 10SM SCT050 BKN200 11/06 A3022 RMK AO2 SLP234 T01110056,null
CHS,2023-12-01 2:56,52,41,66,0,0,0,30.22,1023.1,10,null,SCT,BKN,null,null,5500,20000,null,null,null,null,null,null,null,null,null,52,KCHS 010256Z 00000KT 10SM SCT055 BKN200 11/05 A3022 RMK AO2 SLP231 T01110050 50000,null
CHS,2023-12-01 3:56,50,42,73.87,0,0,0,30.21,1022.9,10,null,FEW,FEW,null,null,5500,20000,null,null,null,null,null,null,null,null,null,50,KCHS 010356Z 00000KT 10SM FEW055 FEW200 10/06 A3021 RMK AO2 SLP229 T01000056,null
CHS,2023-12-01 4:56,47,41,79.52,0,0,0,30.2,1022.6,10,null,FEW,FEW,null,null,5000,20000,null,null,null,null,null,null,null,null,null,47,KCHS 010456Z 00000KT 10SM FEW050 FEW200 08/05 A3020 RMK AO2 SLP226 T00830050 401780006,null
CHS,2023-12-01 5:56,48,43,82.72,0,0,0,30.18,1021.9,10,null,FEW,FEW,null,null,5000,20000,null,null,null,null,null,null,null,null,null,48,KCHS 010556Z 00000KT 10SM FEW050 FEW200 09/06 A3018 RMK AO2 SLP219 T00890061 10133 20078 58012,null
CHS,2023-12-01 6:56,48,43,82.72,0,0,0,30.18,1021.8,10,null,FEW,FEW,null,null,5000,20000,null,null,null,null,null,null,null,null,null,48,KCHS 010656Z 00000KT 10SM FEW050 FEW200 09/06 A3018 RMK AO2 SLP218 T00890061,null
CHS,2023-12-01 7:56,46,42,85.83,0,0,0,30.17,1021.4,10,null,FEW,FEW,null,null,5000,20000,null,null,null,null,null,null,null,null,null,46,KCHS 010756Z 00000KT 10SM FEW050 FEW200 08/06 A3017 RMK AO2 SLP214 T00780056,null
CHS,2023-12-01 8:56,45,42,89.15,0,0,0,30.16,1021.3,10,null,FEW,FEW,null,null,5000,20000,null,null,null,null,null,null,null,null,null,45,KCHS 010856Z 00000KT 10SM FEW050 FEW200 07/06 A3016 RMK AO2 SLP213 T00720056 58006,null
CHS,2023-12-01 9:56,47,43,85.89,40,3,0,30.16,1021.4,10,null,FEW,SCT,SCT,null,5000,10000,15000,null,null,null,null,null,null,null,null,45.84,KCHS 010956Z 04003KT 10SM FEW050 SCT100 SCT150 08/06 A3016 RMK AO2 SLP214 T00830061,null
CHS,2023-12-01 10:56,47,44,89.24,0,0,0,30.17,1021.5,10,null,FEW,FEW,FEW,null,5000,10000,15000,null,null,null,null,null,null,null,null,47,KCHS 011056Z 00000KT 10SM FEW050 FEW100 FEW150 08/07 A3017 RMK AO2 SLP215 T00830067,null
CHS,2023-12-01 11:56,47,44,89.24,20,3,0,30.17,1021.4,10,null,FEW,SCT,BKN,null,4000,12000,20000,null,null,null,null,null,null,null,null,45.84,KCHS 011156Z 02003KT 10SM FEW040 SCT120 BKN200 08/07 A3017 RMK AO2 SLP214 T00830067 10094 20072 50001,null
CHS,2023-12-01 12:56,52,48,86.17,150,3,0,30.16,1021.3,10,null,SCT,BKN,BKN,null,6000,12000,20000,null,null,null,null,null,null,null,null,52,KCHS 011256Z 15003KT 10SM SCT060 BKN120 BKN200 11/09 A3016 RMK AO2 SLP213 T01110089,null
CHS,2023-12-01 13:56,58,52,80.38,0,0,0,30.18,1021.8,10,null,FEW,BKN,BKN,null,6000,12000,20000,null,null,null,null,null,null,null,null,58,KCHS 011356Z 00000KT 10SM FEW060 BKN120 BKN200 14/11 A3018 RMK AO2 SLP218 T01440111,null
CHS,2023-12-01 14:56,67,53,60.73,110,7,0,30.17,1021.6,10,null,FEW,BKN,null,null,6000,12000,null,null,null,null,null,null,null,null,null,67,KCHS 011456Z 11007KT 10SM FEW060 BKN120 19/12 A3017 RMK AO2 SLP216 T01940117 50002,null
CHS,2023-12-01 15:56,69,55,60.99,110,4,0,30.18,1021.7,10,null,BKN,OVC,null,null,3500,12000,null,null,null,null,null,null,null,null,null,69,KCHS 011556Z 11004KT 10SM BKN035 OVC120 21/13 A3018 RMK AO2 SLP217 T02060128,null
CHS,2023-12-01 16:56,71,57,61.24,110,5,0,30.15,1020.7,10,null,SCT,BKN,OVC,null,3500,12000,20000,null,null,null,null,null,null,null,null,71,KCHS 011656Z 11005KT 10SM SCT035 BKN120 OVC200 22/14 A3015 RMK AO2 SLP207 T02170139,null
