station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CLE,2023-12-01 0:51,49,32,51.7,200,10,0,29.91,1014.9,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,44.29,KCLE 010051Z 20010KT 10SM FEW250 09/00 A2991 RMK AO2 SLP149 T00940000,null
CLE,2023-12-01 1:51,49,32,51.7,190,8,0,29.91,1014.9,10,null,BKN,BKN,null,null,5000,7000,null,null,null,null,null,null,null,null,null,45.05,KCLE 010151Z 19008KT 10SM BKN050 BKN070 09/00 A2991 RMK AO2 SLP149 T00940000,null
CLE,2023-12-01 2:51,50,32,49.81,200,11,0,29.93,1015.4,10,null,BKN,BKN,BKN,null,4100,5000,7500,null,null,null,null,null,null,null,null,50,KCLE 010251Z 20011KT 10SM BKN041 BKN050 BKN075 10/00 A2993 RMK AO2 SLP154 T01000000 53010,null
CLE,2023-12-01 3:51,50,32,49.81,200,11,0,29.93,1015.4,10,null,SCT,SCT,null,null,3500,7500,null,null,null,null,null,null,null,null,null,50,KCLE 010351Z 20011KT 10SM SCT035 SCT075 10/00 A2993 RMK AO2 SLP154 T01000000,null
CLE,2023-12-01 4:51,51,33,49.96,200,8,0,29.94,1015.5,10,null,OVC,null,null,null,3600,null,null,null,null,null,null,null,null,null,null,51,KCLE 010451Z 20008KT 10SM OVC036 11/01 A2994 RMK AO2 SLP155 T01060006 401220006,null
CLE,2023-12-01 5:51,51,33,49.96,200,7,0,29.95,1015.8,10,null,OVC,null,null,null,4000,null,null,null,null,null,null,null,null,null,null,51,KCLE 010551Z 20007KT 10SM OVC040 11/01 A2995 RMK AO2 SLP158 T01060006 10106 20089 53006,null
CLE,2023-12-01 6:51,51,33,49.96,210,7,0,29.95,1015.8,10,null,OVC,null,null,null,4000,null,null,null,null,null,null,null,null,null,null,51,KCLE 010651Z 21007KT 10SM OVC040 11/01 A2995 RMK AO2 SLP158 T01060006,null
CLE,2023-12-01 7:51,51,33,49.96,200,6,0,29.96,1016.3,10,null,OVC,null,null,null,4200,null,null,null,null,null,null,null,null,null,null,51,KCLE 010751Z 20006KT 10SM OVC042 11/01 A2996 RMK AO2 SLP163 T01060006,null
CLE,2023-12-01 8:51,50,34,53.97,190,4,0,29.95,1016.1,10,null,OVC,null,null,null,4800,null,null,null,null,null,null,null,null,null,null,50,KCLE 010851Z 19004KT 10SM OVC048 10/01 A2995 RMK AO2 SLP161 T01000011 50003,null
CLE,2023-12-01 9:51,50,34,53.97,190,5,0,29.95,1016.1,10,null,OVC,null,null,null,5000,null,null,null,null,null,null,null,null,null,null,50,KCLE 010951Z 19005KT 10SM OVC050 10/01 A2995 RMK AO2 SLP161 T01000011,null
CLE,2023-12-01 10:51,50,33,51.85,200,8,0,29.96,1016.3,10,null,OVC,null,null,null,5500,null,null,null,null,null,null,null,null,null,null,50,KCLE 011051Z 20008KT 10SM OVC055 10/01 A2996 RMK AO2 SLP163 T01000006,null
CLE,2023-12-01 11:51,48,37,65.51,190,8,0.01,29.97,1016.9,9,null,BKN,OVC,null,null,5000,5500,null,null,#NAME?,null,null,null,null,null,null,43.82,KCLE 011151Z 19008KT 9SM -RA BKN050 OVC055 09/03 A2997 RMK AO2 RAB26 SLP169 P0001 60001 70001 T00890028 10106 20089 53006,null
CLE,2023-12-01 12:51,46,38,73.47,170,4,0.01,29.97,1016.8,10,null,OVC,null,null,null,6500,null,null,null,null,null,null,null,null,null,null,43.77,KCLE 011251Z 17004KT 10SM OVC065 08/03 A2997 RMK AO2 RAE45 SLP168 P0001 T00780033,null
CLE,2023-12-01 13:51,47,39,73.57,200,11,0.04,29.98,1017.2,8,null,OVC,null,null,null,3900,null,null,null,#NAME?,null,null,null,26,200,2023-12-01 13:33,41.42,KCLE 011351Z 20011KT 8SM -RA OVC039 08/04 A2998 RMK AO2 PK WND 20026/1333 RAB04 SLP172 P0004 T00830039,null
CLE,2023-12-01 14:51,44,39,82.44,190,7,0.04,29.96,1016.4,10,null,OVC,null,null,null,4200,null,null,null,null,null,null,null,null,null,null,39.41,KCLE 011451Z 19007KT 10SM OVC042 07/04 A2996 RMK AO2 RAE50 SLP164 P0004 60009 T00670039 58004,null
CLE,2023-12-01 15:51,44,41,89.11,160,4,0.05,29.96,1016.3,4,null,OVC,null,null,null,3300,null,null,null,#NAME?,null,null,null,null,null,null,41.43,KCLE 011551Z 16004KT 4SM -RA BR OVC033 07/05 A2996 RMK AO2 RAB1452 SLP163 P0005 T00670050,null
CLE,2023-12-01 16:51,44,41,89.11,120,6,0.06,29.91,1014.7,6,null,OVC,null,null,null,3100,null,null,null,#NAME?,null,null,null,null,null,null,39.98,KCLE 011651Z 12006KT 6SM -RA BR OVC031 07/05 A2991 RMK AO2 SLP147 P0006 T00670050,null
CLE,2023-12-01 17:35,44,41,89.11,90,5,0.02,29.88,null,8,null,BKN,BKN,OVC,null,1000,2700,3200,null,#NAME?,null,null,null,null,null,null,40.65,KCLE 011735Z 09005KT 8SM -RA BKN010 BKN027 OVC032 07/05 A2988 RMK AO2 P0002 T00670050,null
CLE,2023-12-01 17:51,44,41,89.11,120,5,0.03,29.87,1013.3,5,null,BKN,OVC,null,null,1000,3000,null,null,#NAME?,null,null,null,null,null,null,40.65,KCLE 011751Z 12005KT 5SM -RA BR BKN010 OVC030 07/05 A2987 RMK AO2 SLP133 P0003 60023 T00670050 10089 20067 58031,null
CLE,2023-12-01 18:27,45,42,89.15,110,3,0.01,29.85,null,4,null,FEW,BKN,OVC,null,800,1200,1900,null,BR,null,null,null,null,null,null,43.55,KCLE 011827Z 11003KT 4SM BR FEW008 BKN012 OVC019 07/06 A2985 RMK AO2 RAE17 P0001 T00720056,null
CLE,2023-12-01 18:44,45,42,89.15,130,4,0.01,29.85,null,4,null,SCT,SCT,OVC,null,1000,1400,2100,null,#NAME?,null,null,null,null,null,null,42.6,KCLE 011844Z 13004KT 4SM -RA BR SCT010 SCT014 OVC021 07/06 A2985 RMK AO2 RAE17B33 P0001 T00720056,null
CLE,2023-12-01 18:51,45,42,89.15,130,6,0.01,29.85,1012.5,5,null,BKN,OVC,null,null,1200,1900,null,null,#NAME?,null,null,null,null,null,null,41.19,KCLE 011851Z 13006KT 5SM -RA BR BKN012 OVC019 07/06 A2985 RMK AO2 RAE17B33 SLP125 P0001 T00720056,null
CLE,2023-12-01 18:56,45,42,89.15,130,6,0.01,29.85,null,4,null,SCT,OVC,null,null,1200,2100,null,null,#NAME?,null,null,null,null,null,null,41.19,KCLE 011856Z 13006KT 4SM -RA BR SCT012 OVC021 07/06 A2985 RMK AO2 P0001 T00720056,null
CLE,2023-12-01 19:41,45,43,92.65,160,5,0.03,29.84,null,3,null,SCT,OVC,null,null,900,1400,null,null,#NAME?,null,null,null,null,null,null,41.83,KCLE 011941Z 16005KT 3SM -RA BR SCT009 OVC014 07/06 A2984 RMK AO2 P0003 T00720061,null
CLE,2023-12-01 19:51,45,43,92.65,160,6,0.03,29.83,1011.9,3,null,SCT,OVC,null,null,900,1400,null,null,BR,null,null,null,null,null,null,41.19,KCLE 011951Z 16006KT 3SM BR SCT009 OVC014 07/06 A2983 RMK AO2 RAE48 SLP119 P0003 T00720061,null
