station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CMH,2023-12-01 0:51,53,33,46.41,190,10,0,29.98,1015.7,10,null,FEW,OVC,null,null,5500,7000,null,null,null,null,null,null,null,null,null,53,KCMH 010051Z 19010KT 10SM FEW055 OVC070 12/01 A2998 RMK AO2 SLP157 T01170006,null
CMH,2023-12-01 1:51,52,32,46.25,200,5,0,29.99,1015.7,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,52,KCMH 010151Z 20005KT 10SM OVC060 11/00 A2999 RMK AO2 SLP157 T01110000,null
CMH,2023-12-01 2:51,53,33,46.41,200,8,0,29.99,1015.9,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,53,KCMH 010251Z 20008KT 10SM OVC060 12/01 A2999 RMK AO2 SLP159 T01170006 53002,null
CMH,2023-12-01 3:51,51,33,49.96,190,5,T,29.99,1015.8,9,null,OVC,null,null,null,5500,null,null,null,null,null,null,null,null,null,null,51,KCMH 010351Z 19005KT 9SM OVC055 11/01 A2999 RMK AO2 RAB15E39 SLP158 P0000 T01060006,null
CMH,2023-12-01 4:51,52,33,48.15,190,5,0,30,1016,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,52,KCMH 010451Z 19005KT 10SM OVC060 11/01 A3000 RMK AO2 SLP160 T01110006 401331022,null
CMH,2023-12-01 5:51,51,34,52,180,4,0,30,1015.9,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,51,KCMH 010551Z 18004KT 10SM OVC060 11/01 A3000 RMK AO2 SLP159 60000 T01060011 10122 20106 52002,null
CMH,2023-12-01 6:51,51,33,49.96,170,4,0,30,1016,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,51,KCMH 010651Z 17004KT 10SM OVC060 11/01 A3000 RMK AO2 SLP160 T01060006,null
CMH,2023-12-01 7:51,51,32,47.99,170,6,0,30,1016,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,51,KCMH 010751Z 17006KT 10SM OVC060 11/00 A3000 RMK AO2 SLP160 T01060000,null
CMH,2023-12-01 8:51,51,33,49.96,180,6,0,30,1015.8,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,51,KCMH 010851Z 18006KT 10SM OVC060 11/01 A3000 RMK AO2 SLP158 T01060006 58001,null
CMH,2023-12-01 9:51,50,32,49.81,180,4,0,29.99,1015.7,10,null,OVC,null,null,null,7000,null,null,null,null,null,null,null,null,null,null,50,KCMH 010951Z 18004KT 10SM OVC070 10/00 A2999 RMK AO2 SLP157 T01000000,null
CMH,2023-12-01 10:51,49,34,56.02,190,4,0,30,1016.1,10,null,SCT,OVC,null,null,6000,8000,null,null,null,null,null,null,null,null,null,47.27,KCMH 011051Z 19004KT 10SM SCT060 OVC080 09/01 A3000 RMK AO2 SLP161 T00940011,null
