station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MTJ,2023-12-01 0:53,34,24,66.45,350,3,0,29.8,1009.3,10,null,FEW,BKN,OVC,null,1900,6000,11000,null,null,null,null,null,null,null,null,30.97,KMTJ 010053Z AUTO 35003KT 10SM FEW019 BKN060 OVC110 01/M04 A2980 RMK AO2 SLP093 T00111044,null
MTJ,2023-12-01 1:53,31,27,84.92,10,7,0,29.81,1010,10,null,BKN,OVC,null,null,5000,5500,null,null,null,null,null,null,null,null,null,23.56,KMTJ 010153Z AUTO 01007KT 10SM BKN050 OVC055 M01/M03 A2981 RMK AO2 SLP100 T10061028,null
MTJ,2023-12-01 2:11,30,28,92.15,350,6,0,29.82,null,9,null,BKN,OVC,null,null,1500,5000,null,null,null,null,null,null,null,null,null,23.12,KMTJ 010211Z AUTO 35006KT 9SM BKN015 OVC050 M01/M02 A2982 RMK AO2 T10111022,null
MTJ,2023-12-01 2:19,30,29,96,350,4,0,29.82,null,7,null,SCT,BKN,OVC,null,400,1600,4800,null,null,null,null,null,null,null,null,25.08,KMTJ 010219Z AUTO 35004KT 7SM SCT004 BKN016 OVC048 M01/M02 A2982 RMK AO2 T10111017,null
MTJ,2023-12-01 2:27,30,29,96,350,5,0,29.82,null,7,null,BKN,OVC,null,null,400,1600,null,null,null,null,null,null,null,null,null,24.02,KMTJ 010227Z AUTO 35005KT 7SM BKN004 OVC016 M01/M02 A2982 RMK AO2 T10111017,null
MTJ,2023-12-01 2:53,30,29,96,330,6,0,29.83,1010.9,4,null,OVC,null,null,null,300,null,null,null,BR,null,null,null,null,null,null,23.12,KMTJ 010253Z AUTO 33006KT 4SM BR OVC003 M01/M02 A2983 RMK AO2 SLP109 T10111017 53012,null
MTJ,2023-12-01 3:38,30,30,100,0,0,0,29.83,null,2.5,null,OVC,null,null,null,200,null,null,null,BR,null,null,null,null,null,null,30,KMTJ 010338Z AUTO 00000KT 2 1/2SM BR OVC002 M01/M01 A2983 RMK AO2 VIS 1 3/4V3 T10111011,null
MTJ,2023-12-01 3:53,30,30,100,0,0,0,29.83,1010.4,1.5,null,OVC,null,null,null,200,null,null,null,BR,null,null,null,null,null,null,30,KMTJ 010353Z AUTO 00000KT 1 1/2SM BR OVC002 M01/M01 A2983 RMK AO2 SLP104 T10111011,null
MTJ,2023-12-01 4:03,30,30,100,0,0,0,29.83,null,1,null,OVC,null,null,null,200,null,null,null,BR,null,null,null,null,null,null,30,KMTJ 010403Z AUTO 00000KT 1SM BR OVC002 M01/M01 A2983 RMK AO2 T10111011,null
MTJ,2023-12-01 4:13,30,30,100,240,3,0,29.83,null,1.5,null,OVC,null,null,null,200,null,null,null,BR,null,null,null,null,null,null,26.4,KMTJ 010413Z AUTO 24003KT 1 1/2SM BR OVC002 M01/M01 A2983 RMK AO2 T10111011,null
